May 9, 2026   12:32:38
Linear Sweep Voltammetry
File: e:\xdq\20260509\ce0.03\lsv-2.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.42
Final E (V) = 1.92
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Results:

Channel 1:

Potential/V, Current/A

1.420, 1.996e-4
1.421, 2.377e-4
1.422, 2.514e-4
1.423, 2.605e-4
1.424, 2.679e-4
1.425, 2.739e-4
1.426, 2.788e-4
1.427, 2.864e-4
1.428, 2.948e-4
1.429, 3.015e-4
1.430, 3.089e-4
1.431, 3.155e-4
1.432, 3.237e-4
1.433, 3.333e-4
1.434, 3.427e-4
1.435, 3.504e-4
1.436, 3.600e-4
1.437, 3.698e-4
1.438, 3.803e-4
1.439, 3.904e-4
1.440, 4.028e-4
1.441, 4.139e-4
1.442, 4.257e-4
1.443, 4.389e-4
1.444, 4.523e-4
1.445, 4.656e-4
1.446, 4.808e-4
1.447, 4.960e-4
1.448, 5.110e-4
1.449, 5.282e-4
1.450, 5.459e-4
1.451, 5.631e-4
1.452, 5.817e-4
1.453, 6.006e-4
1.454, 6.204e-4
1.455, 6.410e-4
1.456, 6.628e-4
1.457, 6.848e-4
1.458, 7.070e-4
1.459, 7.320e-4
1.460, 7.567e-4
1.461, 7.812e-4
1.462, 8.069e-4
1.463, 8.336e-4
1.464, 8.608e-4
1.465, 8.902e-4
1.466, 9.195e-4
1.467, 9.486e-4
1.468, 9.804e-4
1.469, 1.014e-3
1.470, 1.049e-3
1.471, 1.083e-3
1.472, 1.120e-3
1.473, 1.159e-3
1.474, 1.196e-3
1.475, 1.234e-3
1.476, 1.276e-3
1.477, 1.316e-3
1.478, 1.359e-3
1.479, 1.404e-3
1.480, 1.448e-3
1.481, 1.494e-3
1.482, 1.541e-3
1.483, 1.589e-3
1.484, 1.639e-3
1.485, 1.690e-3
1.486, 1.742e-3
1.487, 1.794e-3
1.488, 1.850e-3
1.489, 1.907e-3
1.490, 1.965e-3
1.491, 2.025e-3
1.492, 2.086e-3
1.493, 2.148e-3
1.494, 2.212e-3
1.495, 2.278e-3
1.496, 2.346e-3
1.497, 2.415e-3
1.498, 2.485e-3
1.499, 2.557e-3
1.500, 2.630e-3
1.501, 2.705e-3
1.502, 2.781e-3
1.503, 2.858e-3
1.504, 2.938e-3
1.505, 3.020e-3
1.506, 3.101e-3
1.507, 3.186e-3
1.508, 3.273e-3
1.509, 3.361e-3
1.510, 3.451e-3
1.511, 3.543e-3
1.512, 3.637e-3
1.513, 3.730e-3
1.514, 3.825e-3
1.515, 3.922e-3
1.516, 4.022e-3
1.517, 4.124e-3
1.518, 4.228e-3
1.519, 4.332e-3
1.520, 4.437e-3
1.521, 4.547e-3
1.522, 4.655e-3
1.523, 4.768e-3
1.524, 4.882e-3
1.525, 4.995e-3
1.526, 5.114e-3
1.527, 5.231e-3
1.528, 5.352e-3
1.529, 5.473e-3
1.530, 5.594e-3
1.531, 5.718e-3
1.532, 5.845e-3
1.533, 5.973e-3
1.534, 6.103e-3
1.535, 6.234e-3
1.536, 6.369e-3
1.537, 6.504e-3
1.538, 6.640e-3
1.539, 6.778e-3
1.540, 6.918e-3
1.541, 7.058e-3
1.542, 7.201e-3
1.543, 7.346e-3
1.544, 7.491e-3
1.545, 7.640e-3
1.546, 7.790e-3
1.547, 7.941e-3
1.548, 8.094e-3
1.549, 8.249e-3
1.550, 8.404e-3
1.551, 8.562e-3
1.552, 8.718e-3
1.553, 8.878e-3
1.554, 9.040e-3
1.555, 9.205e-3
1.556, 9.370e-3
1.557, 9.535e-3
1.558, 9.703e-3
1.559, 9.873e-3
1.560, 1.004e-2
1.561, 1.022e-2
1.562, 1.039e-2
1.563, 1.057e-2
1.564, 1.075e-2
1.565, 1.093e-2
1.566, 1.111e-2
1.567, 1.130e-2
1.568, 1.148e-2
1.569, 1.168e-2
1.570, 1.187e-2
