May 9, 2026   11:12:42
Linear Sweep Voltammetry
File: e:\xdq\20260509\ru\lsv-1.42-1.92.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.42
Final E (V) = 1.92
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:

Potential/V, Current/A

1.420, 4.831e-5
1.421, 5.970e-5
1.422, 6.153e-5
1.423, 6.275e-5
1.424, 6.399e-5
1.425, 6.533e-5
1.426, 6.670e-5
1.427, 6.822e-5
1.428, 6.990e-5
1.429, 7.151e-5
1.430, 7.351e-5
1.431, 7.568e-5
1.432, 7.752e-5
1.433, 8.003e-5
1.434, 8.250e-5
1.435, 8.484e-5
1.436, 8.763e-5
1.437, 9.038e-5
1.438, 9.339e-5
1.439, 9.663e-5
1.440, 9.996e-5
1.441, 1.036e-4
1.442, 1.073e-4
1.443, 1.113e-4
1.444, 1.157e-4
1.445, 1.199e-4
1.446, 1.248e-4
1.447, 1.299e-4
1.448, 1.348e-4
1.449, 1.405e-4
1.450, 1.461e-4
1.451, 1.519e-4
1.452, 1.584e-4
1.453, 1.650e-4
1.454, 1.721e-4
1.455, 1.794e-4
1.456, 1.871e-4
1.457, 1.954e-4
1.458, 2.039e-4
1.459, 2.130e-4
1.460, 2.226e-4
1.461, 2.322e-4
1.462, 2.425e-4
1.463, 2.534e-4
1.464, 2.646e-4
1.465, 2.765e-4
1.466, 2.888e-4
1.467, 3.015e-4
1.468, 3.149e-4
1.469, 3.288e-4
1.470, 3.435e-4
1.471, 3.588e-4
1.472, 3.745e-4
1.473, 3.905e-4
1.474, 4.074e-4
1.475, 4.251e-4
1.476, 4.434e-4
1.477, 4.621e-4
1.478, 4.819e-4
1.479, 5.021e-4
1.480, 5.228e-4
1.481, 5.444e-4
1.482, 5.664e-4
1.483, 5.892e-4
1.484, 6.130e-4
1.485, 6.376e-4
1.486, 6.627e-4
1.487, 6.885e-4
1.488, 7.150e-4
1.489, 7.422e-4
1.490, 7.701e-4
1.491, 7.990e-4
1.492, 8.285e-4
1.493, 8.583e-4
1.494, 8.891e-4
1.495, 9.207e-4
1.496, 9.527e-4
1.497, 9.860e-4
1.498, 1.020e-3
1.499, 1.054e-3
1.500, 1.090e-3
1.501, 1.126e-3
1.502, 1.163e-3
1.503, 1.201e-3
1.504, 1.240e-3
1.505, 1.279e-3
1.506, 1.320e-3
1.507, 1.361e-3
1.508, 1.403e-3
1.509, 1.445e-3
1.510, 1.489e-3
1.511, 1.534e-3
1.512, 1.580e-3
1.513, 1.626e-3
1.514, 1.674e-3
1.515, 1.722e-3
1.516, 1.771e-3
1.517, 1.821e-3
1.518, 1.872e-3
1.519, 1.924e-3
1.520, 1.976e-3
1.521, 2.030e-3
1.522, 2.085e-3
1.523, 2.141e-3
1.524, 2.197e-3
1.525, 2.254e-3
1.526, 2.313e-3
1.527, 2.372e-3
1.528, 2.432e-3
1.529, 2.492e-3
1.530, 2.554e-3
1.531, 2.615e-3
1.532, 2.678e-3
1.533, 2.742e-3
1.534, 2.806e-3
1.535, 2.871e-3
1.536, 2.936e-3
1.537, 3.003e-3
1.538, 3.068e-3
1.539, 3.135e-3
1.540, 3.203e-3
1.541, 3.270e-3
1.542, 3.339e-3
1.543, 3.409e-3
1.544, 3.479e-3
1.545, 3.549e-3
1.546, 3.620e-3
1.547, 3.692e-3
1.548, 3.764e-3
1.549, 3.838e-3
1.550, 3.912e-3
1.551, 3.987e-3
1.552, 4.063e-3
1.553, 4.138e-3
1.554, 4.215e-3
1.555, 4.294e-3
1.556, 4.374e-3
1.557, 4.454e-3
1.558, 4.535e-3
1.559, 4.618e-3
1.560, 4.701e-3
1.561, 4.786e-3
1.562, 4.871e-3
1.563, 4.958e-3
1.564, 5.045e-3
1.565, 5.133e-3
1.566, 5.225e-3
1.567, 5.316e-3
1.568, 5.410e-3
1.569, 5.506e-3
1.570, 5.602e-3
1.571, 5.699e-3
1.572, 5.799e-3
1.573, 5.900e-3
1.574, 6.002e-3
1.575, 6.107e-3
1.576, 6.213e-3
1.577, 6.322e-3
1.578, 6.429e-3
1.579, 6.539e-3
1.580, 6.651e-3
1.581, 6.764e-3
1.582, 6.881e-3
1.583, 6.998e-3
1.584, 7.118e-3
1.585, 7.241e-3
1.586, 7.362e-3
1.587, 7.487e-3
1.588, 7.613e-3
1.589, 7.739e-3
1.590, 7.867e-3
1.591, 7.996e-3
1.592, 8.129e-3
1.593, 8.262e-3
1.594, 8.397e-3
1.595, 8.532e-3
1.596, 8.669e-3
1.597, 8.809e-3
1.598, 8.953e-3
1.599, 9.095e-3
1.600, 9.239e-3
1.601, 9.385e-3
1.602, 9.534e-3
1.603, 9.682e-3
1.604, 9.832e-3
1.605, 9.983e-3
1.606, 1.014e-2
1.607, 1.029e-2
1.608, 1.045e-2
1.609, 1.061e-2
1.610, 1.076e-2
1.611, 1.092e-2
1.612, 1.108e-2
1.613, 1.124e-2
1.614, 1.140e-2
1.615, 1.156e-2
1.616, 1.173e-2
1.617, 1.189e-2
1.618, 1.206e-2
1.619, 1.223e-2
1.620, 1.240e-2
1.621, 1.257e-2
1.622, 1.274e-2
1.623, 1.291e-2
1.624, 1.308e-2
1.625, 1.326e-2
1.626, 1.343e-2
1.627, 1.361e-2
1.628, 1.379e-2
1.629, 1.397e-2
1.630, 1.416e-2
1.631, 1.434e-2
1.632, 1.452e-2
1.633, 1.470e-2
1.634, 1.488e-2
1.635, 1.507e-2
1.636, 1.525e-2
1.637, 1.543e-2
1.638, 1.562e-2
1.639, 1.581e-2
1.640, 1.600e-2
1.641, 1.619e-2
1.642, 1.637e-2
1.643, 1.656e-2
1.644, 1.676e-2
1.645, 1.695e-2
1.646, 1.714e-2
1.647, 1.734e-2
1.648, 1.753e-2
1.649, 1.772e-2
1.650, 1.791e-2
1.651, 1.810e-2
1.652, 1.829e-2
1.653, 1.849e-2
1.654, 1.869e-2
1.655, 1.888e-2
1.656, 1.909e-2
1.657, 1.933e-2
1.658, 1.958e-2
1.659, 1.979e-2
1.660, 1.998e-2
1.661, 2.018e-2
1.662, 2.039e-2
1.663, 2.059e-2
1.664, 2.079e-2
1.665, 2.102e-2
1.666, 2.123e-2
1.667, 2.142e-2
1.668, 2.162e-2
