June 7, 2026   18:32:58
Linear Sweep Voltammetry
File: c:\users\__xjr__\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.2
Final E (V) = 1.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:

Potential/V, Current/A

1.200, -1.421e-5
1.201, 6.202e-6
1.202, 1.141e-5
1.203, 1.468e-5
1.204, 1.726e-5
1.205, 1.907e-5
1.206, 2.107e-5
1.207, 2.277e-5
1.208, 2.402e-5
1.209, 2.540e-5
1.210, 2.666e-5
1.211, 2.748e-5
1.212, 2.862e-5
1.213, 2.942e-5
1.214, 3.026e-5
1.215, 3.110e-5
1.216, 3.193e-5
1.217, 3.247e-5
1.218, 3.298e-5
1.219, 3.353e-5
1.220, 3.411e-5
1.221, 3.441e-5
1.222, 3.510e-5
1.223, 3.563e-5
1.224, 3.555e-5
1.225, 3.619e-5
1.226, 3.666e-5
1.227, 3.702e-5
1.228, 3.761e-5
1.229, 3.870e-5
1.230, 3.854e-5
1.231, 3.858e-5
1.232, 3.883e-5
1.233, 3.929e-5
1.234, 3.936e-5
1.235, 3.980e-5
1.236, 4.012e-5
1.237, 4.007e-5
1.238, 4.046e-5
1.239, 4.084e-5
1.240, 4.077e-5
1.241, 4.115e-5
1.242, 4.145e-5
1.243, 4.141e-5
1.244, 4.178e-5
1.245, 4.182e-5
1.246, 4.208e-5
1.247, 4.222e-5
1.248, 4.250e-5
1.249, 4.256e-5
1.250, 4.263e-5
1.251, 4.279e-5
1.252, 4.312e-5
1.253, 4.305e-5
1.254, 4.342e-5
1.255, 4.369e-5
1.256, 4.352e-5
1.257, 4.388e-5
1.258, 4.381e-5
1.259, 4.388e-5
1.260, 4.415e-5
1.261, 4.421e-5
1.262, 4.432e-5
1.263, 4.448e-5
1.264, 4.451e-5
1.265, 4.472e-5
1.266, 4.476e-5
1.267, 4.498e-5
1.268, 4.514e-5
1.269, 4.487e-5
1.270, 4.512e-5
1.271, 4.522e-5
1.272, 4.508e-5
1.273, 4.542e-5
1.274, 4.552e-5
1.275, 4.540e-5
1.276, 4.560e-5
1.277, 4.562e-5
1.278, 4.563e-5
1.279, 4.577e-5
1.280, 4.606e-5
1.281, 4.606e-5
1.282, 4.590e-5
1.283, 4.606e-5
1.284, 4.629e-5
1.285, 4.600e-5
1.286, 4.634e-5
1.287, 4.649e-5
1.288, 4.626e-5
1.289, 4.654e-5
1.290, 4.658e-5
1.291, 4.644e-5
1.292, 4.669e-5
1.293, 4.679e-5
1.294, 4.672e-5
1.295, 4.682e-5
1.296, 4.684e-5
1.297, 4.690e-5
1.298, 4.680e-5
1.299, 4.711e-5
1.300, 4.713e-5
1.301, 4.687e-5
1.302, 4.709e-5
1.303, 4.725e-5
1.304, 4.710e-5
1.305, 4.732e-5
1.306, 4.746e-5
1.307, 4.737e-5
1.308, 4.758e-5
1.309, 4.746e-5
1.310, 4.758e-5
1.311, 4.758e-5
1.312, 4.781e-5
1.313, 4.790e-5
1.314, 4.779e-5
1.315, 4.787e-5
1.316, 4.809e-5
1.317, 4.782e-5
1.318, 4.818e-5
1.319, 4.841e-5
1.320, 4.807e-5
1.321, 4.825e-5
1.322, 4.824e-5
1.323, 4.835e-5
1.324, 4.856e-5
1.325, 4.867e-5
1.326, 4.855e-5
1.327, 4.874e-5
1.328, 4.878e-5
1.329, 4.897e-5
1.330, 4.899e-5
1.331, 4.946e-5
1.332, 4.954e-5
1.333, 4.922e-5
1.334, 4.942e-5
1.335, 4.960e-5
1.336, 4.945e-5
1.337, 4.988e-5
1.338, 4.998e-5
1.339, 4.991e-5
1.340, 5.025e-5
1.341, 5.020e-5
1.342, 5.037e-5
1.343, 5.050e-5
1.344, 5.082e-5
1.345, 5.088e-5
1.346, 5.084e-5
1.347, 5.110e-5
1.348, 5.141e-5
1.349, 5.124e-5
1.350, 5.166e-5
1.351, 5.196e-5
1.352, 5.180e-5
1.353, 5.214e-5
1.354, 5.240e-5
1.355, 5.246e-5
1.356, 5.283e-5
1.357, 5.300e-5
