June 7, 2026   18:26:49
Linear Sweep Voltammetry
File: c:\users\__xjr__\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.2
Final E (V) = 1.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

1.200, -1.318e-5
1.201, 7.122e-6
1.202, 1.203e-5
1.203, 1.508e-5
1.204, 1.757e-5
1.205, 1.914e-5
1.206, 2.096e-5
1.207, 2.259e-5
1.208, 2.365e-5
1.209, 2.502e-5
1.210, 2.617e-5
1.211, 2.694e-5
1.212, 2.795e-5
1.213, 2.872e-5
1.214, 2.942e-5
1.215, 3.012e-5
1.216, 3.089e-5
1.217, 3.152e-5
1.218, 3.192e-5
1.219, 3.254e-5
1.220, 3.313e-5
1.221, 3.333e-5
1.222, 3.404e-5
1.223, 3.449e-5
1.224, 3.456e-5
1.225, 3.514e-5
1.226, 3.556e-5
1.227, 3.577e-5
1.228, 3.632e-5
1.229, 3.733e-5
1.230, 3.708e-5
1.231, 3.728e-5
1.232, 3.750e-5
1.233, 3.785e-5
1.234, 3.797e-5
1.235, 3.840e-5
1.236, 3.868e-5
1.237, 3.871e-5
1.238, 3.904e-5
1.239, 3.937e-5
1.240, 3.933e-5
1.241, 3.981e-5
1.242, 3.991e-5
1.243, 4.003e-5
1.244, 4.033e-5
1.245, 4.042e-5
1.246, 4.059e-5
1.247, 4.080e-5
1.248, 4.111e-5
1.249, 4.118e-5
1.250, 4.131e-5
1.251, 4.143e-5
1.252, 4.170e-5
1.253, 4.158e-5
1.254, 4.195e-5
1.255, 4.220e-5
1.256, 4.198e-5
1.257, 4.234e-5
1.258, 4.239e-5
1.259, 4.241e-5
1.260, 4.272e-5
1.261, 4.273e-5
1.262, 4.272e-5
1.263, 4.285e-5
1.264, 4.294e-5
1.265, 4.312e-5
1.266, 4.317e-5
1.267, 4.341e-5
1.268, 4.361e-5
1.269, 4.340e-5
1.270, 4.358e-5
1.271, 4.378e-5
1.272, 4.342e-5
1.273, 4.373e-5
1.274, 4.378e-5
1.275, 4.385e-5
1.276, 4.422e-5
1.277, 4.404e-5
1.278, 4.406e-5
1.279, 4.417e-5
1.280, 4.445e-5
1.281, 4.448e-5
1.282, 4.443e-5
1.283, 4.459e-5
1.284, 4.474e-5
1.285, 4.445e-5
1.286, 4.481e-5
1.287, 4.491e-5
1.288, 4.466e-5
1.289, 4.479e-5
1.290, 4.485e-5
1.291, 4.479e-5
1.292, 4.508e-5
1.293, 4.521e-5
1.294, 4.522e-5
1.295, 4.516e-5
1.296, 4.518e-5
1.297, 4.532e-5
1.298, 4.529e-5
1.299, 4.540e-5
1.300, 4.558e-5
1.301, 4.525e-5
1.302, 4.542e-5
1.303, 4.548e-5
1.304, 4.545e-5
1.305, 4.574e-5
1.306, 4.583e-5
1.307, 4.567e-5
1.308, 4.588e-5
1.309, 4.584e-5
1.310, 4.592e-5
1.311, 4.602e-5
1.312, 4.604e-5
1.313, 4.608e-5
1.314, 4.599e-5
1.315, 4.628e-5
1.316, 4.645e-5
1.317, 4.620e-5
1.318, 4.657e-5
1.319, 4.676e-5
1.320, 4.636e-5
1.321, 4.677e-5
1.322, 4.683e-5
1.323, 4.674e-5
1.324, 4.695e-5
1.325, 4.702e-5
1.326, 4.709e-5
1.327, 4.706e-5
1.328, 4.720e-5
1.329, 4.737e-5
1.330, 4.738e-5
1.331, 4.790e-5
1.332, 4.788e-5
1.333, 4.762e-5
1.334, 4.790e-5
1.335, 4.805e-5
1.336, 4.786e-5
1.337, 4.829e-5
1.338, 4.831e-5
1.339, 4.819e-5
1.340, 4.856e-5
1.341, 4.863e-5
1.342, 4.878e-5
1.343, 4.882e-5
1.344, 4.904e-5
1.345, 4.924e-5
1.346, 4.927e-5
1.347, 4.950e-5
1.348, 4.976e-5
1.349, 4.951e-5
1.350, 4.981e-5
1.351, 5.011e-5
1.352, 5.016e-5
1.353, 5.073e-5
1.354, 5.077e-5
1.355, 5.084e-5
1.356, 5.124e-5
1.357, 5.144e-5
