June 7, 2026   18:36:39
Linear Sweep Voltammetry
File: c:\users\__xjr__\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.2
Final E (V) = 1.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01
Comp R (ohm) = 2.0

Results:

Channel 1:

Potential/V, Current/A

1.200, 4.548e-4
1.201, 4.419e-4
1.202, 4.187e-4
1.203, 3.973e-4
1.204, 3.784e-4
1.205, 3.612e-4
1.206, 3.459e-4
1.207, 3.320e-4
1.208, 3.192e-4
1.209, 3.078e-4
1.210, 2.976e-4
1.211, 2.878e-4
1.212, 2.792e-4
1.213, 2.710e-4
1.214, 2.635e-4
1.215, 2.565e-4
1.216, 2.501e-4
1.217, 2.439e-4
1.218, 2.381e-4
1.219, 2.328e-4
1.220, 2.279e-4
1.221, 2.230e-4
1.222, 2.187e-4
1.223, 2.146e-4
1.224, 2.103e-4
1.225, 2.068e-4
1.226, 2.034e-4
1.227, 1.998e-4
1.228, 1.968e-4
1.229, 1.946e-4
1.230, 1.910e-4
1.231, 1.883e-4
1.232, 1.854e-4
1.233, 1.832e-4
1.234, 1.806e-4
1.235, 1.784e-4
1.236, 1.764e-4
1.237, 1.740e-4
1.238, 1.720e-4
1.239, 1.702e-4
1.240, 1.681e-4
1.241, 1.665e-4
1.242, 1.649e-4
1.243, 1.630e-4
1.244, 1.616e-4
1.245, 1.599e-4
1.246, 1.584e-4
1.247, 1.571e-4
1.248, 1.557e-4
1.249, 1.543e-4
1.250, 1.529e-4
1.251, 1.517e-4
1.252, 1.505e-4
1.253, 1.492e-4
1.254, 1.483e-4
1.255, 1.472e-4
1.256, 1.459e-4
1.257, 1.450e-4
1.258, 1.440e-4
1.259, 1.428e-4
1.260, 1.420e-4
1.261, 1.410e-4
1.262, 1.400e-4
1.263, 1.391e-4
1.264, 1.381e-4
1.265, 1.373e-4
1.266, 1.364e-4
1.267, 1.357e-4
1.268, 1.349e-4
1.269, 1.338e-4
1.270, 1.332e-4
1.271, 1.326e-4
1.272, 1.316e-4
1.273, 1.311e-4
1.274, 1.304e-4
1.275, 1.295e-4
1.276, 1.290e-4
1.277, 1.283e-4
1.278, 1.276e-4
1.279, 1.271e-4
1.280, 1.266e-4
1.281, 1.259e-4
1.282, 1.253e-4
1.283, 1.247e-4
1.284, 1.242e-4
1.285, 1.234e-4
1.286, 1.231e-4
1.287, 1.227e-4
1.288, 1.219e-4
1.289, 1.215e-4
1.290, 1.210e-4
1.291, 1.205e-4
1.292, 1.202e-4
1.293, 1.198e-4
1.294, 1.192e-4
1.295, 1.188e-4
1.296, 1.183e-4
1.297, 1.180e-4
1.298, 1.174e-4
1.299, 1.172e-4
1.300, 1.168e-4
1.301, 1.161e-4
1.302, 1.160e-4
1.303, 1.157e-4
1.304, 1.151e-4
1.305, 1.151e-4
1.306, 1.147e-4
1.307, 1.142e-4
1.308, 1.140e-4
1.309, 1.136e-4
1.310, 1.133e-4
1.311, 1.131e-4
1.312, 1.128e-4
1.313, 1.126e-4
1.314, 1.122e-4
1.315, 1.119e-4
1.316, 1.116e-4
1.317, 1.113e-4
1.318, 1.114e-4
1.319, 1.112e-4
1.320, 1.106e-4
1.321, 1.106e-4
1.322, 1.103e-4
1.323, 1.100e-4
1.324, 1.101e-4
1.325, 1.098e-4
1.326, 1.094e-4
1.327, 1.094e-4
1.328, 1.093e-4
1.329, 1.091e-4
1.330, 1.088e-4
1.331, 1.092e-4
1.332, 1.089e-4
1.333, 1.085e-4
1.334, 1.084e-4
1.335, 1.084e-4
1.336, 1.080e-4
1.337, 1.081e-4
1.338, 1.081e-4
1.339, 1.078e-4
1.340, 1.080e-4
1.341, 1.077e-4
1.342, 1.076e-4
1.343, 1.077e-4
1.344, 1.078e-4
1.345, 1.075e-4
1.346, 1.075e-4
1.347, 1.074e-4
1.348, 1.076e-4
1.349, 1.073e-4
1.350, 1.075e-4
1.351, 1.075e-4
1.352, 1.073e-4
1.353, 1.075e-4
1.354, 1.076e-4
1.355, 1.075e-4
