June 7, 2026   18:50:29
Linear Sweep Voltammetry
File: c:\users\__xjr__\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.2
Final E (V) = 1.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01
Comp R (ohm) = 2.0

Results:

Channel 1:

Potential/V, Current/A

1.200, 5.195e-4
1.201, 5.044e-4
1.202, 4.792e-4
1.203, 4.562e-4
1.204, 4.354e-4
1.205, 4.165e-4
1.206, 3.998e-4
1.207, 3.847e-4
1.208, 3.709e-4
1.209, 3.585e-4
1.210, 3.468e-4
1.211, 3.359e-4
1.212, 3.263e-4
1.213, 3.170e-4
1.214, 3.084e-4
1.215, 3.007e-4
1.216, 2.934e-4
1.217, 2.866e-4
1.218, 2.799e-4
1.219, 2.739e-4
1.220, 2.684e-4
1.221, 2.628e-4
1.222, 2.578e-4
1.223, 2.531e-4
1.224, 2.482e-4
1.225, 2.440e-4
1.226, 2.400e-4
1.227, 2.359e-4
1.228, 2.325e-4
1.229, 2.295e-4
1.230, 2.254e-4
1.231, 2.223e-4
1.232, 2.190e-4
1.233, 2.160e-4
1.234, 2.131e-4
1.235, 2.104e-4
1.236, 2.080e-4
1.237, 2.051e-4
1.238, 2.028e-4
1.239, 2.006e-4
1.240, 1.981e-4
1.241, 1.963e-4
1.242, 1.942e-4
1.243, 1.919e-4
1.244, 1.901e-4
1.245, 1.882e-4
1.246, 1.863e-4
1.247, 1.845e-4
1.248, 1.828e-4
1.249, 1.812e-4
1.250, 1.795e-4
1.251, 1.780e-4
1.252, 1.767e-4
1.253, 1.750e-4
1.254, 1.738e-4
1.255, 1.726e-4
1.256, 1.709e-4
1.257, 1.698e-4
1.258, 1.686e-4
1.259, 1.672e-4
1.260, 1.663e-4
1.261, 1.651e-4
1.262, 1.639e-4
1.263, 1.629e-4
1.264, 1.618e-4
1.265, 1.608e-4
1.266, 1.597e-4
1.267, 1.590e-4
1.268, 1.580e-4
1.269, 1.568e-4
1.270, 1.560e-4
1.271, 1.552e-4
1.272, 1.540e-4
1.273, 1.534e-4
1.274, 1.525e-4
1.275, 1.516e-4
1.276, 1.510e-4
1.277, 1.501e-4
1.278, 1.494e-4
1.279, 1.487e-4
1.280, 1.480e-4
1.281, 1.473e-4
1.282, 1.464e-4
1.283, 1.458e-4
1.284, 1.452e-4
1.285, 1.444e-4
1.286, 1.440e-4
1.287, 1.435e-4
1.288, 1.425e-4
1.289, 1.421e-4
1.290, 1.415e-4
1.291, 1.407e-4
1.292, 1.404e-4
1.293, 1.399e-4
1.294, 1.392e-4
1.295, 1.388e-4
1.296, 1.382e-4
1.297, 1.377e-4
1.298, 1.372e-4
1.299, 1.367e-4
1.300, 1.364e-4
1.301, 1.356e-4
1.302, 1.354e-4
1.303, 1.350e-4
1.304, 1.343e-4
1.305, 1.341e-4
1.306, 1.338e-4
1.307, 1.331e-4
1.308, 1.329e-4
1.309, 1.323e-4
1.310, 1.320e-4
1.311, 1.317e-4
1.312, 1.314e-4
1.313, 1.310e-4
1.314, 1.305e-4
1.315, 1.303e-4
1.316, 1.301e-4
1.317, 1.295e-4
1.318, 1.296e-4
1.319, 1.293e-4
1.320, 1.287e-4
1.321, 1.286e-4
1.322, 1.284e-4
1.323, 1.279e-4
1.324, 1.278e-4
1.325, 1.276e-4
1.326, 1.272e-4
1.327, 1.271e-4
1.328, 1.269e-4
1.329, 1.267e-4
1.330, 1.263e-4
1.331, 1.266e-4
1.332, 1.263e-4
1.333, 1.258e-4
1.334, 1.257e-4
1.335, 1.256e-4
1.336, 1.252e-4
1.337, 1.253e-4
1.338, 1.252e-4
1.339, 1.248e-4
1.340, 1.249e-4
1.341, 1.247e-4
1.342, 1.246e-4
1.343, 1.245e-4
1.344, 1.244e-4
1.345, 1.244e-4
1.346, 1.240e-4
1.347, 1.240e-4
1.348, 1.242e-4
1.349, 1.238e-4
1.350, 1.239e-4
1.351, 1.241e-4
1.352, 1.236e-4
1.353, 1.238e-4
1.354, 1.237e-4
1.355, 1.235e-4
