June 7, 2026   18:43:45
Linear Sweep Voltammetry
File: c:\users\__xjr__\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.2
Final E (V) = 1.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01
Comp R (ohm) = 2.0

Results:

Channel 1:

Potential/V, Current/A

1.200, 4.975e-4
1.201, 4.834e-4
1.202, 4.588e-4
1.203, 4.363e-4
1.204, 4.163e-4
1.205, 3.978e-4
1.206, 3.818e-4
1.207, 3.676e-4
1.208, 3.538e-4
1.209, 3.418e-4
1.210, 3.307e-4
1.211, 3.201e-4
1.212, 3.108e-4
1.213, 3.020e-4
1.214, 2.939e-4
1.215, 2.865e-4
1.216, 2.795e-4
1.217, 2.729e-4
1.218, 2.666e-4
1.219, 2.608e-4
1.220, 2.555e-4
1.221, 2.502e-4
1.222, 2.456e-4
1.223, 2.410e-4
1.224, 2.364e-4
1.225, 2.325e-4
1.226, 2.286e-4
1.227, 2.247e-4
1.228, 2.214e-4
1.229, 2.187e-4
1.230, 2.149e-4
1.231, 2.118e-4
1.232, 2.088e-4
1.233, 2.060e-4
1.234, 2.032e-4
1.235, 2.008e-4
1.236, 1.984e-4
1.237, 1.957e-4
1.238, 1.935e-4
1.239, 1.914e-4
1.240, 1.890e-4
1.241, 1.871e-4
1.242, 1.853e-4
1.243, 1.832e-4
1.244, 1.816e-4
1.245, 1.797e-4
1.246, 1.780e-4
1.247, 1.764e-4
1.248, 1.749e-4
1.249, 1.734e-4
1.250, 1.717e-4
1.251, 1.703e-4
1.252, 1.690e-4
1.253, 1.674e-4
1.254, 1.664e-4
1.255, 1.652e-4
1.256, 1.637e-4
1.257, 1.627e-4
1.258, 1.615e-4
1.259, 1.602e-4
1.260, 1.592e-4
1.261, 1.581e-4
1.262, 1.570e-4
1.263, 1.559e-4
1.264, 1.549e-4
1.265, 1.540e-4
1.266, 1.530e-4
1.267, 1.522e-4
1.268, 1.514e-4
1.269, 1.502e-4
1.270, 1.495e-4
1.271, 1.488e-4
1.272, 1.476e-4
1.273, 1.471e-4
1.274, 1.463e-4
1.275, 1.452e-4
1.276, 1.447e-4
1.277, 1.438e-4
1.278, 1.432e-4
1.279, 1.426e-4
1.280, 1.420e-4
1.281, 1.413e-4
1.282, 1.405e-4
1.283, 1.399e-4
1.284, 1.392e-4
1.285, 1.384e-4
1.286, 1.379e-4
1.287, 1.375e-4
1.288, 1.365e-4
1.289, 1.363e-4
1.290, 1.357e-4
1.291, 1.349e-4
1.292, 1.346e-4
1.293, 1.341e-4
1.294, 1.334e-4
1.295, 1.330e-4
1.296, 1.324e-4
1.297, 1.318e-4
1.298, 1.313e-4
1.299, 1.309e-4
1.300, 1.306e-4
1.301, 1.297e-4
1.302, 1.296e-4
1.303, 1.292e-4
1.304, 1.286e-4
1.305, 1.284e-4
1.306, 1.281e-4
1.307, 1.275e-4
1.308, 1.274e-4
1.309, 1.268e-4
1.310, 1.264e-4
1.311, 1.262e-4
1.312, 1.259e-4
1.313, 1.255e-4
1.314, 1.250e-4
1.315, 1.248e-4
1.316, 1.246e-4
1.317, 1.242e-4
1.318, 1.241e-4
1.319, 1.238e-4
1.320, 1.232e-4
1.321, 1.232e-4
1.322, 1.229e-4
1.323, 1.225e-4
1.324, 1.224e-4
1.325, 1.222e-4
1.326, 1.219e-4
1.327, 1.218e-4
1.328, 1.215e-4
1.329, 1.213e-4
1.330, 1.210e-4
1.331, 1.213e-4
1.332, 1.211e-4
1.333, 1.205e-4
1.334, 1.204e-4
1.335, 1.203e-4
1.336, 1.199e-4
1.337, 1.201e-4
1.338, 1.200e-4
1.339, 1.196e-4
1.340, 1.197e-4
1.341, 1.193e-4
1.342, 1.191e-4
1.343, 1.193e-4
1.344, 1.194e-4
1.345, 1.193e-4
1.346, 1.190e-4
1.347, 1.189e-4
1.348, 1.191e-4
1.349, 1.187e-4
1.350, 1.189e-4
1.351, 1.190e-4
1.352, 1.184e-4
1.353, 1.185e-4
1.354, 1.186e-4
1.355, 1.186e-4
