June 7, 2026   19:26:45
Linear Sweep Voltammetry
File: c:\users\__xjr__\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.2
Final E (V) = 1.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:

Potential/V, Current/A

1.200, 9.001e-6
1.201, 2.144e-5
1.202, 2.387e-5
1.203, 2.501e-5
1.204, 2.588e-5
1.205, 2.630e-5
1.206, 2.692e-5
1.207, 2.743e-5
1.208, 2.766e-5
1.209, 2.814e-5
1.210, 2.855e-5
1.211, 2.857e-5
1.212, 2.905e-5
1.213, 2.931e-5
1.214, 2.960e-5
1.215, 2.980e-5
1.216, 3.007e-5
1.217, 3.021e-5
1.218, 3.046e-5
1.219, 3.075e-5
1.220, 3.099e-5
1.221, 3.097e-5
1.222, 3.138e-5
1.223, 3.164e-5
1.224, 3.163e-5
1.225, 3.190e-5
1.226, 3.210e-5
1.227, 3.217e-5
1.228, 3.253e-5
1.229, 3.303e-5
1.230, 3.283e-5
1.231, 3.294e-5
1.232, 3.309e-5
1.233, 3.319e-5
1.234, 3.330e-5
1.235, 3.351e-5
1.236, 3.367e-5
1.237, 3.364e-5
1.238, 3.387e-5
1.239, 3.405e-5
1.240, 3.402e-5
1.241, 3.421e-5
1.242, 3.440e-5
1.243, 3.436e-5
1.244, 3.465e-5
1.245, 3.471e-5
1.246, 3.474e-5
1.247, 3.482e-5
1.248, 3.485e-5
1.249, 3.511e-5
1.250, 3.522e-5
1.251, 3.539e-5
1.252, 3.537e-5
1.253, 3.516e-5
1.254, 3.563e-5
1.255, 3.588e-5
1.256, 3.581e-5
1.257, 3.608e-5
1.258, 3.607e-5
1.259, 3.599e-5
1.260, 3.623e-5
1.261, 3.634e-5
1.262, 3.633e-5
1.263, 3.645e-5
1.264, 3.648e-5
1.265, 3.658e-5
1.266, 3.654e-5
1.267, 3.685e-5
1.268, 3.702e-5
1.269, 3.689e-5
1.270, 3.700e-5
1.271, 3.720e-5
1.272, 3.703e-5
1.273, 3.729e-5
1.274, 3.735e-5
1.275, 3.723e-5
1.276, 3.746e-5
1.277, 3.738e-5
1.278, 3.747e-5
1.279, 3.762e-5
1.280, 3.773e-5
1.281, 3.785e-5
1.282, 3.777e-5
1.283, 3.791e-5
1.284, 3.794e-5
1.285, 3.779e-5
1.286, 3.807e-5
1.287, 3.818e-5
1.288, 3.809e-5
1.289, 3.831e-5
1.290, 3.827e-5
1.291, 3.827e-5
1.292, 3.849e-5
1.293, 3.849e-5
1.294, 3.846e-5
1.295, 3.846e-5
1.296, 3.853e-5
1.297, 3.865e-5
1.298, 3.861e-5
1.299, 3.871e-5
1.300, 3.885e-5
1.301, 3.871e-5
1.302, 3.893e-5
1.303, 3.901e-5
1.304, 3.891e-5
1.305, 3.914e-5
1.306, 3.923e-5
1.307, 3.913e-5
1.308, 3.930e-5
1.309, 3.929e-5
1.310, 3.934e-5
1.311, 3.938e-5
1.312, 3.946e-5
1.313, 3.957e-5
1.314, 3.950e-5
1.315, 3.965e-5
1.316, 3.971e-5
1.317, 3.940e-5
1.318, 3.976e-5
1.319, 4.009e-5
1.320, 3.996e-5
1.321, 4.015e-5
1.322, 4.015e-5
1.323, 4.010e-5
1.324, 4.025e-5
1.325, 4.037e-5
1.326, 4.029e-5
1.327, 4.044e-5
1.328, 4.056e-5
1.329, 4.070e-5
1.330, 4.066e-5
1.331, 4.106e-5
1.332, 4.111e-5
1.333, 4.106e-5
1.334, 4.125e-5
1.335, 4.140e-5
1.336, 4.126e-5
1.337, 4.155e-5
1.338, 4.167e-5
1.339, 4.154e-5
1.340, 4.176e-5
1.341, 4.191e-5
1.342, 4.208e-5
1.343, 4.216e-5
1.344, 4.233e-5
1.345, 4.248e-5
1.346, 4.246e-5
1.347, 4.264e-5
1.348, 4.291e-5
1.349, 4.279e-5
1.350, 4.315e-5
1.351, 4.331e-5
1.352, 4.316e-5
1.353, 4.353e-5
1.354, 4.364e-5
1.355, 4.349e-5
1.356, 4.386e-5
1.357, 4.426e-5
