June 7, 2026   19:37:41
Linear Sweep Voltammetry
File: c:\users\__xjr__\desktop\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.2
Final E (V) = 1.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01
Comp R (ohm) = 1.9

Results:

Channel 1:

Potential/V, Current/A

1.200, 4.985e-4
1.201, 4.863e-4
1.202, 4.669e-4
1.203, 4.486e-4
1.204, 4.320e-4
1.205, 4.164e-4
1.206, 4.026e-4
1.207, 3.897e-4
1.208, 3.779e-4
1.209, 3.672e-4
1.210, 3.570e-4
1.211, 3.473e-4
1.212, 3.384e-4
1.213, 3.300e-4
1.214, 3.222e-4
1.215, 3.149e-4
1.216, 3.079e-4
1.217, 3.015e-4
1.218, 2.953e-4
1.219, 2.895e-4
1.220, 2.840e-4
1.221, 2.786e-4
1.222, 2.737e-4
1.223, 2.691e-4
1.224, 2.644e-4
1.225, 2.601e-4
1.226, 2.559e-4
1.227, 2.518e-4
1.228, 2.483e-4
1.229, 2.451e-4
1.230, 2.412e-4
1.231, 2.378e-4
1.232, 2.346e-4
1.233, 2.315e-4
1.234, 2.284e-4
1.235, 2.256e-4
1.236, 2.228e-4
1.237, 2.200e-4
1.238, 2.176e-4
1.239, 2.152e-4
1.240, 2.127e-4
1.241, 2.105e-4
1.242, 2.083e-4
1.243, 2.060e-4
1.244, 2.041e-4
1.245, 2.019e-4
1.246, 2.000e-4
1.247, 1.982e-4
1.248, 1.964e-4
1.249, 1.947e-4
1.250, 1.930e-4
1.251, 1.914e-4
1.252, 1.899e-4
1.253, 1.882e-4
1.254, 1.869e-4
1.255, 1.856e-4
1.256, 1.840e-4
1.257, 1.828e-4
1.258, 1.815e-4
1.259, 1.801e-4
1.260, 1.790e-4
1.261, 1.778e-4
1.262, 1.766e-4
1.263, 1.755e-4
1.264, 1.745e-4
1.265, 1.735e-4
1.266, 1.724e-4
1.267, 1.714e-4
1.268, 1.706e-4
1.269, 1.694e-4
1.270, 1.686e-4
1.271, 1.679e-4
1.272, 1.668e-4
1.273, 1.662e-4
1.274, 1.654e-4
1.275, 1.644e-4
1.276, 1.639e-4
1.277, 1.630e-4
1.278, 1.623e-4
1.279, 1.618e-4
1.280, 1.612e-4
1.281, 1.604e-4
1.282, 1.598e-4
1.283, 1.592e-4
1.284, 1.586e-4
1.285, 1.578e-4
1.286, 1.574e-4
1.287, 1.570e-4
1.288, 1.562e-4
1.289, 1.558e-4
1.290, 1.553e-4
1.291, 1.547e-4
1.292, 1.544e-4
1.293, 1.541e-4
1.294, 1.536e-4
1.295, 1.532e-4
1.296, 1.528e-4
1.297, 1.523e-4
1.298, 1.519e-4
1.299, 1.516e-4
1.300, 1.513e-4
1.301, 1.508e-4
1.302, 1.505e-4
1.303, 1.502e-4
1.304, 1.498e-4
1.305, 1.497e-4
1.306, 1.494e-4
1.307, 1.489e-4
1.308, 1.489e-4
1.309, 1.486e-4
1.310, 1.483e-4
1.311, 1.481e-4
1.312, 1.479e-4
1.313, 1.475e-4
1.314, 1.473e-4
1.315, 1.472e-4
1.316, 1.471e-4
1.317, 1.467e-4
1.318, 1.468e-4
1.319, 1.467e-4
1.320, 1.464e-4
1.321, 1.464e-4
1.322, 1.463e-4
1.323, 1.460e-4
1.324, 1.460e-4
1.325, 1.459e-4
1.326, 1.456e-4
1.327, 1.457e-4
1.328, 1.456e-4
1.329, 1.456e-4
1.330, 1.455e-4
1.331, 1.457e-4
1.332, 1.456e-4
1.333, 1.452e-4
1.334, 1.454e-4
1.335, 1.454e-4
1.336, 1.452e-4
1.337, 1.454e-4
1.338, 1.454e-4
1.339, 1.453e-4
1.340, 1.455e-4
1.341, 1.454e-4
1.342, 1.453e-4
1.343, 1.455e-4
1.344, 1.456e-4
1.345, 1.457e-4
1.346, 1.457e-4
1.347, 1.457e-4
1.348, 1.458e-4
1.349, 1.458e-4
1.350, 1.460e-4
1.351, 1.462e-4
1.352, 1.460e-4
1.353, 1.462e-4
1.354, 1.464e-4
1.355, 1.464e-4
