Results:

Channel 1:

Potential/V	Current/A

1.900	5.047e-2
1.899	5.027e-2
1.898	5.010e-2
1.897	4.986e-2
1.896	4.965e-2
1.895	4.940e-2
1.894	4.915e-2
1.893	4.885e-2
1.892	4.865e-2
1.891	4.841e-2
1.890	4.817e-2
1.889	4.792e-2
1.888	4.765e-2
1.887	4.741e-2
1.886	4.724e-2
1.885	4.698e-2
1.884	4.677e-2
1.883	4.649e-2
1.882	4.622e-2
1.881	4.595e-2
1.880	4.574e-2
1.879	4.551e-2
1.878	4.525e-2
1.877	4.501e-2
1.876	4.476e-2
1.875	4.449e-2
1.874	4.430e-2
1.873	4.402e-2
1.872	4.393e-2
1.871	4.370e-2
1.870	4.346e-2
1.869	4.317e-2
1.868	4.302e-2
1.867	4.277e-2
1.866	4.266e-2
1.865	4.244e-2
1.864	4.223e-2
1.863	4.187e-2
1.862	4.172e-2
1.861	4.145e-2
1.860	4.137e-2
1.859	4.106e-2
1.858	4.092e-2
1.857	4.060e-2
1.856	4.047e-2
1.855	4.030e-2
1.854	4.006e-2
1.853	3.978e-2
1.852	3.958e-2
1.851	3.936e-2
1.850	3.919e-2
1.849	3.902e-2
1.848	3.879e-2
1.847	3.863e-2
1.846	3.841e-2
1.845	3.824e-2
1.844	3.805e-2
1.843	3.788e-2
1.842	3.775e-2
1.841	3.743e-2
1.840	3.722e-2
1.839	3.706e-2
1.838	3.689e-2
1.837	3.675e-2
1.836	3.667e-2
1.835	3.654e-2
1.834	3.630e-2
1.833	3.619e-2
1.832	3.598e-2
1.831	3.581e-2
1.830	3.563e-2
1.829	3.549e-2
1.828	3.524e-2
1.827	3.509e-2
1.826	3.484e-2
1.825	3.468e-2
1.824	3.456e-2
1.823	3.425e-2
1.822	3.414e-2
1.821	3.394e-2
1.820	3.381e-2
1.819	3.360e-2
1.818	3.343e-2
1.817	3.323e-2
1.816	3.309e-2
1.815	3.299e-2
1.814	3.281e-2
1.813	3.266e-2
1.812	3.242e-2
1.811	3.233e-2
1.810	3.218e-2
1.809	3.197e-2
1.808	3.188e-2
1.807	3.164e-2
1.806	3.149e-2
1.805	3.131e-2
1.804	3.112e-2
1.803	3.099e-2
1.802	3.088e-2
1.801	3.068e-2
1.800	3.062e-2
1.799	3.046e-2
1.798	3.028e-2
1.797	3.019e-2
1.796	3.002e-2
1.795	2.990e-2
1.794	2.975e-2
1.793	2.959e-2
1.792	2.939e-2
1.791	2.925e-2
1.790	2.910e-2
1.789	2.901e-2
1.788	2.881e-2
1.787	2.865e-2
1.786	2.846e-2
1.785	2.832e-2
1.784	2.817e-2
1.783	2.809e-2
1.782	2.788e-2
1.781	2.781e-2
1.780	2.762e-2
1.779	2.749e-2
1.778	2.733e-2
1.777	2.722e-2
1.776	2.701e-2
1.775	2.693e-2
1.774	2.674e-2
1.773	2.667e-2
1.772	2.648e-2
1.771	2.636e-2
1.770	2.619e-2
1.769	2.613e-2
1.768	2.598e-2
1.767	2.581e-2
1.766	2.561e-2
1.765	2.554e-2
1.764	2.532e-2
1.763	2.528e-2
1.762	2.516e-2
1.761	2.501e-2
1.760	2.496e-2
1.759	2.476e-2
1.758	2.465e-2
1.757	2.445e-2
1.756	2.431e-2
1.755	2.418e-2
1.754	2.415e-2
1.753	2.388e-2
1.752	2.378e-2
1.751	2.361e-2
1.750	2.347e-2
1.749	2.333e-2
1.748	2.320e-2
1.747	2.310e-2
1.746	2.298e-2
1.745	2.282e-2
1.744	2.272e-2
1.743	2.254e-2
1.742	2.238e-2
1.741	2.229e-2
1.740	2.223e-2
1.739	2.205e-2
1.738	2.193e-2
1.737	2.183e-2
1.736	2.168e-2
1.735	2.160e-2
1.734	2.151e-2
1.733	2.133e-2
1.732	2.122e-2
1.731	2.107e-2
1.730	2.094e-2
1.729	2.089e-2
1.728	2.073e-2
1.727	2.066e-2
1.726	2.053e-2
1.725	2.041e-2
1.724	2.026e-2
1.723	2.012e-2
1.722	2.000e-2
1.721	1.986e-2
1.720	1.978e-2
1.719	1.968e-2
1.718	1.958e-2
1.717	1.946e-2
1.716	1.940e-2
1.715	1.921e-2
1.714	1.903e-2
1.713	1.887e-2
1.712	1.881e-2
1.711	1.866e-2
1.710	1.857e-2
1.709	1.845e-2
1.708	1.832e-2
1.707	1.824e-2
1.706	1.807e-2
1.705	1.803e-2
1.704	1.791e-2
1.703	1.776e-2
1.702	1.764e-2
1.701	1.754e-2
1.700	1.741e-2
1.699	1.728e-2
1.698	1.720e-2
1.697	1.709e-2
1.696	1.698e-2
1.695	1.686e-2
1.694	1.675e-2
1.693	1.667e-2
1.692	1.652e-2
1.691	1.638e-2
1.690	1.630e-2
1.689	1.621e-2
1.688	1.607e-2
1.687	1.594e-2
1.686	1.583e-2
1.685	1.572e-2
1.684	1.565e-2
1.683	1.552e-2
1.682	1.538e-2
1.681	1.529e-2
1.680	1.516e-2
1.679	1.505e-2
1.678	1.497e-2
1.677	1.483e-2
1.676	1.473e-2
1.675	1.465e-2
1.674	1.456e-2
1.673	1.443e-2
1.672	1.436e-2
1.671	1.422e-2
1.670	1.411e-2
1.669	1.401e-2
1.668	1.391e-2
1.667	1.379e-2
1.666	1.364e-2
1.665	1.358e-2
1.664	1.353e-2
1.663	1.340e-2
1.662	1.335e-2
1.661	1.320e-2
1.660	1.309e-2
1.659	1.303e-2
1.658	1.291e-2
1.657	1.283e-2
1.656	1.273e-2
1.655	1.264e-2
1.654	1.250e-2
1.653	1.241e-2
1.652	1.231e-2
1.651	1.221e-2
1.650	1.214e-2
1.649	1.204e-2
1.648	1.197e-2
1.647	1.190e-2
1.646	1.177e-2
1.645	1.171e-2
1.644	1.158e-2
1.643	1.142e-2
1.642	1.133e-2
1.641	1.122e-2
1.640	1.113e-2
1.639	1.105e-2
1.638	1.092e-2
1.637	1.086e-2
1.636	1.075e-2
1.635	1.062e-2
1.634	1.053e-2
1.633	1.050e-2
1.632	1.041e-2
1.631	1.028e-2
1.630	1.019e-2
1.629	1.011e-2
1.628	1.003e-2
1.627	9.937e-3
1.626	9.867e-3
1.625	9.773e-3
1.624	9.674e-3
1.623	9.587e-3
1.622	9.522e-3
1.621	9.433e-3
1.620	9.338e-3
1.619	9.237e-3
1.618	9.157e-3
1.617	9.072e-3
1.616	8.997e-3
1.615	8.888e-3
1.614	8.807e-3
1.613	8.738e-3
1.612	8.615e-3
1.611	8.554e-3
1.610	8.482e-3
1.609	8.385e-3
1.608	8.293e-3
1.607	8.218e-3
1.606	8.131e-3
1.605	8.059e-3
1.604	7.971e-3
1.603	7.917e-3
1.602	7.851e-3
1.601	7.773e-3
1.600	7.689e-3
1.599	7.585e-3
1.598	7.505e-3
1.597	7.402e-3
1.596	7.338e-3
1.595	7.250e-3
1.594	7.194e-3
1.593	7.089e-3
1.592	7.030e-3
1.591	6.954e-3
1.590	6.868e-3
1.589	6.800e-3
1.588	6.719e-3
1.587	6.648e-3
1.586	6.556e-3
1.585	6.484e-3
1.584	6.406e-3
1.583	6.328e-3
1.582	6.262e-3
1.581	6.194e-3
1.580	6.106e-3
1.579	6.041e-3
1.578	5.970e-3
1.577	5.912e-3
1.576	5.853e-3
1.575	5.746e-3
1.574	5.666e-3
1.573	5.615e-3
1.572	5.570e-3
1.571	5.496e-3
1.570	5.412e-3
1.569	5.330e-3
1.568	5.286e-3
1.567	5.226e-3
1.566	5.173e-3
1.565	5.091e-3
1.564	5.027e-3
1.563	4.962e-3
1.562	4.891e-3
1.561	4.817e-3
1.560	4.760e-3
1.559	4.705e-3
1.558	4.627e-3
1.557	4.561e-3
1.556	4.518e-3
1.555	4.452e-3
1.554	4.380e-3
1.553	4.326e-3
1.552	4.253e-3
1.551	4.202e-3
1.550	4.156e-3
1.549	4.096e-3
1.548	4.020e-3
1.547	3.956e-3
1.546	3.917e-3
1.545	3.863e-3
1.544	3.803e-3
1.543	3.737e-3
1.542	3.674e-3
1.541	3.611e-3
1.540	3.556e-3
1.539	3.490e-3
1.538	3.449e-3
1.537	3.415e-3
1.536	3.375e-3
1.535	3.313e-3
1.534	3.270e-3
1.533	3.182e-3
1.532	3.117e-3
1.531	3.070e-3
1.530	3.035e-3
1.529	2.985e-3
1.528	2.931e-3
1.527	2.889e-3
1.526	2.835e-3
1.525	2.786e-3
1.524	2.740e-3
1.523	2.686e-3
1.522	2.633e-3
1.521	2.571e-3
1.520	2.517e-3
1.519	2.476e-3
1.518	2.441e-3
1.517	2.394e-3
1.516	2.347e-3
1.515	2.306e-3
1.514	2.229e-3
1.513	2.186e-3
1.512	2.148e-3
1.511	2.095e-3
1.510	2.050e-3
1.509	2.002e-3
1.508	1.959e-3
1.507	1.916e-3
1.506	1.865e-3
1.505	1.835e-3
1.504	1.798e-3
1.503	1.752e-3
1.502	1.716e-3
1.501	1.672e-3
1.500	1.637e-3
1.499	1.601e-3
1.498	1.557e-3
1.497	1.518e-3
1.496	1.480e-3
1.495	1.450e-3
1.494	1.424e-3
1.493	1.387e-3
1.492	1.353e-3
1.491	1.310e-3
1.490	1.277e-3
1.489	1.245e-3
1.488	1.218e-3
1.487	1.183e-3
1.486	1.151e-3
1.485	1.121e-3
1.484	1.093e-3
1.483	1.058e-3
1.482	1.026e-3
1.481	9.953e-4
1.480	9.691e-4
1.479	9.455e-4
1.478	9.190e-4
1.477	8.916e-4
1.476	8.657e-4
1.475	8.403e-4
1.474	8.111e-4
1.473	7.809e-4
1.472	7.523e-4
1.471	7.252e-4
1.470	7.020e-4
1.469	6.790e-4
1.468	6.548e-4
1.467	6.373e-4
1.466	6.172e-4
1.465	5.953e-4
1.464	5.774e-4
1.463	5.548e-4
1.462	5.325e-4
1.461	5.144e-4
1.460	4.935e-4
1.459	4.727e-4
1.458	4.539e-4
1.457	4.364e-4
1.456	4.181e-4
1.455	4.024e-4
1.454	3.878e-4
1.453	3.709e-4
1.452	3.541e-4
1.451	3.400e-4
1.450	3.254e-4
1.449	3.118e-4
1.448	2.964e-4
1.447	2.828e-4
1.446	2.657e-4
1.445	2.547e-4
1.444	2.399e-4
1.443	2.286e-4
1.442	2.148e-4
1.441	2.028e-4
1.440	1.906e-4
1.439	1.794e-4
1.438	1.686e-4
1.437	1.579e-4
1.436	1.477e-4
1.435	1.387e-4
1.434	1.289e-4
1.433	1.188e-4
1.432	1.101e-4
1.431	1.018e-4
1.430	9.390e-5
1.429	8.643e-5
1.428	7.906e-5
1.427	7.061e-5
1.426	6.412e-5
1.425	5.833e-5
1.424	5.056e-5
1.423	4.477e-5
1.422	3.897e-5
1.421	3.190e-5
1.420	2.590e-5
1.419	2.020e-5
1.418	1.411e-5
1.417	9.983e-6
1.416	4.972e-6
1.415	-1.120e-6
1.414	-6.524e-6
1.413	-1.045e-5
1.412	-1.439e-5
1.411	-1.910e-5
1.410	-2.264e-5
1.409	-2.696e-5
1.408	-3.197e-5
1.407	-3.531e-5
1.406	-3.846e-5
1.405	-4.121e-5
1.404	-4.494e-5
1.403	-4.681e-5
1.402	-5.133e-5
1.401	-5.359e-5
1.400	-5.654e-5
1.399	-5.939e-5
1.398	-6.086e-5
1.397	-6.234e-5
1.396	-6.568e-5
1.395	-6.990e-5
1.394	-7.088e-5
1.393	-7.246e-5
1.392	-7.344e-5
1.391	-7.599e-5
1.390	-7.727e-5
1.389	-7.875e-5
1.388	-8.199e-5
1.387	-8.268e-5
1.386	-8.386e-5
1.385	-8.602e-5
1.384	-8.729e-5
1.383	-8.906e-5
1.382	-9.122e-5
1.381	-9.142e-5
1.380	-9.388e-5
1.379	-9.437e-5
1.378	-9.663e-5
1.377	-9.722e-5
1.376	-9.889e-5
1.375	-1.009e-4
1.374	-1.017e-4
1.373	-1.019e-4
