Results:

Channel 1:

Potential/V	Current/A

1.200	9.768e-4
1.201	1.022e-3
1.202	1.045e-3
1.203	1.060e-3
1.204	1.070e-3
1.205	1.076e-3
1.206	1.084e-3
1.207	1.089e-3
1.208	1.091e-3
1.209	1.093e-3
1.210	1.097e-3
1.211	1.098e-3
1.212	1.103e-3
1.213	1.103e-3
1.214	1.104e-3
1.215	1.105e-3
1.216	1.105e-3
1.217	1.108e-3
1.218	1.111e-3
1.219	1.112e-3
1.220	1.114e-3
1.221	1.114e-3
1.222	1.116e-3
1.223	1.118e-3
1.224	1.119e-3
1.225	1.120e-3
1.226	1.122e-3
1.227	1.123e-3
1.228	1.125e-3
1.229	1.128e-3
1.230	1.129e-3
1.231	1.130e-3
1.232	1.132e-3
1.233	1.134e-3
1.234	1.135e-3
1.235	1.136e-3
1.236	1.137e-3
1.237	1.137e-3
1.238	1.139e-3
1.239	1.139e-3
1.240	1.140e-3
1.241	1.141e-3
1.242	1.144e-3
1.243	1.144e-3
1.244	1.145e-3
1.245	1.145e-3
1.246	1.148e-3
1.247	1.149e-3
1.248	1.151e-3
1.249	1.151e-3
1.250	1.153e-3
1.251	1.154e-3
1.252	1.155e-3
1.253	1.155e-3
1.254	1.156e-3
1.255	1.158e-3
1.256	1.159e-3
1.257	1.158e-3
1.258	1.159e-3
1.259	1.160e-3
1.260	1.163e-3
1.261	1.163e-3
1.262	1.164e-3
1.263	1.164e-3
1.264	1.165e-3
1.265	1.165e-3
1.266	1.166e-3
1.267	1.169e-3
1.268	1.170e-3
1.269	1.170e-3
1.270	1.171e-3
1.271	1.173e-3
1.272	1.172e-3
1.273	1.173e-3
1.274	1.174e-3
1.275	1.175e-3
1.276	1.176e-3
1.277	1.178e-3
1.278	1.178e-3
1.279	1.177e-3
1.280	1.179e-3
1.281	1.180e-3
1.282	1.180e-3
1.283	1.179e-3
1.284	1.181e-3
1.285	1.182e-3
1.286	1.184e-3
1.287	1.185e-3
1.288	1.186e-3
1.289	1.185e-3
1.290	1.185e-3
1.291	1.186e-3
1.292	1.188e-3
1.293	1.190e-3
1.294	1.189e-3
1.295	1.189e-3
1.296	1.190e-3
1.297	1.190e-3
1.298	1.190e-3
1.299	1.192e-3
1.300	1.195e-3
1.301	1.193e-3
1.302	1.192e-3
1.303	1.192e-3
1.304	1.192e-3
1.305	1.193e-3
1.306	1.194e-3
1.307	1.194e-3
1.308	1.195e-3
1.309	1.194e-3
1.310	1.194e-3
1.311	1.195e-3
1.312	1.196e-3
1.313	1.197e-3
1.314	1.196e-3
1.315	1.196e-3
1.316	1.196e-3
1.317	1.197e-3
1.318	1.197e-3
1.319	1.199e-3
1.320	1.198e-3
1.321	1.199e-3
1.322	1.199e-3
1.323	1.198e-3
1.324	1.198e-3
1.325	1.199e-3
1.326	1.200e-3
1.327	1.200e-3
1.328	1.200e-3
1.329	1.201e-3
1.330	1.200e-3
1.331	1.202e-3
1.332	1.203e-3
1.333	1.202e-3
1.334	1.202e-3
1.335	1.202e-3
1.336	1.201e-3
1.337	1.203e-3
1.338	1.202e-3
1.339	1.202e-3
1.340	1.202e-3
1.341	1.201e-3
1.342	1.203e-3
1.343	1.202e-3
1.344	1.203e-3
1.345	1.204e-3
1.346	1.203e-3
1.347	1.204e-3
1.348	1.204e-3
1.349	1.203e-3
1.350	1.202e-3
1.351	1.204e-3
1.352	1.204e-3
1.353	1.205e-3
1.354	1.205e-3
1.355	1.206e-3
1.356	1.205e-3
1.357	1.206e-3
1.358	1.207e-3
1.359	1.205e-3
1.360	1.205e-3
1.361	1.206e-3
1.362	1.206e-3
1.363	1.207e-3
1.364	1.206e-3
1.365	1.206e-3
1.366	1.206e-3
1.367	1.207e-3
1.368	1.205e-3
1.369	1.207e-3
