Results:

Channel 1:

Potential/V	Current/A

1.900	1.474e-2
1.899	1.461e-2
1.898	1.450e-2
1.897	1.441e-2
1.896	1.433e-2
1.895	1.423e-2
1.894	1.413e-2
1.893	1.400e-2
1.892	1.391e-2
1.891	1.385e-2
1.890	1.379e-2
1.889	1.370e-2
1.888	1.362e-2
1.887	1.353e-2
1.886	1.345e-2
1.885	1.337e-2
1.884	1.329e-2
1.883	1.320e-2
1.882	1.313e-2
1.881	1.305e-2
1.880	1.298e-2
1.879	1.289e-2
1.878	1.282e-2
1.877	1.276e-2
1.876	1.266e-2
1.875	1.259e-2
1.874	1.254e-2
1.873	1.245e-2
1.872	1.240e-2
1.871	1.231e-2
1.870	1.225e-2
1.869	1.216e-2
1.868	1.210e-2
1.867	1.204e-2
1.866	1.197e-2
1.865	1.190e-2
1.864	1.185e-2
1.863	1.179e-2
1.862	1.171e-2
1.861	1.166e-2
1.860	1.159e-2
1.859	1.153e-2
1.858	1.148e-2
1.857	1.142e-2
1.856	1.134e-2
1.855	1.128e-2
1.854	1.122e-2
1.853	1.115e-2
1.852	1.108e-2
1.851	1.100e-2
1.850	1.095e-2
1.849	1.090e-2
1.848	1.086e-2
1.847	1.081e-2
1.846	1.076e-2
1.845	1.071e-2
1.844	1.064e-2
1.843	1.058e-2
1.842	1.053e-2
1.841	1.048e-2
1.840	1.043e-2
1.839	1.037e-2
1.838	1.029e-2
1.837	1.020e-2
1.836	1.015e-2
1.835	1.011e-2
1.834	1.007e-2
1.833	1.004e-2
1.832	9.987e-3
1.831	9.937e-3
1.830	9.872e-3
1.829	9.812e-3
1.828	9.740e-3
1.827	9.683e-3
1.826	9.644e-3
1.825	9.607e-3
1.824	9.539e-3
1.823	9.509e-3
1.822	9.475e-3
1.821	9.444e-3
1.820	9.413e-3
1.819	9.377e-3
1.818	9.318e-3
1.817	9.263e-3
1.816	9.210e-3
1.815	9.163e-3
1.814	9.110e-3
1.813	9.065e-3
1.812	9.019e-3
1.811	8.976e-3
1.810	8.925e-3
1.809	8.866e-3
1.808	8.806e-3
1.807	8.762e-3
1.806	8.736e-3
1.805	8.694e-3
1.804	8.665e-3
1.803	8.633e-3
1.802	8.565e-3
1.801	8.528e-3
1.800	8.486e-3
1.799	8.439e-3
1.798	8.383e-3
1.797	8.316e-3
1.796	8.288e-3
1.795	8.240e-3
1.794	8.185e-3
1.793	8.149e-3
1.792	8.111e-3
1.791	8.051e-3
1.790	7.988e-3
1.789	7.947e-3
1.788	7.909e-3
1.787	7.881e-3
1.786	7.830e-3
1.785	7.784e-3
1.784	7.744e-3
1.783	7.716e-3
1.782	7.665e-3
1.781	7.596e-3
1.780	7.547e-3
1.779	7.501e-3
1.778	7.459e-3
1.777	7.423e-3
1.776	7.383e-3
1.775	7.327e-3
1.774	7.280e-3
1.773	7.261e-3
1.772	7.232e-3
1.771	7.212e-3
1.770	7.183e-3
1.769	7.131e-3
1.768	7.076e-3
1.767	7.022e-3
1.766	6.984e-3
1.765	6.951e-3
1.764	6.916e-3
1.763	6.885e-3
1.762	6.855e-3
1.761	6.800e-3
1.760	6.777e-3
1.759	6.739e-3
1.758	6.690e-3
1.757	6.652e-3
1.756	6.623e-3
1.755	6.599e-3
1.754	6.573e-3
1.753	6.537e-3
1.752	6.495e-3
1.751	6.459e-3
1.750	6.430e-3
1.749	6.402e-3
1.748	6.363e-3
1.747	6.336e-3
1.746	6.292e-3
1.745	6.253e-3
1.744	6.216e-3
1.743	6.184e-3
1.742	6.143e-3
1.741	6.105e-3
1.740	6.080e-3
1.739	6.046e-3
1.738	5.992e-3
1.737	5.946e-3
1.736	5.912e-3
1.735	5.866e-3
1.734	5.843e-3
1.733	5.818e-3
1.732	5.785e-3
1.731	5.744e-3
1.730	5.712e-3
1.729	5.680e-3
1.728	5.637e-3
1.727	5.619e-3
1.726	5.582e-3
1.725	5.536e-3
1.724	5.510e-3
1.723	5.473e-3
1.722	5.435e-3
1.721	5.407e-3
1.720	5.377e-3
1.719	5.342e-3
1.718	5.300e-3
1.717	5.270e-3
1.716	5.248e-3
1.715	5.206e-3
1.714	5.175e-3
1.713	5.136e-3
1.712	5.106e-3
1.711	5.084e-3
1.710	5.059e-3
1.709	5.019e-3
1.708	4.990e-3
1.707	4.954e-3
1.706	4.917e-3
1.705	4.885e-3
1.704	4.866e-3
1.703	4.832e-3
1.702	4.800e-3
1.701	4.768e-3
1.700	4.742e-3
1.699	4.708e-3
1.698	4.672e-3
1.697	4.644e-3
1.696	4.616e-3
1.695	4.588e-3
1.694	4.562e-3
1.693	4.529e-3
1.692	4.502e-3
1.691	4.463e-3
1.690	4.430e-3
1.689	4.387e-3
1.688	4.357e-3
1.687	4.325e-3
1.686	4.302e-3
1.685	4.274e-3
1.684	4.243e-3
1.683	4.209e-3
1.682	4.180e-3
1.681	4.149e-3
1.680	4.121e-3
1.679	4.094e-3
1.678	4.061e-3
1.677	4.034e-3
1.676	3.997e-3
1.675	3.972e-3
1.674	3.945e-3
1.673	3.920e-3
1.672	3.899e-3
1.671	3.869e-3
1.670	3.834e-3
1.669	3.800e-3
1.668	3.772e-3
1.667	3.742e-3
1.666	3.716e-3
1.665	3.688e-3
1.664	3.657e-3
1.663	3.623e-3
1.662	3.596e-3
1.661	3.562e-3
1.660	3.530e-3
1.659	3.511e-3
1.658	3.494e-3
1.657	3.480e-3
1.656	3.454e-3
1.655	3.423e-3
1.654	3.390e-3
1.653	3.360e-3
1.652	3.333e-3
1.651	3.310e-3
1.650	3.291e-3
1.649	3.262e-3
1.648	3.235e-3
1.647	3.204e-3
1.646	3.183e-3
1.645	3.146e-3
1.644	3.114e-3
1.643	3.091e-3
1.642	3.068e-3
1.641	3.038e-3
1.640	3.006e-3
1.639	2.983e-3
1.638	2.957e-3
1.637	2.940e-3
1.636	2.901e-3
1.635	2.879e-3
1.634	2.855e-3
1.633	2.829e-3
1.632	2.803e-3
1.631	2.780e-3
1.630	2.760e-3
1.629	2.736e-3
1.628	2.708e-3
1.627	2.686e-3
1.626	2.654e-3
1.625	2.627e-3
1.624	2.604e-3
1.623	2.586e-3
1.622	2.565e-3
1.621	2.541e-3
1.620	2.514e-3
1.619	2.488e-3
1.618	2.464e-3
1.617	2.443e-3
1.616	2.421e-3
1.615	2.401e-3
1.614	2.379e-3
1.613	2.344e-3
1.612	2.318e-3
1.611	2.294e-3
1.610	2.275e-3
1.609	2.254e-3
1.608	2.231e-3
1.607	2.212e-3
1.606	2.190e-3
1.605	2.168e-3
1.604	2.144e-3
1.603	2.122e-3
1.602	2.093e-3
1.601	2.071e-3
1.600	2.050e-3
1.599	2.036e-3
1.598	2.020e-3
1.597	1.992e-3
1.596	1.976e-3
1.595	1.956e-3
1.594	1.933e-3
1.593	1.912e-3
1.592	1.892e-3
1.591	1.873e-3
1.590	1.848e-3
1.589	1.827e-3
1.588	1.805e-3
1.587	1.783e-3
1.586	1.764e-3
1.585	1.744e-3
1.584	1.726e-3
1.583	1.708e-3
1.582	1.691e-3
1.581	1.671e-3
1.580	1.650e-3
1.579	1.632e-3
1.578	1.611e-3
1.577	1.587e-3
1.576	1.569e-3
1.575	1.551e-3
1.574	1.529e-3
1.573	1.511e-3
1.572	1.484e-3
1.571	1.460e-3
1.570	1.444e-3
1.569	1.432e-3
1.568	1.411e-3
1.567	1.387e-3
1.566	1.370e-3
1.565	1.356e-3
1.564	1.335e-3
1.563	1.317e-3
1.562	1.298e-3
1.561	1.277e-3
1.560	1.259e-3
1.559	1.244e-3
1.558	1.225e-3
1.557	1.207e-3
1.556	1.192e-3
1.555	1.176e-3
1.554	1.162e-3
1.553	1.145e-3
1.552	1.126e-3
1.551	1.110e-3
1.550	1.092e-3
1.549	1.076e-3
1.548	1.063e-3
1.547	1.046e-3
1.546	1.028e-3
1.545	1.012e-3
1.544	9.975e-4
1.543	9.816e-4
1.542	9.646e-4
1.541	9.495e-4
1.540	9.340e-4
1.539	9.201e-4
1.538	9.045e-4
1.537	8.896e-4
1.536	8.731e-4
1.535	8.597e-4
1.534	8.472e-4
1.533	8.305e-4
1.532	8.158e-4
1.531	8.042e-4
1.530	7.880e-4
1.529	7.723e-4
