Results:

Channel 1:

Potential/V	Current/A

1.200	1.571e-4
1.201	1.951e-4
1.202	2.125e-4
1.203	2.226e-4
1.204	2.314e-4
1.205	2.382e-4
1.206	2.452e-4
1.207	2.500e-4
1.208	2.558e-4
1.209	2.598e-4
1.210	2.647e-4
1.211	2.675e-4
1.212	2.722e-4
1.213	2.755e-4
1.214	2.798e-4
1.215	2.830e-4
1.216	2.871e-4
1.217	2.902e-4
1.218	2.926e-4
1.219	2.958e-4
1.220	2.995e-4
1.221	3.011e-4
1.222	3.043e-4
1.223	3.070e-4
1.224	3.079e-4
1.225	3.117e-4
1.226	3.142e-4
1.227	3.156e-4
1.228	3.176e-4
1.229	3.234e-4
1.230	3.247e-4
1.231	3.259e-4
1.232	3.286e-4
1.233	3.297e-4
1.234	3.320e-4
1.235	3.342e-4
1.236	3.362e-4
1.237	3.376e-4
1.238	3.398e-4
1.239	3.415e-4
1.240	3.435e-4
1.241	3.435e-4
1.242	3.471e-4
1.243	3.477e-4
1.244	3.497e-4
1.245	3.518e-4
1.246	3.516e-4
1.247	3.540e-4
1.248	3.574e-4
1.249	3.579e-4
1.250	3.595e-4
1.251	3.606e-4
1.252	3.614e-4
1.253	3.626e-4
1.254	3.647e-4
1.255	3.669e-4
1.256	3.676e-4
1.257	3.704e-4
1.258	3.705e-4
1.259	3.716e-4
1.260	3.737e-4
1.261	3.754e-4
1.262	3.768e-4
1.263	3.790e-4
1.264	3.791e-4
1.265	3.796e-4
1.266	3.809e-4
1.267	3.829e-4
1.268	3.851e-4
1.269	3.853e-4
1.270	3.876e-4
1.271	3.888e-4
1.272	3.904e-4
1.273	3.903e-4
1.274	3.935e-4
1.275	3.944e-4
1.276	3.950e-4
1.277	3.964e-4
1.278	3.983e-4
1.279	3.987e-4
1.280	4.014e-4
1.281	4.029e-4
1.282	4.033e-4
1.283	4.048e-4
1.284	4.062e-4
1.285	4.060e-4
1.286	4.080e-4
1.287	4.102e-4
1.288	4.110e-4
1.289	4.119e-4
1.290	4.131e-4
1.291	4.149e-4
1.292	4.161e-4
1.293	4.175e-4
1.294	4.189e-4
1.295	4.197e-4
1.296	4.207e-4
1.297	4.222e-4
1.298	4.222e-4
1.299	4.249e-4
1.300	4.258e-4
1.301	4.269e-4
1.302	4.291e-4
1.303	4.299e-4
1.304	4.308e-4
1.305	4.314e-4
1.306	4.339e-4
1.307	4.345e-4
1.308	4.360e-4
1.309	4.374e-4
1.310	4.387e-4
1.311	4.398e-4
1.312	4.413e-4
1.313	4.428e-4
1.314	4.435e-4
1.315	4.440e-4
1.316	4.459e-4
1.317	4.457e-4
1.318	4.487e-4
1.319	4.493e-4
1.320	4.506e-4
1.321	4.520e-4
1.322	4.540e-4
1.323	4.537e-4
1.324	4.554e-4
1.325	4.564e-4
1.326	4.569e-4
1.327	4.579e-4
1.328	4.592e-4
1.329	4.608e-4
1.330	4.622e-4
1.331	4.638e-4
1.332	4.661e-4
1.333	4.674e-4
1.334	4.677e-4
1.335	4.694e-4
1.336	4.699e-4
1.337	4.721e-4
1.338	4.734e-4
1.339	4.734e-4
1.340	4.752e-4
1.341	4.760e-4
1.342	4.770e-4
1.343	4.785e-4
1.344	4.807e-4
1.345	4.809e-4
1.346	4.825e-4
1.347	4.840e-4
1.348	4.849e-4
1.349	4.863e-4
1.350	4.874e-4
1.351	4.880e-4
1.352	4.903e-4
1.353	4.913e-4
1.354	4.926e-4
1.355	4.939e-4
1.356	4.952e-4
1.357	4.976e-4
1.358	4.986e-4
1.359	5.004e-4
1.360	5.020e-4
1.361	5.025e-4
1.362	5.045e-4
1.363	5.062e-4
1.364	5.068e-4
1.365	5.077e-4
1.366	5.097e-4
1.367	5.107e-4
1.368	5.125e-4
1.369	5.138e-4
1.370	5.165e-4
1.371	5.164e-4
1.372	5.179e-4
1.373	5.199e-4
1.374	5.215e-4
1.375	5.222e-4
1.376	5.240e-4
1.377	5.259e-4
1.378	5.269e-4
1.379	5.275e-4
1.380	5.307e-4
1.381	5.316e-4
1.382	5.337e-4
1.383	5.355e-4
1.384	5.361e-4
1.385	5.389e-4
1.386	5.397e-4
1.387	5.409e-4
1.388	5.427e-4
1.389	5.442e-4
1.390	5.454e-4
1.391	5.473e-4
1.392	5.499e-4
1.393	5.510e-4
1.394	5.512e-4
1.395	5.547e-4
1.396	5.559e-4
1.397	5.559e-4
1.398	5.585e-4
1.399	5.606e-4
1.400	5.618e-4
1.401	5.636e-4
1.402	5.668e-4
1.403	5.673e-4
1.404	5.692e-4
1.405	5.710e-4
1.406	5.737e-4
1.407	5.761e-4
1.408	5.786e-4
1.409	5.794e-4
1.410	5.815e-4
1.411	5.833e-4
1.412	5.858e-4
1.413	5.869e-4
1.414	5.901e-4
1.415	5.920e-4
1.416	5.951e-4
1.417	5.966e-4
1.418	5.990e-4
1.419	6.018e-4
1.420	6.045e-4
1.421	6.090e-4
1.422	6.105e-4
1.423	6.134e-4
1.424	6.165e-4
1.425	6.198e-4
1.426	6.217e-4
1.427	6.251e-4
1.428	6.283e-4
1.429	6.315e-4
1.430	6.355e-4
1.431	6.391e-4
1.432	6.430e-4
1.433	6.469e-4
1.434	6.530e-4
1.435	6.561e-4
1.436	6.603e-4
1.437	6.657e-4
1.438	6.697e-4
1.439	6.736e-4
1.440	6.803e-4
1.441	6.850e-4
1.442	6.900e-4
1.443	6.952e-4
1.444	7.023e-4
1.445	7.071e-4
1.446	7.138e-4
1.447	7.197e-4
1.448	7.253e-4
1.449	7.316e-4
1.450	7.388e-4
1.451	7.459e-4
1.452	7.527e-4
1.453	7.601e-4
1.454	7.661e-4
1.455	7.751e-4
1.456	7.823e-4
1.457	7.906e-4
1.458	7.985e-4
1.459	8.082e-4
1.460	8.172e-4
1.461	8.265e-4
1.462	8.360e-4
1.463	8.467e-4
1.464	8.571e-4
1.465	8.673e-4
1.466	8.786e-4
1.467	8.887e-4
1.468	9.004e-4
1.469	9.137e-4
1.470	9.259e-4
1.471	9.383e-4
1.472	9.524e-4
1.473	9.662e-4
1.474	9.800e-4
1.475	9.934e-4
1.476	1.008e-3
1.477	1.022e-3
1.478	1.039e-3
1.479	1.056e-3
1.480	1.070e-3
1.481	1.087e-3
1.482	1.105e-3
1.483	1.121e-3
1.484	1.140e-3
1.485	1.158e-3
1.486	1.177e-3
1.487	1.194e-3
1.488	1.214e-3
1.489	1.232e-3
1.490	1.251e-3
1.491	1.272e-3
1.492	1.291e-3
1.493	1.311e-3
1.494	1.333e-3
1.495	1.355e-3
1.496	1.376e-3
1.497	1.397e-3
1.498	1.420e-3
1.499	1.441e-3
1.500	1.464e-3
1.501	1.486e-3
1.502	1.509e-3
1.503	1.532e-3
1.504	1.554e-3
1.505	1.578e-3
1.506	1.602e-3
1.507	1.626e-3
1.508	1.650e-3
1.509	1.674e-3
1.510	1.700e-3
1.511	1.725e-3
1.512	1.750e-3
1.513	1.776e-3
1.514	1.803e-3
1.515	1.827e-3
1.516	1.855e-3
1.517	1.883e-3
1.518	1.910e-3
1.519	1.937e-3
1.520	1.964e-3
1.521	1.992e-3
1.522	2.021e-3
1.523	2.050e-3
1.524	2.080e-3
1.525	2.107e-3
1.526	2.135e-3
1.527	2.166e-3
1.528	2.197e-3
1.529	2.226e-3
1.530	2.258e-3
1.531	2.288e-3
1.532	2.319e-3
1.533	2.351e-3
1.534	2.385e-3
1.535	2.418e-3
1.536	2.454e-3
1.537	2.489e-3
1.538	2.520e-3
1.539	2.554e-3
1.540	2.589e-3
1.541	2.623e-3
1.542	2.657e-3
1.543	2.693e-3
1.544	2.728e-3
1.545	2.764e-3
1.546	2.800e-3
1.547	2.838e-3
1.548	2.876e-3
1.549	2.910e-3
1.550	2.945e-3
1.551	2.984e-3
1.552	3.022e-3
1.553	3.059e-3
1.554	3.096e-3
1.555	3.136e-3
1.556	3.176e-3
1.557	3.218e-3
1.558	3.258e-3
1.559	3.299e-3
1.560	3.337e-3
1.561	3.380e-3
1.562	3.419e-3
1.563	3.456e-3
1.564	3.499e-3
1.565	3.540e-3
1.566	3.581e-3
1.567	3.624e-3
1.568	3.666e-3
1.569	3.703e-3
1.570	3.742e-3
1.571	3.780e-3
1.572	3.821e-3
1.573	3.860e-3
1.574	3.901e-3
1.575	3.947e-3
1.576	3.985e-3
1.577	4.029e-3
1.578	4.072e-3
1.579	4.117e-3
1.580	4.164e-3
1.581	4.211e-3
1.582	4.252e-3
1.583	4.294e-3
1.584	4.343e-3
1.585	4.385e-3
1.586	4.432e-3
1.587	4.482e-3
1.588	4.529e-3
1.589	4.574e-3
1.590	4.622e-3
1.591	4.667e-3
1.592	4.715e-3
1.593	4.763e-3
1.594	4.810e-3
1.595	4.852e-3
1.596	4.904e-3
1.597	4.950e-3
1.598	4.997e-3
1.599	5.050e-3
1.600	5.099e-3
1.601	5.148e-3
1.602	5.192e-3
1.603	5.238e-3
1.604	5.285e-3
1.605	5.339e-3
1.606	5.393e-3
1.607	5.439e-3
1.608	5.487e-3
1.609	5.534e-3
1.610	5.585e-3
1.611	5.643e-3
1.612	5.697e-3
1.613	5.744e-3
1.614	5.796e-3
1.615	5.842e-3
1.616	5.895e-3
1.617	5.951e-3
1.618	6.002e-3
1.619	6.043e-3
1.620	6.084e-3
1.621	6.121e-3
1.622	6.173e-3
1.623	6.228e-3
1.624	6.281e-3
1.625	6.336e-3
1.626	6.399e-3
1.627	6.457e-3
1.628	6.505e-3
1.629	6.553e-3
1.630	6.609e-3
1.631	6.662e-3
1.632	6.718e-3
1.633	6.772e-3
1.634	6.829e-3
1.635	6.882e-3
1.636	6.934e-3
1.637	6.991e-3
1.638	7.048e-3
1.639	7.104e-3
1.640	7.161e-3
1.641	7.217e-3
1.642	7.266e-3
1.643	7.315e-3
1.644	7.360e-3
1.645	7.407e-3
1.646	7.455e-3
1.647	7.500e-3
1.648	7.550e-3
1.649	7.614e-3
1.650	7.669e-3
1.651	7.725e-3
1.652	7.777e-3
1.653	7.832e-3
1.654	7.883e-3
1.655	7.936e-3
1.656	7.990e-3
1.657	8.038e-3
1.658	8.097e-3
1.659	8.143e-3
1.660	8.200e-3
1.661	8.246e-3
1.662	8.314e-3
1.663	8.362e-3
1.664	8.407e-3
1.665	8.450e-3
1.666	8.510e-3
1.667	8.576e-3
1.668	8.635e-3
1.669	8.675e-3
1.670	8.739e-3
1.671	8.806e-3
1.672	8.884e-3
1.673	8.946e-3
1.674	8.993e-3
1.675	9.040e-3
1.676	9.092e-3
1.677	9.145e-3
1.678	9.203e-3
1.679	9.267e-3
1.680	9.306e-3
1.681	9.363e-3
1.682	9.424e-3
1.683	9.490e-3
1.684	9.562e-3
1.685	9.611e-3
1.686	9.661e-3
1.687	9.719e-3
1.688	9.797e-3
1.689	9.864e-3
1.690	9.918e-3
1.691	9.965e-3
1.692	1.001e-2
1.693	1.004e-2
1.694	1.007e-2
1.695	1.013e-2
1.696	1.016e-2
1.697	1.021e-2
1.698	1.028e-2
1.699	1.034e-2
1.700	1.039e-2
1.701	1.045e-2
1.702	1.050e-2
1.703	1.053e-2
1.704	1.060e-2
1.705	1.063e-2
1.706	1.065e-2
1.707	1.068e-2
1.708	1.071e-2
1.709	1.075e-2
1.710	1.081e-2
1.711	1.086e-2
1.712	1.093e-2
1.713	1.097e-2
1.714	1.101e-2
1.715	1.106e-2
1.716	1.111e-2
1.717	1.114e-2
1.718	1.120e-2
1.719	1.127e-2
1.720	1.132e-2
1.721	1.135e-2
1.722	1.141e-2
1.723	1.146e-2
1.724	1.151e-2
1.725	1.154e-2
1.726	1.159e-2
1.727	1.165e-2
1.728	1.171e-2
1.729	1.175e-2
1.730	1.179e-2
1.731	1.182e-2
1.732	1.188e-2
1.733	1.192e-2
1.734	1.195e-2
1.735	1.197e-2
1.736	1.202e-2
1.737	1.208e-2
1.738	1.212e-2
1.739	1.217e-2
1.740	1.222e-2
1.741	1.228e-2
1.742	1.233e-2
1.743	1.239e-2
1.744	1.243e-2
1.745	1.245e-2
1.746	1.246e-2
1.747	1.249e-2
1.748	1.254e-2
1.749	1.256e-2
1.750	1.262e-2
1.751	1.266e-2
1.752	1.270e-2
1.753	1.274e-2
1.754	1.277e-2
1.755	1.280e-2
1.756	1.283e-2
1.757	1.286e-2
1.758	1.290e-2
1.759	1.292e-2
1.760	1.294e-2
1.761	1.296e-2
1.762	1.299e-2
1.763	1.303e-2
1.764	1.308e-2
1.765	1.312e-2
1.766	1.317e-2
1.767	1.321e-2
1.768	1.323e-2
1.769	1.324e-2
1.770	1.326e-2
1.771	1.329e-2
1.772	1.333e-2
1.773	1.337e-2
1.774	1.342e-2
1.775	1.345e-2
1.776	1.350e-2
1.777	1.353e-2
1.778	1.358e-2
1.779	1.360e-2
1.780	1.365e-2
1.781	1.368e-2
1.782	1.370e-2
1.783	1.374e-2
1.784	1.378e-2
1.785	1.380e-2
1.786	1.384e-2
1.787	1.388e-2
1.788	1.389e-2
1.789	1.391e-2
1.790	1.395e-2
1.791	1.400e-2
1.792	1.405e-2
1.793	1.408e-2
1.794	1.408e-2
1.795	1.411e-2
1.796	1.415e-2
1.797	1.417e-2
1.798	1.421e-2
1.799	1.422e-2
1.800	1.424e-2
1.801	1.427e-2
1.802	1.432e-2
1.803	1.436e-2
1.804	1.440e-2
1.805	1.441e-2
1.806	1.443e-2
1.807	1.444e-2
1.808	1.448e-2
1.809	1.449e-2
1.810	1.450e-2
1.811	1.453e-2
1.812	1.457e-2
1.813	1.460e-2
1.814	1.465e-2
1.815	1.468e-2
1.816	1.472e-2
1.817	1.474e-2
1.818	1.477e-2
1.819	1.480e-2
1.820	1.483e-2
1.821	1.484e-2
1.822	1.488e-2
1.823	1.491e-2
1.824	1.493e-2
1.825	1.498e-2
1.826	1.499e-2
1.827	1.500e-2
1.828	1.503e-2
1.829	1.506e-2
1.830	1.510e-2
1.831	1.513e-2
1.832	1.515e-2
1.833	1.517e-2
1.834	1.520e-2
1.835	1.523e-2
1.836	1.525e-2
1.837	1.529e-2
1.838	1.531e-2
1.839	1.533e-2
1.840	1.538e-2
1.841	1.541e-2
1.842	1.545e-2
1.843	1.549e-2
1.844	1.552e-2
1.845	1.555e-2
1.846	1.556e-2
1.847	1.561e-2
1.848	1.562e-2
1.849	1.561e-2
1.850	1.561e-2
1.851	1.564e-2
1.852	1.565e-2
1.853	1.568e-2
1.854	1.570e-2
1.855	1.571e-2
1.856	1.572e-2
1.857	1.574e-2
1.858	1.577e-2
1.859	1.581e-2
1.860	1.580e-2
1.861	1.582e-2
1.862	1.586e-2
1.863	1.592e-2
1.864	1.593e-2
1.865	1.593e-2
1.866	1.592e-2
1.867	1.596e-2
1.868	1.597e-2
1.869	1.599e-2
1.870	1.601e-2
1.871	1.607e-2
1.872	1.610e-2
1.873	1.611e-2
1.874	1.613e-2
1.875	1.615e-2
1.876	1.616e-2
1.877	1.620e-2
1.878	1.627e-2
1.879	1.632e-2
1.880	1.634e-2
1.881	1.637e-2
1.882	1.638e-2
1.883	1.639e-2
1.884	1.641e-2
1.885	1.644e-2
1.886	1.646e-2
1.887	1.648e-2
1.888	1.647e-2
1.889	1.650e-2
1.890	1.655e-2
1.891	1.658e-2
1.892	1.659e-2
1.893	1.664e-2
1.894	1.668e-2
1.895	1.673e-2
1.896	1.678e-2
1.897	1.682e-2
1.898	1.687e-2
1.899	1.690e-2
