Results:

Channel 1:

Potential/V	Current/A

2.200	1.491e-1
2.199	1.473e-1
2.198	1.456e-1
2.197	1.438e-1
2.196	1.422e-1
2.195	1.407e-1
2.194	1.391e-1
2.193	1.374e-1
2.192	1.356e-1
2.191	1.340e-1
2.190	1.326e-1
2.189	1.310e-1
2.188	1.295e-1
2.187	1.280e-1
2.186	1.265e-1
2.185	1.250e-1
2.184	1.236e-1
2.183	1.222e-1
2.182	1.208e-1
2.181	1.195e-1
2.180	1.182e-1
2.179	1.171e-1
2.178	1.158e-1
2.177	1.144e-1
2.176	1.132e-1
2.175	1.120e-1
2.174	1.108e-1
2.173	1.096e-1
2.172	1.084e-1
2.171	1.071e-1
2.170	1.059e-1
2.169	1.048e-1
2.168	1.036e-1
2.167	1.023e-1
2.166	1.012e-1
2.165	1.000e-1
2.164	9.901e-2
2.163	9.784e-2
2.162	9.668e-2
2.161	9.557e-2
2.160	9.443e-2
2.159	9.334e-2
2.158	9.224e-2
2.157	9.123e-2
2.156	9.029e-2
2.155	8.927e-2
2.154	8.818e-2
2.153	8.722e-2
2.152	8.631e-2
2.151	8.541e-2
2.150	8.445e-2
2.149	8.363e-2
2.148	8.266e-2
2.147	8.178e-2
2.146	8.088e-2
2.145	8.004e-2
2.144	7.916e-2
2.143	7.821e-2
2.142	7.728e-2
2.141	7.642e-2
2.140	7.567e-2
2.139	7.482e-2
2.138	7.398e-2
2.137	7.314e-2
2.136	7.226e-2
2.135	7.148e-2
2.134	7.071e-2
2.133	7.002e-2
2.132	6.920e-2
2.131	6.838e-2
2.130	6.758e-2
2.129	6.683e-2
2.128	6.601e-2
2.127	6.526e-2
2.126	6.454e-2
2.125	6.377e-2
2.124	6.307e-2
2.123	6.240e-2
2.122	6.177e-2
2.121	6.107e-2
2.120	6.034e-2
2.119	5.968e-2
2.118	5.903e-2
2.117	5.835e-2
2.116	5.770e-2
2.115	5.705e-2
2.114	5.640e-2
2.113	5.579e-2
2.112	5.517e-2
2.111	5.453e-2
2.110	5.393e-2
2.109	5.330e-2
2.108	5.267e-2
2.107	5.209e-2
2.106	5.150e-2
2.105	5.090e-2
2.104	5.030e-2
2.103	4.975e-2
2.102	4.923e-2
2.101	4.865e-2
2.100	4.803e-2
2.099	4.744e-2
2.098	4.690e-2
2.097	4.638e-2
2.096	4.585e-2
2.095	4.538e-2
2.094	4.490e-2
2.093	4.435e-2
2.092	4.389e-2
2.091	4.341e-2
2.090	4.293e-2
2.089	4.244e-2
2.088	4.197e-2
2.087	4.150e-2
2.086	4.101e-2
2.085	4.063e-2
2.084	4.009e-2
2.083	3.961e-2
2.082	3.927e-2
2.081	3.884e-2
2.080	3.834e-2
2.079	3.791e-2
2.078	3.754e-2
2.077	3.703e-2
2.076	3.661e-2
2.075	3.626e-2
2.074	3.586e-2
2.073	3.550e-2
2.072	3.506e-2
2.071	3.461e-2
2.070	3.420e-2
2.069	3.385e-2
2.068	3.354e-2
2.067	3.318e-2
2.066	3.286e-2
2.065	3.251e-2
2.064	3.208e-2
2.063	3.172e-2
2.062	3.138e-2
2.061	3.103e-2
2.060	3.064e-2
2.059	3.027e-2
2.058	2.992e-2
2.057	2.953e-2
2.056	2.921e-2
2.055	2.886e-2
2.054	2.850e-2
2.053	2.816e-2
2.052	2.788e-2
2.051	2.754e-2
2.050	2.721e-2
2.049	2.693e-2
2.048	2.664e-2
2.047	2.635e-2
2.046	2.604e-2
2.045	2.575e-2
2.044	2.552e-2
2.043	2.522e-2
2.042	2.493e-2
2.041	2.461e-2
2.040	2.437e-2
2.039	2.405e-2
2.038	2.378e-2
2.037	2.352e-2
2.036	2.326e-2
2.035	2.298e-2
2.034	2.276e-2
2.033	2.250e-2
2.032	2.224e-2
2.031	2.200e-2
2.030	2.179e-2
2.029	2.153e-2
2.028	2.129e-2
2.027	2.107e-2
2.026	2.090e-2
2.025	2.063e-2
2.024	2.040e-2
2.023	2.015e-2
2.022	1.992e-2
2.021	1.970e-2
2.020	1.947e-2
2.019	1.923e-2
2.018	1.901e-2
2.017	1.881e-2
2.016	1.859e-2
2.015	1.838e-2
2.014	1.816e-2
2.013	1.797e-2
2.012	1.776e-2
2.011	1.754e-2
2.010	1.731e-2
2.009	1.714e-2
2.008	1.697e-2
2.007	1.678e-2
2.006	1.657e-2
2.005	1.639e-2
2.004	1.621e-2
2.003	1.603e-2
2.002	1.588e-2
2.001	1.575e-2
2.000	1.556e-2
1.999	1.538e-2
1.998	1.525e-2
1.997	1.508e-2
1.996	1.486e-2
1.995	1.472e-2
1.994	1.453e-2
1.993	1.435e-2
1.992	1.420e-2
1.991	1.403e-2
1.990	1.388e-2
1.989	1.374e-2
1.988	1.359e-2
1.987	1.344e-2
1.986	1.328e-2
1.985	1.313e-2
1.984	1.300e-2
1.983	1.286e-2
1.982	1.273e-2
1.981	1.260e-2
1.980	1.250e-2
1.979	1.234e-2
1.978	1.220e-2
1.977	1.207e-2
1.976	1.195e-2
1.975	1.185e-2
1.974	1.170e-2
1.973	1.157e-2
1.972	1.145e-2
1.971	1.130e-2
1.970	1.120e-2
1.969	1.108e-2
1.968	1.095e-2
1.967	1.084e-2
1.966	1.072e-2
1.965	1.059e-2
1.964	1.048e-2
1.963	1.038e-2
1.962	1.026e-2
1.961	1.014e-2
1.960	1.004e-2
1.959	9.986e-3
1.958	9.852e-3
1.957	9.753e-3
1.956	9.660e-3
1.955	9.561e-3
1.954	9.463e-3
1.953	9.377e-3
1.952	9.278e-3
1.951	9.181e-3
1.950	9.094e-3
1.949	9.002e-3
1.948	8.926e-3
1.947	8.841e-3
1.946	8.735e-3
1.945	8.641e-3
1.944	8.554e-3
1.943	8.462e-3
1.942	8.371e-3
1.941	8.291e-3
1.940	8.206e-3
1.939	8.113e-3
1.938	8.032e-3
1.937	7.985e-3
1.936	7.922e-3
1.935	7.825e-3
1.934	7.783e-3
1.933	7.734e-3
1.932	7.685e-3
1.931	7.614e-3
1.930	7.593e-3
1.929	7.587e-3
1.928	7.548e-3
1.927	7.473e-3
1.926	7.398e-3
1.925	7.315e-3
1.924	7.264e-3
1.923	7.196e-3
1.922	7.128e-3
1.921	7.033e-3
1.920	6.953e-3
1.919	6.866e-3
1.918	6.832e-3
1.917	6.764e-3
1.916	6.686e-3
1.915	6.638e-3
1.914	6.571e-3
1.913	6.500e-3
1.912	6.440e-3
1.911	6.362e-3
1.910	6.288e-3
1.909	6.249e-3
1.908	6.179e-3
1.907	6.112e-3
1.906	6.054e-3
1.905	5.986e-3
1.904	5.892e-3
1.903	5.831e-3
1.902	5.776e-3
1.901	5.689e-3
1.900	5.612e-3
1.899	5.566e-3
1.898	5.493e-3
1.897	5.436e-3
1.896	5.356e-3
1.895	5.269e-3
1.894	5.202e-3
1.893	5.148e-3
1.892	5.092e-3
1.891	5.045e-3
1.890	4.992e-3
1.889	4.927e-3
1.888	4.860e-3
1.887	4.800e-3
1.886	4.752e-3
1.885	4.697e-3
1.884	4.650e-3
1.883	4.603e-3
1.882	4.548e-3
1.881	4.496e-3
1.880	4.462e-3
1.879	4.423e-3
1.878	4.385e-3
1.877	4.335e-3
1.876	4.293e-3
1.875	4.240e-3
1.874	4.193e-3
1.873	4.154e-3
1.872	4.120e-3
1.871	4.060e-3
1.870	4.037e-3
1.869	4.013e-3
1.868	3.933e-3
1.867	3.909e-3
1.866	3.875e-3
1.865	3.832e-3
1.864	3.792e-3
1.863	3.762e-3
1.862	3.706e-3
1.861	3.658e-3
1.860	3.611e-3
1.859	3.580e-3
1.858	3.522e-3
1.857	3.499e-3
1.856	3.459e-3
1.855	3.415e-3
1.854	3.372e-3
1.853	3.345e-3
1.852	3.315e-3
1.851	3.289e-3
1.850	3.266e-3
1.849	3.228e-3
1.848	3.180e-3
1.847	3.142e-3
1.846	3.114e-3
1.845	3.094e-3
1.844	3.059e-3
1.843	3.022e-3
1.842	3.035e-3
1.841	3.051e-3
1.840	3.031e-3
1.839	2.968e-3
1.838	2.940e-3
1.837	2.888e-3
1.836	2.838e-3
1.835	2.826e-3
1.834	2.811e-3
1.833	2.787e-3
1.832	2.756e-3
1.831	2.726e-3
1.830	2.689e-3
1.829	2.662e-3
1.828	2.641e-3
1.827	2.619e-3
1.826	2.593e-3
