Results:

Channel 1:

Potential/V	Current/A

2.200	5.111e-2
2.199	5.079e-2
2.198	5.046e-2
2.197	5.013e-2
2.196	4.979e-2
2.195	4.946e-2
2.194	4.916e-2
2.193	4.885e-2
2.192	4.852e-2
2.191	4.822e-2
2.190	4.795e-2
2.189	4.771e-2
2.188	4.738e-2
2.187	4.704e-2
2.186	4.674e-2
2.185	4.645e-2
2.184	4.615e-2
2.183	4.585e-2
2.182	4.554e-2
2.181	4.524e-2
2.180	4.496e-2
2.179	4.469e-2
2.178	4.439e-2
2.177	4.407e-2
2.176	4.376e-2
2.175	4.348e-2
2.174	4.318e-2
2.173	4.289e-2
2.172	4.262e-2
2.171	4.234e-2
2.170	4.206e-2
2.169	4.177e-2
2.168	4.150e-2
2.167	4.122e-2
2.166	4.095e-2
2.165	4.067e-2
2.164	4.040e-2
2.163	4.013e-2
2.162	3.986e-2
2.161	3.960e-2
2.160	3.936e-2
2.159	3.910e-2
2.158	3.885e-2
2.157	3.859e-2
2.156	3.836e-2
2.155	3.811e-2
2.154	3.785e-2
2.153	3.756e-2
2.152	3.728e-2
2.151	3.701e-2
2.150	3.675e-2
2.149	3.647e-2
2.148	3.622e-2
2.147	3.598e-2
2.146	3.573e-2
2.145	3.549e-2
2.144	3.528e-2
2.143	3.507e-2
2.142	3.482e-2
2.141	3.457e-2
2.140	3.434e-2
2.139	3.412e-2
2.138	3.390e-2
2.137	3.364e-2
2.136	3.341e-2
2.135	3.319e-2
2.134	3.297e-2
2.133	3.273e-2
2.132	3.249e-2
2.131	3.227e-2
2.130	3.205e-2
2.129	3.182e-2
2.128	3.158e-2
2.127	3.137e-2
2.126	3.115e-2
2.125	3.092e-2
2.124	3.068e-2
2.123	3.047e-2
2.122	3.026e-2
2.121	3.005e-2
2.120	2.984e-2
2.119	2.963e-2
2.118	2.938e-2
2.117	2.915e-2
2.116	2.893e-2
2.115	2.869e-2
2.114	2.847e-2
2.113	2.826e-2
2.112	2.805e-2
2.111	2.785e-2
2.110	2.765e-2
2.109	2.746e-2
2.108	2.725e-2
2.107	2.705e-2
2.106	2.685e-2
2.105	2.666e-2
2.104	2.649e-2
2.103	2.631e-2
2.102	2.613e-2
2.101	2.593e-2
2.100	2.570e-2
2.099	2.549e-2
2.098	2.529e-2
2.097	2.511e-2
2.096	2.494e-2
2.095	2.477e-2
2.094	2.458e-2
2.093	2.440e-2
2.092	2.421e-2
2.091	2.401e-2
2.090	2.382e-2
2.089	2.363e-2
2.088	2.345e-2
2.087	2.327e-2
2.086	2.308e-2
2.085	2.287e-2
2.084	2.268e-2
2.083	2.250e-2
2.082	2.234e-2
2.081	2.221e-2
2.080	2.205e-2
2.079	2.186e-2
2.078	2.167e-2
2.077	2.148e-2
2.076	2.130e-2
2.075	2.112e-2
2.074	2.094e-2
2.073	2.077e-2
2.072	2.060e-2
2.071	2.043e-2
2.070	2.026e-2
2.069	2.011e-2
2.068	1.994e-2
2.067	1.979e-2
2.066	1.963e-2
2.065	1.946e-2
2.064	1.931e-2
2.063	1.915e-2
2.062	1.900e-2
2.061	1.885e-2
2.060	1.869e-2
2.059	1.854e-2
2.058	1.842e-2
2.057	1.829e-2
2.056	1.813e-2
2.055	1.796e-2
2.054	1.779e-2
2.053	1.763e-2
2.052	1.747e-2
2.051	1.732e-2
2.050	1.720e-2
2.049	1.705e-2
2.048	1.690e-2
2.047	1.675e-2
2.046	1.662e-2
2.045	1.646e-2
2.044	1.633e-2
2.043	1.618e-2
2.042	1.603e-2
2.041	1.588e-2
2.040	1.573e-2
2.039	1.560e-2
2.038	1.547e-2
2.037	1.533e-2
2.036	1.521e-2
2.035	1.509e-2
2.034	1.496e-2
2.033	1.482e-2
2.032	1.469e-2
2.031	1.457e-2
2.030	1.444e-2
2.029	1.430e-2
2.028	1.416e-2
2.027	1.404e-2
2.026	1.391e-2
2.025	1.378e-2
2.024	1.366e-2
2.023	1.354e-2
2.022	1.341e-2
2.021	1.329e-2
2.020	1.318e-2
2.019	1.306e-2
2.018	1.294e-2
2.017	1.281e-2
2.016	1.269e-2
2.015	1.257e-2
2.014	1.246e-2
2.013	1.235e-2
2.012	1.224e-2
2.011	1.213e-2
2.010	1.201e-2
2.009	1.190e-2
2.008	1.182e-2
2.007	1.173e-2
2.006	1.162e-2
2.005	1.150e-2
2.004	1.141e-2
2.003	1.130e-2
2.002	1.120e-2
2.001	1.109e-2
2.000	1.098e-2
1.999	1.087e-2
1.998	1.078e-2
1.997	1.068e-2
1.996	1.058e-2
1.995	1.048e-2
1.994	1.038e-2
1.993	1.029e-2
1.992	1.021e-2
1.991	1.011e-2
1.990	1.001e-2
1.989	9.914e-3
1.988	9.816e-3
1.987	9.718e-3
1.986	9.623e-3
1.985	9.536e-3
1.984	9.453e-3
1.983	9.384e-3
1.982	9.301e-3
1.981	9.214e-3
1.980	9.133e-3
1.979	9.048e-3
1.978	8.966e-3
1.977	8.883e-3
1.976	8.806e-3
1.975	8.722e-3
1.974	8.640e-3
1.973	8.559e-3
1.972	8.481e-3
1.971	8.407e-3
1.970	8.332e-3
1.969	8.263e-3
1.968	8.188e-3
1.967	8.115e-3
1.966	8.042e-3
1.965	7.965e-3
1.964	7.892e-3
1.963	7.824e-3
1.962	7.758e-3
1.961	7.694e-3
1.960	7.631e-3
1.959	7.576e-3
1.958	7.496e-3
1.957	7.417e-3
1.956	7.351e-3
1.955	7.284e-3
1.954	7.217e-3
1.953	7.151e-3
1.952	7.083e-3
1.951	7.016e-3
1.950	6.962e-3
1.949	6.901e-3
1.948	6.840e-3
1.947	6.783e-3
1.946	6.721e-3
1.945	6.666e-3
1.944	6.614e-3
1.943	6.560e-3
1.942	6.500e-3
1.941	6.441e-3
1.940	6.382e-3
1.939	6.317e-3
1.938	6.254e-3
1.937	6.194e-3
1.936	6.132e-3
1.935	6.073e-3
1.934	6.015e-3
1.933	5.955e-3
1.932	5.893e-3
1.931	5.839e-3
1.930	5.787e-3
1.929	5.731e-3
1.928	5.669e-3
1.927	5.615e-3
1.926	5.562e-3
1.925	5.509e-3
1.924	5.457e-3
1.923	5.404e-3
1.922	5.353e-3
1.921	5.306e-3
1.920	5.253e-3
1.919	5.203e-3
1.918	5.157e-3
1.917	5.108e-3
1.916	5.059e-3
1.915	5.028e-3
1.914	4.980e-3
1.913	4.932e-3
1.912	4.884e-3
1.911	4.841e-3
1.910	4.791e-3
1.909	4.739e-3
1.908	4.703e-3
1.907	4.664e-3
1.906	4.618e-3
1.905	4.573e-3
1.904	4.526e-3
1.903	4.476e-3
1.902	4.429e-3
1.901	4.379e-3
1.900	4.337e-3
1.899	4.295e-3
1.898	4.245e-3
1.897	4.198e-3
1.896	4.155e-3
1.895	4.109e-3
1.894	4.060e-3
1.893	4.014e-3
1.892	3.973e-3
1.891	3.932e-3
1.890	3.891e-3
1.889	3.855e-3
1.888	3.818e-3
1.887	3.782e-3
1.886	3.743e-3
1.885	3.704e-3
1.884	3.666e-3
1.883	3.629e-3
1.882	3.590e-3
1.881	3.548e-3
1.880	3.510e-3
1.879	3.473e-3
1.878	3.439e-3
1.877	3.407e-3
1.876	3.382e-3
1.875	3.345e-3
1.874	3.310e-3
1.873	3.281e-3
1.872	3.250e-3
1.871	3.224e-3
1.870	3.204e-3
1.869	3.178e-3
1.868	3.150e-3
1.867	3.123e-3
1.866	3.090e-3
1.865	3.060e-3
1.864	3.031e-3
1.863	3.001e-3
1.862	2.968e-3
1.861	2.940e-3
1.860	2.909e-3
1.859	2.878e-3
1.858	2.848e-3
1.857	2.824e-3
1.856	2.797e-3
1.855	2.769e-3
1.854	2.742e-3
1.853	2.713e-3
1.852	2.686e-3
1.851	2.663e-3
1.850	2.635e-3
1.849	2.611e-3
1.848	2.589e-3
1.847	2.566e-3
1.846	2.545e-3
1.845	2.521e-3
1.844	2.500e-3
1.843	2.487e-3
1.842	2.463e-3
1.841	2.440e-3
1.840	2.420e-3
1.839	2.396e-3
1.838	2.374e-3
1.837	2.349e-3
1.836	2.334e-3
1.835	2.316e-3
1.834	2.294e-3
1.833	2.274e-3
1.832	2.254e-3
1.831	2.232e-3
1.830	2.214e-3
1.829	2.193e-3
1.828	2.172e-3
1.827	2.150e-3
1.826	2.130e-3
1.825	2.114e-3
1.824	2.094e-3
1.823	2.074e-3
1.822	2.057e-3
1.821	2.034e-3
1.820	2.019e-3
1.819	2.002e-3
1.818	1.984e-3
1.817	1.962e-3
1.816	1.945e-3
1.815	1.926e-3
1.814	1.906e-3
1.813	1.883e-3
1.812	1.863e-3
1.811	1.843e-3
1.810	1.820e-3
1.809	1.804e-3
1.808	1.787e-3
1.807	1.768e-3
1.806	1.754e-3
1.805	1.735e-3
1.804	1.719e-3
1.803	1.703e-3
1.802	1.687e-3
1.801	1.670e-3
1.800	1.654e-3
1.799	1.636e-3
1.798	1.621e-3
1.797	1.605e-3
1.796	1.595e-3
1.795	1.580e-3
1.794	1.568e-3
1.793	1.557e-3
1.792	1.539e-3
1.791	1.522e-3
1.790	1.508e-3
1.789	1.494e-3
1.788	1.480e-3
1.787	1.466e-3
1.786	1.448e-3
1.785	1.431e-3
1.784	1.417e-3
1.783	1.403e-3
1.782	1.387e-3
1.781	1.373e-3
1.780	1.369e-3
1.779	1.354e-3
1.778	1.340e-3
1.777	1.326e-3
1.776	1.309e-3
1.775	1.291e-3
1.774	1.277e-3
1.773	1.264e-3
1.772	1.251e-3
1.771	1.238e-3
1.770	1.225e-3
1.769	1.213e-3
1.768	1.201e-3
1.767	1.189e-3
1.766	1.175e-3
1.765	1.171e-3
1.764	1.169e-3
1.763	1.155e-3
1.762	1.136e-3
1.761	1.125e-3
1.760	1.110e-3
1.759	1.097e-3
1.758	1.088e-3
1.757	1.077e-3
1.756	1.062e-3
1.755	1.050e-3
1.754	1.034e-3
1.753	1.020e-3
1.752	1.008e-3
1.751	9.964e-4
1.750	9.857e-4
1.749	9.757e-4
1.748	9.643e-4
1.747	9.520e-4
1.746	9.406e-4
1.745	9.332e-4
1.744	9.255e-4
1.743	9.176e-4
1.742	9.115e-4
1.741	9.005e-4
1.740	8.896e-4
1.739	8.808e-4
1.738	8.708e-4
1.737	8.629e-4
1.736	8.542e-4
1.735	8.436e-4
1.734	8.343e-4
1.733	8.271e-4
1.732	8.184e-4
1.731	8.095e-4
1.730	7.964e-4
1.729	7.867e-4
1.728	7.754e-4
1.727	7.638e-4
1.726	7.600e-4
1.725	7.518e-4
1.724	7.438e-4
1.723	7.378e-4
1.722	7.256e-4
1.721	7.154e-4
1.720	7.066e-4
1.719	6.958e-4
1.718	6.863e-4
1.717	6.747e-4
1.716	6.652e-4
1.715	6.530e-4
1.714	6.419e-4
1.713	6.327e-4
1.712	6.201e-4
1.711	6.106e-4
1.710	6.039e-4
1.709	5.940e-4
1.708	5.866e-4
1.707	5.797e-4
1.706	5.701e-4
1.705	5.627e-4
1.704	5.569e-4
1.703	5.478e-4
1.702	5.387e-4
1.701	5.290e-4
1.700	5.230e-4
1.699	5.133e-4
1.698	5.034e-4
1.697	4.951e-4
1.696	4.842e-4
1.695	4.724e-4
1.694	4.653e-4
1.693	4.577e-4
1.692	4.464e-4
1.691	4.381e-4
1.690	4.280e-4
1.689	4.184e-4
1.688	4.115e-4
1.687	4.041e-4
1.686	3.945e-4
1.685	3.881e-4
1.684	3.788e-4
1.683	3.695e-4
1.682	3.619e-4
1.681	3.557e-4
1.680	3.453e-4
1.679	3.370e-4
1.678	3.300e-4
1.677	3.204e-4
1.676	3.108e-4
1.675	3.031e-4
1.674	2.946e-4
1.673	2.855e-4
1.672	2.769e-4
1.671	2.674e-4
1.670	2.617e-4
1.669	2.527e-4
1.668	2.494e-4
1.667	2.426e-4
1.666	2.321e-4
1.665	2.256e-4
1.664	2.175e-4
1.663	2.106e-4
1.662	2.070e-4
1.661	1.981e-4
1.660	1.910e-4
1.659	1.855e-4
1.658	1.799e-4
1.657	1.720e-4
1.656	1.641e-4
1.655	1.565e-4
1.654	1.483e-4
1.653	1.410e-4
1.652	1.340e-4
1.651	1.215e-4
1.650	1.108e-4
1.649	1.015e-4
1.648	9.134e-5
1.647	8.181e-5
1.646	7.375e-5
1.645	6.403e-5
1.644	5.400e-5
1.643	4.673e-5
1.642	3.946e-5
1.641	3.278e-5
1.640	2.541e-5
1.639	1.971e-5
1.638	4.775e-6
1.637	-6.131e-6
1.636	-1.439e-5
1.635	-2.421e-5
