Results:

Channel 1:
Potential/V	Current/A

2.200	1.947e-1
2.199	1.922e-1
2.198	1.896e-1
2.197	1.871e-1
2.196	1.846e-1
2.195	1.823e-1
2.194	1.798e-1
2.193	1.773e-1
2.192	1.751e-1
2.191	1.731e-1
2.190	1.710e-1
2.189	1.688e-1
2.188	1.667e-1
2.187	1.645e-1
2.186	1.625e-1
2.185	1.604e-1
2.184	1.585e-1
2.183	1.566e-1
2.182	1.546e-1
2.181	1.528e-1
2.180	1.510e-1
2.179	1.492e-1
2.178	1.474e-1
2.177	1.456e-1
2.176	1.437e-1
2.175	1.421e-1
2.174	1.403e-1
2.173	1.388e-1
2.172	1.374e-1
2.171	1.361e-1
2.170	1.344e-1
2.169	1.327e-1
2.168	1.310e-1
2.167	1.293e-1
2.166	1.278e-1
2.165	1.263e-1
2.164	1.248e-1
2.163	1.233e-1
2.162	1.217e-1
2.161	1.205e-1
2.160	1.191e-1
2.159	1.175e-1
2.158	1.160e-1
2.157	1.145e-1
2.156	1.131e-1
2.155	1.118e-1
2.154	1.105e-1
2.153	1.092e-1
2.152	1.078e-1
2.151	1.064e-1
2.150	1.051e-1
2.149	1.038e-1
2.148	1.026e-1
2.147	1.014e-1
2.146	1.001e-1
2.145	9.902e-2
2.144	9.779e-2
2.143	9.668e-2
2.142	9.563e-2
2.141	9.451e-2
2.140	9.332e-2
2.139	9.225e-2
2.138	9.127e-2
2.137	9.023e-2
2.136	8.917e-2
2.135	8.800e-2
2.134	8.696e-2
2.133	8.586e-2
2.132	8.484e-2
2.131	8.393e-2
2.130	8.294e-2
2.129	8.183e-2
2.128	8.088e-2
2.127	8.009e-2
2.126	7.907e-2
2.125	7.809e-2
2.124	7.717e-2
2.123	7.630e-2
2.122	7.538e-2
2.121	7.447e-2
2.120	7.358e-2
2.119	7.275e-2
2.118	7.196e-2
2.117	7.111e-2
2.116	7.025e-2
2.115	6.944e-2
2.114	6.860e-2
2.113	6.778e-2
2.112	6.698e-2
2.111	6.621e-2
2.110	6.547e-2
2.109	6.469e-2
2.108	6.397e-2
2.107	6.322e-2
2.106	6.244e-2
2.105	6.172e-2
2.104	6.098e-2
2.103	6.023e-2
2.102	5.954e-2
2.101	5.886e-2
2.100	5.813e-2
2.099	5.743e-2
2.098	5.674e-2
2.097	5.604e-2
2.096	5.534e-2
2.095	5.471e-2
2.094	5.406e-2
2.093	5.339e-2
2.092	5.282e-2
2.091	5.238e-2
2.090	5.174e-2
2.089	5.109e-2
2.088	5.048e-2
2.087	4.984e-2
2.086	4.926e-2
2.085	4.870e-2
2.084	4.814e-2
2.083	4.757e-2
2.082	4.702e-2
2.081	4.642e-2
2.080	4.589e-2
2.079	4.539e-2
2.078	4.483e-2
2.077	4.424e-2
2.076	4.373e-2
2.075	4.323e-2
2.074	4.260e-2
2.073	4.207e-2
2.072	4.163e-2
2.071	4.109e-2
2.070	4.059e-2
2.069	4.013e-2
2.068	3.970e-2
2.067	3.921e-2
2.066	3.874e-2
2.065	3.827e-2
2.064	3.780e-2
2.063	3.734e-2
