Results:

Channel 1:
Potential/V	Current/A

2.200	5.740e-2
2.199	5.703e-2
2.198	5.663e-2
2.197	5.624e-2
2.196	5.588e-2
2.195	5.554e-2
2.194	5.518e-2
2.193	5.481e-2
2.192	5.444e-2
2.191	5.409e-2
2.190	5.375e-2
2.189	5.340e-2
2.188	5.306e-2
2.187	5.274e-2
2.186	5.241e-2
2.185	5.207e-2
2.184	5.175e-2
2.183	5.142e-2
2.182	5.106e-2
2.181	5.074e-2
2.180	5.041e-2
2.179	5.008e-2
2.178	4.976e-2
2.177	4.943e-2
2.176	4.910e-2
2.175	4.878e-2
2.174	4.848e-2
2.173	4.817e-2
2.172	4.786e-2
2.171	4.755e-2
2.170	4.724e-2
2.169	4.692e-2
2.168	4.660e-2
2.167	4.634e-2
2.166	4.606e-2
2.165	4.577e-2
2.164	4.548e-2
2.163	4.519e-2
2.162	4.490e-2
2.161	4.464e-2
2.160	4.436e-2
2.159	4.406e-2
2.158	4.378e-2
2.157	4.349e-2
2.156	4.321e-2
2.155	4.294e-2
2.154	4.266e-2
2.153	4.237e-2
2.152	4.209e-2
2.151	4.181e-2
2.150	4.152e-2
2.149	4.123e-2
2.148	4.094e-2
2.147	4.065e-2
2.146	4.036e-2
2.145	4.010e-2
2.144	3.982e-2
2.143	3.955e-2
2.142	3.927e-2
2.141	3.898e-2
2.140	3.870e-2
2.139	3.843e-2
2.138	3.816e-2
2.137	3.789e-2
2.136	3.763e-2
2.135	3.738e-2
2.134	3.713e-2
2.133	3.689e-2
2.132	3.662e-2
2.131	3.636e-2
2.130	3.609e-2
2.129	3.583e-2
2.128	3.558e-2
2.127	3.533e-2
2.126	3.508e-2
2.125	3.484e-2
2.124	3.459e-2
2.123	3.435e-2
2.122	3.410e-2
2.121	3.384e-2
2.120	3.358e-2
2.119	3.333e-2
2.118	3.309e-2
2.117	3.286e-2
2.116	3.263e-2
2.115	3.239e-2
2.114	3.214e-2
2.113	3.191e-2
2.112	3.168e-2
2.111	3.144e-2
2.110	3.121e-2
2.109	3.097e-2
2.108	3.074e-2
2.107	3.051e-2
2.106	3.029e-2
2.105	3.006e-2
2.104	2.983e-2
2.103	2.961e-2
2.102	2.938e-2
2.101	2.916e-2
2.100	2.895e-2
2.099	2.873e-2
2.098	2.853e-2
2.097	2.833e-2
2.096	2.811e-2
2.095	2.789e-2
2.094	2.767e-2
2.093	2.745e-2
2.092	2.723e-2
2.091	2.701e-2
2.090	2.681e-2
2.089	2.661e-2
2.088	2.642e-2
2.087	2.622e-2
2.086	2.601e-2
2.085	2.581e-2
2.084	2.561e-2
2.083	2.543e-2
2.082	2.523e-2
2.081	2.503e-2
2.080	2.484e-2
2.079	2.464e-2
2.078	2.445e-2
2.077	2.425e-2
2.076	2.406e-2
2.075	2.387e-2
2.074	2.367e-2
2.073	2.347e-2
2.072	2.328e-2
2.071	2.309e-2
2.070	2.291e-2
2.069	2.272e-2
2.068	2.254e-2
2.067	2.235e-2
2.066	2.217e-2
2.065	2.198e-2
2.064	2.180e-2
2.063	2.162e-2
2.062	2.145e-2
2.061	2.128e-2
2.060	2.111e-2
2.059	2.094e-2
2.058	2.076e-2
2.057	2.058e-2
2.056	2.042e-2
2.055	2.024e-2
2.054	2.007e-2
2.053	1.990e-2
2.052	1.973e-2
2.051	1.958e-2
2.050	1.942e-2
2.049	1.927e-2
2.048	1.911e-2
2.047	1.894e-2
2.046	1.879e-2
2.045	1.864e-2
2.044	1.849e-2
2.043	1.833e-2
2.042	1.817e-2
2.041	1.801e-2
2.040	1.785e-2
2.039	1.769e-2
2.038	1.754e-2
2.037	1.739e-2
2.036	1.725e-2
2.035	1.710e-2
2.034	1.695e-2
2.033	1.681e-2
2.032	1.666e-2
2.031	1.651e-2
2.030	1.637e-2
2.029	1.622e-2
2.028	1.608e-2
2.027	1.595e-2
2.026	1.581e-2
2.025	1.567e-2
2.024	1.553e-2
2.023	1.540e-2
2.022	1.526e-2
2.021	1.513e-2
2.020	1.499e-2
2.019	1.486e-2
2.018	1.473e-2
2.017	1.460e-2
2.016	1.447e-2
2.015	1.434e-2
2.014	1.421e-2
2.013	1.409e-2
2.012	1.397e-2
2.011	1.385e-2
2.010	1.373e-2
2.009	1.361e-2
2.008	1.349e-2
2.007	1.337e-2
2.006	1.325e-2
2.005	1.314e-2
2.004	1.302e-2
2.003	1.292e-2
2.002	1.280e-2
2.001	1.268e-2
2.000	1.257e-2
1.999	1.246e-2
1.998	1.234e-2
1.997	1.223e-2
1.996	1.211e-2
1.995	1.201e-2
1.994	1.190e-2
1.993	1.179e-2
1.992	1.169e-2
1.991	1.159e-2
1.990	1.148e-2
1.989	1.137e-2
1.988	1.128e-2
1.987	1.117e-2
1.986	1.108e-2
1.985	1.098e-2
1.984	1.089e-2
1.983	1.079e-2
1.982	1.069e-2
1.981	1.059e-2
1.980	1.050e-2
1.979	1.040e-2
1.978	1.030e-2
1.977	1.020e-2
1.976	1.011e-2
1.975	1.002e-2
1.974	9.931e-3
1.973	9.844e-3
1.972	9.763e-3
1.971	9.714e-3
1.970	9.637e-3
1.969	9.554e-3
1.968	9.465e-3
1.967	9.382e-3
1.966	9.297e-3
1.965	9.206e-3
1.964	9.120e-3
1.963	9.038e-3
1.962	8.951e-3
1.961	8.870e-3
1.960	8.790e-3
1.959	8.724e-3
1.958	8.648e-3
1.957	8.568e-3
1.956	8.491e-3
1.955	8.411e-3
1.954	8.332e-3
1.953	8.252e-3
1.952	8.172e-3
1.951	8.097e-3
1.950	8.024e-3
1.949	7.942e-3
1.948	7.861e-3
1.947	7.788e-3
1.946	7.711e-3
1.945	7.636e-3
1.944	7.564e-3
1.943	7.488e-3
1.942	7.413e-3
1.941	7.339e-3
1.940	7.268e-3
1.939	7.194e-3
1.938	7.123e-3
1.937	7.062e-3
1.936	6.994e-3
1.935	6.923e-3
1.934	6.852e-3
1.933	6.787e-3
1.932	6.720e-3
1.931	6.649e-3
1.930	6.578e-3
1.929	6.513e-3
1.928	6.448e-3
1.927	6.386e-3
1.926	6.318e-3
1.925	6.253e-3
1.924	6.188e-3
1.923	6.122e-3
1.922	6.057e-3
1.921	5.996e-3
1.920	5.931e-3
1.919	5.878e-3
1.918	5.825e-3
1.917	5.759e-3
1.916	5.698e-3
1.915	5.637e-3
1.914	5.578e-3
1.913	5.519e-3
1.912	5.459e-3
1.911	5.403e-3
1.910	5.343e-3
1.909	5.285e-3
1.908	5.232e-3
1.907	5.177e-3
1.906	5.123e-3
1.905	5.067e-3
1.904	5.012e-3
1.903	4.957e-3
1.902	4.908e-3
1.901	4.855e-3
1.900	4.802e-3
1.899	4.751e-3
1.898	4.699e-3
1.897	4.649e-3
1.896	4.597e-3
1.895	4.545e-3
1.894	4.491e-3
1.893	4.441e-3
1.892	4.393e-3
1.891	4.345e-3
1.890	4.297e-3
1.889	4.253e-3
1.888	4.205e-3
1.887	4.158e-3
1.886	4.112e-3
1.885	4.067e-3
1.884	4.023e-3
1.883	3.982e-3
1.882	3.939e-3
1.881	3.896e-3
1.880	3.855e-3
1.879	3.814e-3
1.878	3.773e-3
1.877	3.733e-3
1.876	3.694e-3
1.875	3.655e-3
1.874	3.616e-3
1.873	3.580e-3
1.872	3.544e-3
1.871	3.509e-3
1.870	3.474e-3
1.869	3.435e-3
1.868	3.397e-3
1.867	3.361e-3
1.866	3.325e-3
1.865	3.291e-3
1.864	3.258e-3
1.863	3.224e-3
1.862	3.188e-3
1.861	3.153e-3
1.860	3.120e-3
1.859	3.088e-3
1.858	3.054e-3
1.857	3.027e-3
1.856	2.993e-3
1.855	2.962e-3
1.854	2.932e-3
1.853	2.899e-3
1.852	2.869e-3
1.851	2.842e-3
1.850	2.811e-3
1.849	2.781e-3
1.848	2.753e-3
1.847	2.727e-3
1.846	2.702e-3
1.845	2.673e-3
1.844	2.648e-3
1.843	2.617e-3
1.842	2.590e-3
1.841	2.566e-3
1.840	2.540e-3
1.839	2.515e-3
1.838	2.492e-3
1.837	2.464e-3
1.836	2.439e-3
1.835	2.413e-3
1.834	2.390e-3
1.833	2.367e-3
1.832	2.343e-3
1.831	2.321e-3
1.830	2.294e-3
1.829	2.270e-3
1.828	2.247e-3
1.827	2.223e-3
1.826	2.200e-3
1.825	2.182e-3
1.824	2.161e-3
1.823	2.138e-3
1.822	2.116e-3
1.821	2.091e-3
1.820	2.070e-3
1.819	2.051e-3
1.818	2.026e-3
1.817	2.004e-3
1.816	1.984e-3
1.815	1.963e-3
1.814	1.941e-3
1.813	1.923e-3
1.812	1.902e-3
1.811	1.881e-3
1.810	1.861e-3
1.809	1.844e-3
1.808	1.824e-3
1.807	1.803e-3
1.806	1.784e-3
1.805	1.764e-3
1.804	1.743e-3
1.803	1.725e-3
1.802	1.705e-3
1.801	1.688e-3
1.800	1.671e-3
1.799	1.654e-3
1.798	1.635e-3
1.797	1.617e-3
1.796	1.597e-3
1.795	1.579e-3
1.794	1.560e-3
1.793	1.545e-3
1.792	1.524e-3
1.791	1.505e-3
1.790	1.490e-3
1.789	1.471e-3
1.788	1.455e-3
1.787	1.441e-3
1.786	1.422e-3
1.785	1.404e-3
1.784	1.385e-3
1.783	1.369e-3
1.782	1.353e-3
1.781	1.336e-3
1.780	1.320e-3
1.779	1.301e-3
1.778	1.284e-3
1.777	1.271e-3
1.776	1.254e-3
1.775	1.239e-3
1.774	1.225e-3
1.773	1.209e-3
1.772	1.193e-3
1.771	1.179e-3
1.770	1.164e-3
1.769	1.152e-3
1.768	1.137e-3
1.767	1.122e-3
1.766	1.107e-3
1.765	1.091e-3
1.764	1.079e-3
1.763	1.063e-3
1.762	1.047e-3
