Results:

Channel 1:
Potential/V	Current/A

1.200	2.545e-3
1.201	2.571e-3
1.202	2.586e-3
1.203	2.595e-3
1.204	2.604e-3
1.205	2.609e-3
1.206	2.615e-3
1.207	2.620e-3
1.208	2.624e-3
1.209	2.628e-3
1.210	2.633e-3
1.211	2.636e-3
1.212	2.639e-3
1.213	2.642e-3
1.214	2.646e-3
1.215	2.650e-3
1.216	2.652e-3
1.217	2.656e-3
1.218	2.659e-3
1.219	2.662e-3
1.220	2.664e-3
1.221	2.667e-3
1.222	2.671e-3
1.223	2.675e-3
1.224	2.676e-3
1.225	2.679e-3
1.226	2.683e-3
1.227	2.686e-3
1.228	2.690e-3
1.229	2.694e-3
1.230	2.697e-3
1.231	2.700e-3
1.232	2.702e-3
1.233	2.706e-3
1.234	2.708e-3
1.235	2.711e-3
1.236	2.714e-3
1.237	2.716e-3
1.238	2.719e-3
1.239	2.721e-3
1.240	2.724e-3
1.241	2.727e-3
1.242	2.730e-3
1.243	2.733e-3
1.244	2.734e-3
1.245	2.737e-3
1.246	2.740e-3
1.247	2.740e-3
1.248	2.744e-3
1.249	2.746e-3
1.250	2.748e-3
1.251	2.750e-3
1.252	2.753e-3
1.253	2.755e-3
1.254	2.757e-3
1.255	2.760e-3
1.256	2.761e-3
1.257	2.763e-3
1.258	2.766e-3
1.259	2.768e-3
1.260	2.769e-3
1.261	2.771e-3
1.262	2.773e-3
1.263	2.776e-3
1.264	2.776e-3
1.265	2.777e-3
1.266	2.778e-3
1.267	2.781e-3
1.268	2.784e-3
1.269	2.784e-3
1.270	2.785e-3
1.271	2.786e-3
1.272	2.788e-3
1.273	2.789e-3
1.274	2.791e-3
1.275	2.791e-3
1.276	2.793e-3
1.277	2.794e-3
1.278	2.795e-3
1.279	2.795e-3
1.280	2.797e-3
1.281	2.799e-3
1.282	2.800e-3
1.283	2.801e-3
1.284	2.800e-3
1.285	2.802e-3
1.286	2.802e-3
1.287	2.804e-3
1.288	2.804e-3
1.289	2.804e-3
1.290	2.804e-3
1.291	2.805e-3
1.292	2.806e-3
1.293	2.806e-3
1.294	2.806e-3
1.295	2.806e-3
1.296	2.805e-3
1.297	2.806e-3
1.298	2.806e-3
1.299	2.806e-3
1.300	2.806e-3
1.301	2.806e-3
1.302	2.806e-3
1.303	2.806e-3
1.304	2.805e-3
1.305	2.806e-3
1.306	2.808e-3
1.307	2.806e-3
1.308	2.804e-3
1.309	2.804e-3
1.310	2.803e-3
1.311	2.803e-3
1.312	2.801e-3
1.313	2.801e-3
1.314	2.800e-3
1.315	2.799e-3
1.316	2.797e-3
1.317	2.796e-3
1.318	2.795e-3
1.319	2.795e-3
1.320	2.793e-3
1.321	2.791e-3
1.322	2.790e-3
1.323	2.788e-3
1.324	2.787e-3
1.325	2.786e-3
1.326	2.783e-3
1.327	2.782e-3
1.328	2.780e-3
1.329	2.778e-3
1.330	2.775e-3
1.331	2.775e-3
1.332	2.772e-3
1.333	2.770e-3
1.334	2.767e-3
1.335	2.765e-3
1.336	2.762e-3
1.337	2.760e-3
1.338	2.757e-3
1.339	2.754e-3
1.340	2.752e-3
1.341	2.749e-3
1.342	2.746e-3
1.343	2.742e-3
1.344	2.740e-3
1.345	2.738e-3
1.346	2.733e-3
1.347	2.730e-3
1.348	2.726e-3
1.349	2.723e-3
1.350	2.720e-3
1.351	2.717e-3
1.352	2.714e-3
1.353	2.709e-3
1.354	2.705e-3
1.355	2.701e-3
1.356	2.697e-3
1.357	2.695e-3
1.358	2.691e-3
1.359	2.688e-3
1.360	2.683e-3
1.361	2.679e-3
1.362	2.676e-3
1.363	2.672e-3
1.364	2.668e-3
1.365	2.663e-3
1.366	2.660e-3
1.367	2.656e-3
1.368	2.652e-3
1.369	2.648e-3
1.370	2.646e-3
1.371	2.641e-3
1.372	2.637e-3
1.373	2.633e-3
1.374	2.630e-3
1.375	2.626e-3
1.376	2.621e-3
1.377	2.617e-3
1.378	2.613e-3
1.379	2.608e-3
1.380	2.605e-3
1.381	2.601e-3
1.382	2.598e-3
1.383	2.595e-3
1.384	2.590e-3
1.385	2.588e-3
1.386	2.584e-3
1.387	2.581e-3
1.388	2.577e-3
1.389	2.574e-3
1.390	2.570e-3
1.391	2.567e-3
1.392	2.564e-3
1.393	2.560e-3
1.394	2.556e-3
1.395	2.555e-3
1.396	2.553e-3
1.397	2.549e-3
1.398	2.547e-3
1.399	2.545e-3
1.400	2.541e-3
1.401	2.539e-3
1.402	2.536e-3
1.403	2.534e-3
1.404	2.534e-3
1.405	2.530e-3
1.406	2.529e-3
1.407	2.528e-3
1.408	2.526e-3
1.409	2.524e-3
1.410	2.522e-3
1.411	2.522e-3
1.412	2.522e-3
1.413	2.520e-3
1.414	2.519e-3
1.415	2.520e-3
1.416	2.519e-3
1.417	2.518e-3
1.418	2.519e-3
1.419	2.519e-3
1.420	2.519e-3
1.421	2.521e-3
1.422	2.521e-3
1.423	2.522e-3
1.424	2.522e-3
1.425	2.524e-3
1.426	2.526e-3
1.427	2.529e-3
1.428	2.532e-3
1.429	2.534e-3
1.430	2.537e-3
1.431	2.540e-3
1.432	2.544e-3
1.433	2.549e-3
1.434	2.556e-3
1.435	2.561e-3
1.436	2.567e-3
1.437	2.573e-3
1.438	2.579e-3
1.439	2.584e-3
1.440	2.593e-3
1.441	2.601e-3
1.442	2.610e-3
1.443	2.619e-3
1.444	2.629e-3
1.445	2.640e-3
1.446	2.651e-3
1.447	2.664e-3
1.448	2.677e-3
1.449	2.690e-3
1.450	2.705e-3
1.451	2.720e-3
1.452	2.736e-3
1.453	2.752e-3
1.454	2.771e-3
1.455	2.788e-3
1.456	2.808e-3
1.457	2.828e-3
1.458	2.850e-3
1.459	2.875e-3
1.460	2.900e-3
1.461	2.923e-3
1.462	2.950e-3
1.463	2.977e-3
1.464	3.008e-3
1.465	3.042e-3
1.466	3.076e-3
1.467	3.111e-3
1.468	3.148e-3
1.469	3.188e-3
1.470	3.232e-3
1.471	3.274e-3
1.472	3.321e-3
1.473	3.369e-3
1.474	3.418e-3
1.475	3.470e-3
1.476	3.524e-3
1.477	3.579e-3
1.478	3.638e-3
1.479	3.696e-3
1.480	3.755e-3
1.481	3.816e-3
1.482	3.881e-3
1.483	3.948e-3
1.484	4.022e-3
1.485	4.095e-3
1.486	4.170e-3
1.487	4.246e-3
1.488	4.326e-3
1.489	4.407e-3
1.490	4.491e-3
1.491	4.580e-3
1.492	4.671e-3
1.493	4.762e-3
1.494	4.859e-3
1.495	4.955e-3
1.496	5.056e-3
1.497	5.162e-3
1.498	5.268e-3
1.499	5.378e-3
1.500	5.485e-3
1.501	5.595e-3
1.502	5.703e-3
1.503	5.817e-3
