Results:

Channel 1:
Potential/V	Current/A

1.200	-7.222e-4
1.201	-5.918e-4
1.202	-5.167e-4
1.203	-4.680e-4
1.204	-4.290e-4
1.205	-3.970e-4
1.206	-3.650e-4
1.207	-3.380e-4
1.208	-3.117e-4
1.209	-2.850e-4
1.210	-2.615e-4
1.211	-2.391e-4
1.212	-2.175e-4
1.213	-1.964e-4
1.214	-1.779e-4
1.215	-1.588e-4
1.216	-1.402e-4
1.217	-1.210e-4
1.218	-1.058e-4
1.219	-8.798e-5
1.220	-7.138e-5
1.221	-5.674e-5
1.222	-3.983e-5
1.223	-2.421e-5
1.224	-1.045e-5
1.225	4.382e-6
1.226	1.775e-5
1.227	3.160e-5
1.228	4.467e-5
1.229	6.265e-5
1.230	7.326e-5
1.231	8.525e-5
1.232	9.616e-5
1.233	1.075e-4
1.234	1.173e-4
1.235	1.306e-4
1.236	1.417e-4
1.237	1.517e-4
1.238	1.627e-4
1.239	1.739e-4
1.240	1.823e-4
1.241	1.943e-4
1.242	2.032e-4
1.243	2.128e-4
1.244	2.232e-4
1.245	2.316e-4
1.246	2.403e-4
1.247	2.495e-4
1.248	2.599e-4
1.249	2.677e-4
1.250	2.744e-4
1.251	2.837e-4
1.252	2.930e-4
1.253	2.989e-4
1.254	3.072e-4
1.255	3.154e-4
1.256	3.230e-4
1.257	3.308e-4
1.258	3.363e-4
1.259	3.440e-4
1.260	3.508e-4
1.261	3.582e-4
1.262	3.650e-4
1.263	3.698e-4
1.264	3.771e-4
1.265	3.820e-4
1.266	3.883e-4
1.267	3.963e-4
1.268	4.024e-4
1.269	4.067e-4
1.270	4.125e-4
1.271	4.195e-4
1.272	4.251e-4
1.273	4.310e-4
1.274	4.366e-4
1.275	4.419e-4
1.276	4.455e-4
1.277	4.523e-4
1.278	4.584e-4
1.279	4.628e-4
1.280	4.703e-4
1.281	4.748e-4
1.282	4.790e-4
1.283	4.845e-4
1.284	4.902e-4
1.285	4.933e-4
1.286	4.997e-4
1.287	5.037e-4
1.288	5.086e-4
1.289	5.138e-4
1.290	5.169e-4
1.291	5.219e-4
1.292	5.271e-4
1.293	5.324e-4
1.294	5.362e-4
1.295	5.416e-4
1.296	5.454e-4
1.297	5.497e-4
1.298	5.537e-4
1.299	5.601e-4
1.300	5.648e-4
1.301	5.677e-4
1.302	5.724e-4
1.303	5.782e-4
1.304	5.808e-4
1.305	5.863e-4
1.306	5.912e-4
1.307	5.949e-4
1.308	5.997e-4
1.309	6.039e-4
1.310	6.074e-4
1.311	6.120e-4
1.312	6.164e-4
1.313	6.215e-4
1.314	6.231e-4
1.315	6.289e-4
1.316	6.337e-4
1.317	6.363e-4
1.318	6.419e-4
1.319	6.464e-4
1.320	6.498e-4
1.321	6.547e-4
1.322	6.583e-4
1.323	6.627e-4
1.324	6.663e-4
1.325	6.712e-4
1.326	6.771e-4
1.327	6.798e-4
1.328	6.843e-4
1.329	6.896e-4
1.330	6.920e-4
1.331	6.996e-4
1.332	7.050e-4
1.333	7.065e-4
1.334	7.121e-4
1.335	7.170e-4
1.336	7.209e-4
1.337	7.246e-4
1.338	7.293e-4
1.339	7.338e-4
1.340	7.386e-4
1.341	7.425e-4
1.342	7.483e-4
1.343	7.515e-4
1.344	7.587e-4
1.345	7.621e-4
1.346	7.663e-4
1.347	7.716e-4
1.348	7.765e-4
1.349	7.809e-4
1.350	7.863e-4
1.351	7.914e-4
1.352	7.954e-4
1.353	8.014e-4
1.354	8.067e-4
1.355	8.100e-4
1.356	8.165e-4
1.357	8.228e-4
1.358	8.267e-4
1.359	8.314e-4
1.360	8.369e-4
1.361	8.411e-4
1.362	8.459e-4
1.363	8.519e-4
1.364	8.574e-4
1.365	8.606e-4
1.366	8.665e-4
1.367	8.719e-4
1.368	8.756e-4
1.369	8.820e-4
1.370	8.865e-4
1.371	8.910e-4
1.372	8.942e-4
1.373	9.006e-4
1.374	9.051e-4
1.375	9.092e-4
1.376	9.152e-4
1.377	9.205e-4
1.378	9.240e-4
1.379	9.288e-4
1.380	9.339e-4
1.381	9.366e-4
1.382	9.429e-4
1.383	9.475e-4
1.384	9.509e-4
1.385	9.552e-4
1.386	9.605e-4
1.387	9.628e-4
1.388	9.664e-4
1.389	9.699e-4
1.390	9.741e-4
1.391	9.765e-4
1.392	9.795e-4
1.393	9.842e-4
1.394	9.858e-4
1.395	9.899e-4
1.396	9.933e-4
1.397	9.948e-4
1.398	9.978e-4
1.399	1.001e-3
1.400	1.002e-3
1.401	1.006e-3
1.402	1.009e-3
1.403	1.012e-3
1.404	1.014e-3
1.405	1.018e-3
1.406	1.019e-3
1.407	1.023e-3
1.408	1.027e-3
1.409	1.031e-3
1.410	1.033e-3
1.411	1.038e-3
1.412	1.041e-3
1.413	1.046e-3
1.414	1.051e-3
1.415	1.055e-3
1.416	1.061e-3
1.417	1.067e-3
1.418	1.071e-3
1.419	1.077e-3
1.420	1.083e-3
1.421	1.089e-3
1.422	1.097e-3
1.423	1.101e-3
1.424	1.111e-3
1.425	1.119e-3
1.426	1.126e-3
1.427	1.136e-3
1.428	1.144e-3
1.429	1.154e-3
1.430	1.164e-3
1.431	1.173e-3
1.432	1.184e-3
1.433	1.197e-3
1.434	1.210e-3
1.435	1.222e-3
1.436	1.236e-3
1.437	1.248e-3
1.438	1.263e-3
1.439	1.278e-3
1.440	1.294e-3
1.441	1.312e-3
1.442	1.327e-3
1.443	1.346e-3
1.444	1.362e-3
1.445	1.380e-3
1.446	1.397e-3
1.447	1.415e-3
1.448	1.430e-3
1.449	1.446e-3
1.450	1.460e-3
1.451	1.474e-3
1.452	1.488e-3
1.453	1.502e-3
1.454	1.516e-3
1.455	1.530e-3
1.456	1.545e-3
1.457	1.562e-3
1.458	1.579e-3
1.459	1.600e-3
1.460	1.622e-3
1.461	1.645e-3
1.462	1.671e-3
1.463	1.696e-3
