Results:

Channel 1:

Potential/V	Current/A

1.200	-9.519e-4
1.201	-7.694e-4
1.202	-6.618e-4
1.203	-5.999e-4
1.204	-5.537e-4
1.205	-5.157e-4
1.206	-4.792e-4
1.207	-4.462e-4
1.208	-4.159e-4
1.209	-3.863e-4
1.210	-3.575e-4
1.211	-3.319e-4
1.212	-3.062e-4
1.213	-2.804e-4
1.214	-2.571e-4
1.215	-2.356e-4
1.216	-2.119e-4
1.217	-1.903e-4
1.218	-1.727e-4
1.219	-1.523e-4
1.220	-1.323e-4
1.221	-1.154e-4
1.222	-9.594e-5
1.223	-7.580e-5
1.224	-6.047e-5
1.225	-4.298e-5
1.226	-2.627e-5
1.227	-1.065e-5
1.228	6.937e-6
1.229	2.649e-5
1.230	4.054e-5
1.231	5.371e-5
1.232	6.825e-5
1.233	8.270e-5
1.234	9.350e-5
1.235	1.093e-4
1.236	1.241e-4
1.237	1.340e-4
1.238	1.490e-4
1.239	1.606e-4
1.240	1.724e-4
1.241	1.861e-4
1.242	1.996e-4
1.243	2.109e-4
1.244	2.235e-4
1.245	2.338e-4
1.246	2.450e-4
1.247	2.559e-4
1.248	2.674e-4
1.249	2.794e-4
1.250	2.877e-4
1.251	2.996e-4
1.252	3.092e-4
1.253	3.182e-4
1.254	3.309e-4
1.255	3.392e-4
1.256	3.485e-4
1.257	3.570e-4
1.258	3.664e-4
1.259	3.759e-4
1.260	3.840e-4
1.261	3.938e-4
1.262	4.022e-4
1.263	4.086e-4
1.264	4.191e-4
1.265	4.270e-4
1.266	4.350e-4
1.267	4.449e-4
1.268	4.535e-4
1.269	4.603e-4
1.270	4.694e-4
1.271	4.758e-4
1.272	4.828e-4
1.273	4.927e-4
1.274	5.003e-4
1.275	5.084e-4
1.276	5.156e-4
1.277	5.240e-4
1.278	5.306e-4
1.279	5.373e-4
1.280	5.475e-4
1.281	5.541e-4
1.282	5.593e-4
1.283	5.677e-4
1.284	5.756e-4
1.285	5.817e-4
1.286	5.893e-4
1.287	5.964e-4
1.288	6.015e-4
1.289	6.089e-4
1.290	6.166e-4
1.291	6.232e-4
1.292	6.288e-4
1.293	6.367e-4
1.294	6.442e-4
1.295	6.491e-4
1.296	6.579e-4
1.297	6.636e-4
1.298	6.696e-4
1.299	6.777e-4
1.300	6.861e-4
1.301	6.907e-4
1.302	6.980e-4
1.303	7.030e-4
1.304	7.086e-4
1.305	7.169e-4
1.306	7.243e-4
1.307	7.308e-4
1.308	7.356e-4
1.309	7.437e-4
1.310	7.515e-4
1.311	7.579e-4
1.312	7.644e-4
1.313	7.723e-4
1.314	7.778e-4
1.315	7.859e-4
1.316	7.928e-4
1.317	7.990e-4
1.318	8.072e-4
1.319	8.145e-4
1.320	8.198e-4
1.321	8.273e-4
1.322	8.351e-4
1.323	8.403e-4
1.324	8.478e-4
1.325	8.558e-4
1.326	8.627e-4
1.327	8.675e-4
1.328	8.734e-4
1.329	8.817e-4
1.330	8.866e-4
1.331	8.950e-4
1.332	9.041e-4
1.333	9.083e-4
1.334	9.140e-4
1.335	9.198e-4
1.336	9.259e-4
1.337	9.327e-4
1.338	9.392e-4
1.339	9.454e-4
1.340	9.509e-4
1.341	9.574e-4
1.342	9.633e-4
1.343	9.690e-4
1.344	9.772e-4
1.345	9.842e-4
1.346	9.874e-4
1.347	9.944e-4
1.348	1.000e-3
1.349	1.006e-3
1.350	1.013e-3
1.351	1.020e-3
1.352	1.026e-3
1.353	1.032e-3
1.354	1.038e-3
1.355	1.046e-3
1.356	1.052e-3
1.357	1.060e-3
1.358	1.067e-3
1.359	1.074e-3
1.360	1.081e-3
1.361	1.088e-3
1.362	1.094e-3
1.363	1.103e-3
1.364	1.111e-3
1.365	1.116e-3
1.366	1.125e-3
1.367	1.131e-3
1.368	1.139e-3
1.369	1.147e-3
1.370	1.156e-3
1.371	1.163e-3
1.372	1.171e-3
1.373	1.179e-3
1.374	1.187e-3
1.375	1.193e-3
1.376	1.203e-3
1.377	1.211e-3
1.378	1.217e-3
1.379	1.226e-3
1.380	1.233e-3
1.381	1.239e-3
1.382	1.249e-3
1.383	1.256e-3
1.384	1.262e-3
1.385	1.267e-3
1.386	1.275e-3
1.387	1.280e-3
1.388	1.286e-3
1.389	1.291e-3
1.390	1.295e-3
1.391	1.297e-3
1.392	1.300e-3
1.393	1.303e-3
1.394	1.304e-3
1.395	1.307e-3
1.396	1.310e-3
1.397	1.307e-3
1.398	1.308e-3
1.399	1.307e-3
1.400	1.306e-3
1.401	1.306e-3
1.402	1.306e-3
1.403	1.304e-3
1.404	1.301e-3
1.405	1.299e-3
1.406	1.300e-3
1.407	1.297e-3
1.408	1.299e-3
1.409	1.300e-3
1.410	1.297e-3
1.411	1.299e-3
1.412	1.300e-3
1.413	1.300e-3
1.414	1.303e-3
1.415	1.306e-3
1.416	1.306e-3
1.417	1.310e-3
1.418	1.314e-3
1.419	1.316e-3
1.420	1.320e-3
1.421	1.326e-3
1.422	1.332e-3
1.423	1.336e-3
1.424	1.344e-3
1.425	1.351e-3
1.426	1.357e-3
1.427	1.366e-3
1.428	1.377e-3
1.429	1.385e-3
1.430	1.398e-3
1.431	1.409e-3
1.432	1.422e-3
1.433	1.437e-3
1.434	1.455e-3
1.435	1.469e-3
1.436	1.485e-3
1.437	1.504e-3
1.438	1.524e-3
1.439	1.543e-3
1.440	1.565e-3
1.441	1.586e-3
1.442	1.608e-3
1.443	1.629e-3
1.444	1.652e-3
1.445	1.670e-3
1.446	1.690e-3
1.447	1.707e-3
1.448	1.720e-3
1.449	1.732e-3
1.450	1.743e-3
1.451	1.750e-3
1.452	1.756e-3
1.453	1.762e-3
1.454	1.765e-3
1.455	1.768e-3
1.456	1.772e-3
1.457	1.778e-3
1.458	1.785e-3
1.459	1.795e-3
1.460	1.806e-3
1.461	1.817e-3
1.462	1.834e-3
1.463	1.852e-3
1.464	1.872e-3
1.465	1.893e-3
1.466	1.918e-3
1.467	1.941e-3
1.468	1.967e-3
1.469	1.995e-3
1.470	2.024e-3
1.471	2.052e-3
1.472	2.084e-3
1.473	2.116e-3
1.474	2.145e-3
1.475	2.179e-3
1.476	2.214e-3
1.477	2.247e-3
1.478	2.282e-3
1.479	2.316e-3
1.480	2.348e-3
1.481	2.382e-3
1.482	2.413e-3
1.483	2.446e-3
1.484	2.478e-3
1.485	2.511e-3
1.486	2.543e-3
1.487	2.572e-3
1.488	2.601e-3
1.489	2.629e-3
1.490	2.656e-3
1.491	2.684e-3
1.492	2.710e-3
1.493	2.731e-3
1.494	2.754e-3
1.495	2.778e-3
1.496	2.798e-3
1.497	2.818e-3
1.498	2.839e-3
1.499	2.858e-3
1.500	2.877e-3
1.501	2.894e-3
1.502	2.913e-3
1.503	2.933e-3
1.504	2.954e-3
1.505	2.974e-3
1.506	2.992e-3
1.507	3.014e-3
1.508	3.033e-3
1.509	3.053e-3
1.510	3.079e-3
1.511	3.104e-3
1.512	3.128e-3
1.513	3.155e-3
1.514	3.182e-3
1.515	3.210e-3
1.516	3.240e-3
1.517	3.276e-3
1.518	3.307e-3
1.519	3.337e-3
1.520	3.367e-3
1.521	3.397e-3
1.522	3.426e-3
1.523	3.456e-3
1.524	3.485e-3
1.525	3.512e-3
1.526	3.537e-3
1.527	3.562e-3
1.528	3.585e-3
1.529	3.607e-3
1.530	3.625e-3
1.531	3.643e-3
1.532	3.657e-3
1.533	3.670e-3
1.534	3.677e-3
1.535	3.683e-3
1.536	3.690e-3
1.537	3.694e-3
1.538	3.695e-3
1.539	3.693e-3
1.540	3.688e-3
1.541	3.680e-3
1.542	3.673e-3
1.543	3.664e-3
1.544	3.654e-3
1.545	3.646e-3
1.546	3.637e-3
1.547	3.630e-3
1.548	3.628e-3
1.549	3.623e-3
1.550	3.619e-3
1.551	3.614e-3
1.552	3.613e-3
1.553	3.611e-3
1.554	3.609e-3
1.555	3.613e-3
1.556	3.616e-3
1.557	3.613e-3
1.558	3.615e-3
1.559	3.616e-3
1.560	3.615e-3
1.561	3.619e-3
1.562	3.621e-3
1.563	3.622e-3
1.564	3.619e-3
1.565	3.618e-3
1.566	3.624e-3
1.567	3.625e-3
1.568	3.625e-3
1.569	3.622e-3
1.570	3.624e-3
1.571	3.626e-3
1.572	3.631e-3
1.573	3.630e-3
1.574	3.630e-3
1.575	3.624e-3
1.576	3.624e-3
1.577	3.617e-3
1.578	3.606e-3
1.579	3.577e-3
1.580	3.545e-3
1.581	3.524e-3
1.582	3.511e-3
1.583	3.508e-3
1.584	3.508e-3
1.585	3.510e-3
1.586	3.503e-3
1.587	3.505e-3
1.588	3.501e-3
1.589	3.492e-3
1.590	3.491e-3
1.591	3.489e-3
1.592	3.480e-3
1.593	3.467e-3
1.594	3.459e-3
1.595	3.450e-3
1.596	3.440e-3
1.597	3.436e-3
1.598	3.436e-3
1.599	3.429e-3
1.600	3.426e-3
1.601	3.419e-3
1.602	3.407e-3
1.603	3.402e-3
1.604	3.400e-3
1.605	3.398e-3
1.606	3.396e-3
1.607	3.402e-3
1.608	3.393e-3
1.609	3.382e-3
1.610	3.372e-3
1.611	3.367e-3
1.612	3.363e-3
1.613	3.360e-3
1.614	3.361e-3
1.615	3.361e-3
1.616	3.371e-3
1.617	3.379e-3
1.618	3.374e-3
1.619	3.372e-3
1.620	3.372e-3
1.621	3.374e-3
1.622	3.372e-3
1.623	3.369e-3
1.624	3.369e-3
1.625	3.370e-3
1.626	3.375e-3
1.627	3.378e-3
1.628	3.386e-3
1.629	3.390e-3
1.630	3.387e-3
1.631	3.395e-3
1.632	3.404e-3
1.633	3.404e-3
1.634	3.407e-3
1.635	3.411e-3
1.636	3.415e-3
1.637	3.416e-3
1.638	3.421e-3
1.639	3.427e-3
1.640	3.426e-3
1.641	3.430e-3
1.642	3.438e-3
1.643	3.445e-3
1.644	3.449e-3
1.645	3.457e-3
1.646	3.471e-3
1.647	3.482e-3
1.648	3.491e-3
1.649	3.501e-3
1.650	3.514e-3
1.651	3.531e-3
1.652	3.538e-3
1.653	3.543e-3
1.654	3.550e-3
1.655	3.561e-3
1.656	3.568e-3
1.657	3.573e-3
1.658	3.577e-3
1.659	3.584e-3
1.660	3.593e-3
1.661	3.604e-3
1.662	3.618e-3
1.663	3.639e-3
1.664	3.649e-3
1.665	3.653e-3
1.666	3.664e-3
1.667	3.679e-3
1.668	3.687e-3
1.669	3.696e-3
1.670	3.709e-3
1.671	3.716e-3
1.672	3.724e-3
1.673	3.734e-3
1.674	3.747e-3
1.675	3.759e-3
1.676	3.766e-3
1.677	3.779e-3
1.678	3.792e-3
1.679	3.802e-3
1.680	3.813e-3
1.681	3.824e-3
1.682	3.836e-3
1.683	3.851e-3
1.684	3.865e-3
1.685	3.871e-3
1.686	3.888e-3
1.687	3.906e-3
1.688	3.918e-3
1.689	3.934e-3
1.690	3.951e-3
1.691	3.962e-3
1.692	3.983e-3
1.693	4.004e-3
1.694	4.025e-3
1.695	4.032e-3
1.696	4.048e-3
1.697	4.061e-3
1.698	4.072e-3
1.699	4.085e-3
1.700	4.096e-3
1.701	4.103e-3
1.702	4.120e-3
1.703	4.137e-3
1.704	4.151e-3
1.705	4.158e-3
1.706	4.164e-3
1.707	4.176e-3
1.708	4.185e-3
1.709	4.198e-3
1.710	4.208e-3
1.711	4.213e-3
1.712	4.228e-3
1.713	4.246e-3
1.714	4.253e-3
1.715	4.269e-3
1.716	4.292e-3
1.717	4.310e-3
1.718	4.328e-3
1.719	4.341e-3
1.720	4.354e-3
1.721	4.374e-3
1.722	4.383e-3
1.723	4.397e-3
1.724	4.416e-3
1.725	4.429e-3
1.726	4.446e-3
1.727	4.460e-3
1.728	4.477e-3
1.729	4.491e-3
1.730	4.506e-3
1.731	4.525e-3
1.732	4.536e-3
1.733	4.550e-3
1.734	4.563e-3
1.735	4.584e-3
1.736	4.608e-3
1.737	4.628e-3
1.738	4.649e-3
1.739	4.655e-3
1.740	4.662e-3
1.741	4.677e-3
1.742	4.695e-3
1.743	4.711e-3
1.744	4.728e-3
1.745	4.745e-3
1.746	4.763e-3
1.747	4.785e-3
1.748	4.802e-3
1.749	4.812e-3
1.750	4.835e-3
1.751	4.856e-3
1.752	4.871e-3
1.753	4.881e-3
1.754	4.893e-3
1.755	4.907e-3
1.756	4.918e-3
1.757	4.927e-3
1.758	4.940e-3
1.759	4.961e-3
1.760	4.979e-3
1.761	4.997e-3
1.762	5.015e-3
1.763	5.033e-3
1.764	5.046e-3
1.765	5.070e-3
1.766	5.083e-3
1.767	5.114e-3
1.768	5.132e-3
1.769	5.150e-3
1.770	5.167e-3
1.771	5.182e-3
1.772	5.201e-3
1.773	5.228e-3
1.774	5.251e-3
1.775	5.274e-3
1.776	5.297e-3
1.777	5.313e-3
1.778	5.324e-3
1.779	5.351e-3
1.780	5.371e-3
1.781	5.383e-3
1.782	5.406e-3
1.783	5.437e-3
1.784	5.465e-3
1.785	5.482e-3
1.786	5.492e-3
1.787	5.496e-3
1.788	5.508e-3
1.789	5.533e-3
1.790	5.565e-3
1.791	5.593e-3
1.792	5.603e-3
1.793	5.609e-3
1.794	5.625e-3
1.795	5.638e-3
1.796	5.658e-3
1.797	5.681e-3
1.798	5.708e-3
1.799	5.748e-3
1.800	5.779e-3
1.801	5.802e-3
1.802	5.830e-3
1.803	5.842e-3
1.804	5.852e-3
1.805	5.880e-3
1.806	5.903e-3
1.807	5.935e-3
1.808	5.976e-3
1.809	5.997e-3
1.810	6.016e-3
1.811	6.029e-3
1.812	6.048e-3
1.813	6.077e-3
1.814	6.101e-3
1.815	6.116e-3
1.816	6.156e-3
1.817	6.189e-3
1.818	6.198e-3
1.819	6.216e-3
1.820	6.248e-3
1.821	6.265e-3
1.822	6.282e-3
1.823	6.307e-3
1.824	6.323e-3
1.825	6.340e-3
1.826	6.361e-3
1.827	6.393e-3
1.828	6.428e-3
1.829	6.444e-3
1.830	6.466e-3
1.831	6.530e-3
1.832	6.560e-3
1.833	6.567e-3
1.834	6.584e-3
1.835	6.620e-3
1.836	6.658e-3
1.837	6.694e-3
1.838	6.720e-3
1.839	6.746e-3
1.840	6.774e-3
1.841	6.795e-3
1.842	6.820e-3
1.843	6.847e-3
1.844	6.872e-3
1.845	6.893e-3
1.846	6.918e-3
1.847	6.941e-3
1.848	6.968e-3
1.849	6.994e-3
1.850	7.020e-3
1.851	7.044e-3
1.852	7.071e-3
1.853	7.104e-3
1.854	7.147e-3
1.855	7.174e-3
1.856	7.196e-3
1.857	7.226e-3
1.858	7.257e-3
1.859	7.288e-3
1.860	7.326e-3
1.861	7.357e-3
1.862	7.393e-3
1.863	7.427e-3
1.864	7.456e-3
1.865	7.488e-3
1.866	7.535e-3
1.867	7.576e-3
1.868	7.617e-3
1.869	7.665e-3
1.870	7.692e-3
1.871	7.719e-3
1.872	7.762e-3
1.873	7.817e-3
1.874	7.851e-3
1.875	7.909e-3
1.876	7.953e-3
1.877	7.976e-3
1.878	8.033e-3
1.879	8.085e-3
