Ewe/V	<I>/mA	
1.3979057E+000	0.000000000000000E+000
1.3931841E+000	0.000000000000000E+000
1.2305365E+000	-7.903311485197477E+000
1.2323749E+000	-5.937168041202514E-001
1.2357310E+000	-1.204939952984174E-001
1.2390515E+000	-5.883321973495437E-002
1.2423857E+000	-3.220037448789648E-002
1.2457081E+000	-1.705685516399275E-002
1.2490343E+000	-7.184472064309139E-003
1.2523549E+000	-2.375313271936897E-005
1.2556890E+000	5.039252010259537E-003
1.2590287E+000	9.260515478295039E-003
1.2623774E+000	1.264300463792602E-002
1.2657058E+000	1.536254278164156E-002
1.2690341E+000	1.768612566420963E-002
1.2723742E+000	1.973914188543306E-002
1.2757186E+000	2.136167175399967E-002
1.2790496E+000	2.304714115696516E-002
1.2823782E+000	2.434685864903210E-002
1.2856916E+000	2.549463736718841E-002
1.2890207E+000	2.647096717333974E-002
1.2923671E+000	2.759352088863537E-002
1.2957034E+000	2.835939910145158E-002
1.2990235E+000	2.915476297472291E-002
1.3023704E+000	2.991161397454184E-002
1.3057079E+000	3.061428228713381E-002
1.3090464E+000	3.113543427247972E-002
1.3123848E+000	3.180949677779005E-002
1.3156974E+000	3.225302653547735E-002
1.3190392E+000	3.285381525368744E-002
1.3223705E+000	3.331744293393195E-002
1.3257034E+000	3.370472081750839E-002
1.3290188E+000	3.416253103754407E-002
1.3323698E+000	3.482411462613991E-002
1.3357059E+000	3.518576163637185E-002
1.3390436E+000	3.574641889827446E-002
1.3423645E+000	3.616220037728468E-002
1.3457047E+000	3.678927657202030E-002
1.3490267E+000	3.739463763519502E-002
1.3523760E+000	3.800120561782978E-002
1.3557055E+000	3.867956712135895E-002
1.3590322E+000	3.925048087899929E-002
1.3623546E+000	4.037371904655007E-002
1.3657174E+000	4.161955081359719E-002
1.3690567E+000	4.249004328427708E-002
1.3724008E+000	4.363392986618997E-002
1.3757321E+000	4.516818139796985E-002
1.3790597E+000	4.664402141076790E-002
1.3823986E+000	4.853847594026253E-002
1.3857273E+000	5.081089923780277E-002
1.3890854E+000	5.306342306357448E-002
1.3924105E+000	5.607817117585567E-002
1.3957464E+000	5.943494351073225E-002
1.3990605E+000	6.355468250827834E-002
1.4024224E+000	6.867862645702094E-002
1.4057301E+000	7.420538511358199E-002
1.4090650E+000	8.153589597723876E-002
1.4123850E+000	8.984053614440102E-002
1.4157215E+000	9.986004535661475E-002
1.4190511E+000	1.121850107525439E-001
1.4223888E+000	1.267144185736195E-001
1.4257127E+000	1.442001477328141E-001
1.4290454E+000	1.649226080530404E-001
1.4323783E+000	1.890292942062826E-001
1.4356947E+000	2.176932182627822E-001
1.4390280E+000	2.511559468572075E-001
1.4423548E+000	2.900805850575816E-001
1.4456829E+000	3.351955086536520E-001
1.4490091E+000	3.874752527041467E-001
1.4523730E+000	4.476518792858126E-001
1.4556961E+000	5.158954127522017E-001
1.4590247E+000	5.934749245616789E-001
1.4623389E+000	6.816477216832197E-001
1.4656785E+000	7.808616830333710E-001
1.4690059E+000	8.917951721990836E-001
1.4723901E+000	1.018873716142107E+000
1.4757416E+000	1.155172567541072E+000
1.4790670E+000	1.304514532372130E+000
1.4823959E+000	1.466645988451848E+000
1.4857192E+000	1.643326798037389E+000
1.4890728E+000	1.833557636826981E+000
1.4923736E+000	2.037905015834689E+000
1.4957051E+000	2.257257499020231E+000
1.4990427E+000	2.489457805089661E+000
1.5023677E+000	2.736475419355013E+000
1.5057176E+000	2.998013908101363E+000
1.5090370E+000	3.272467629188618E+000
1.5123594E+000	3.563267906613973E+000
1.5157220E+000	3.869280411075607E+000
1.5190347E+000	4.187034002276832E+000
1.5223819E+000	4.520287698500070E+000
1.5256963E+000	4.866650768939721E+000
1.5290363E+000	5.227751915625689E+000
1.5323638E+000	5.605403486838952E+000
1.5356889E+000	5.992812443970067E+000
1.5390209E+000	6.396011723237088E+000
1.5423485E+000	6.810806913464930E+000
1.5456769E+000	7.240792043217013E+000
1.5489999E+000	7.685582011541499E+000
1.5523329E+000	8.145194345700105E+000
1.5556701E+000	8.618183084214039E+000
1.5589961E+000	9.103214130385823E+000
1.5623270E+000	9.601072128688102E+000
1.5656701E+000	1.011556805753501E+001
1.5689871E+000	1.064600787315351E+001
1.5723708E+000	1.121216698924407E+001
1.5757087E+000	1.176608381915220E+001
1.5790528E+000	1.233607578813765E+001
1.5823758E+000	1.291722377105383E+001
1.5857286E+000	1.351954815353264E+001
1.5890543E+000	1.413215591208836E+001
1.5923947E+000	1.475609371074012E+001
1.5957257E+000	1.539598327685312E+001
1.5990348E+000	1.604620740811913E+001
1.6023765E+000	1.671444249545743E+001
1.6057128E+000	1.738976982718515E+001
1.6090260E+000	1.807549937396323E+001
1.6123592E+000	1.878000888993796E+001
1.6156949E+000	1.949658203404760E+001
1.6190407E+000	2.022525416617899E+001
1.6223531E+000	2.096947993465523E+001
1.6256957E+000	2.171357339807577E+001
1.6290601E+000	2.248073700043625E+001
1.6323704E+000	2.326187659578503E+001
1.6357074E+000	2.406851365835158E+001
1.6390423E+000	2.486825543997026E+001
1.6423777E+000	2.566883215196629E+001
1.6457080E+000	2.648533676342538E+001
1.6490630E+000	2.730687234579528E+001
1.6523944E+000	2.814552392337231E+001
1.6557314E+000	2.899790166208186E+001
1.6590576E+000	2.984477535622761E+001
1.6623791E+000	3.071047876677164E+001
1.6657196E+000	3.157025187871227E+001
1.6690390E+000	3.246647257266757E+001
1.6723796E+000	3.337713390668887E+001
1.6757296E+000	3.427448983146803E+001
1.6790425E+000	3.516618192488716E+001
1.6823887E+000	3.606660116673251E+001
1.6857225E+000	3.700187836201178E+001
1.6890686E+000	3.791631290585013E+001
1.6923958E+000	3.883175358576193E+001
1.6957160E+000	3.975435599951027E+001
1.6990539E+000	4.068690163139166E+001
1.7023807E+000	4.167727668363835E+001
1.7057447E+000	4.263682929287261E+001
1.7090796E+000	4.361014571294757E+001
1.7124273E+000	4.457379566669678E+001
1.7157507E+000	4.554173605855107E+001
1.7190922E+000	4.650783909280146E+001
1.7224094E+000	4.747459406958095E+001
1.7257516E+000	4.845935053359807E+001
1.7290887E+000	4.943175109861284E+001
1.7324150E+000	5.044658225464372E+001
1.7357551E+000	5.146412674941534E+001
1.7390900E+000	5.246041717656033E+001
1.7424315E+000	5.351943205110992E+001
1.7457619E+000	5.451049676806451E+001
1.7490898E+000	5.549376413173638E+001
1.7524247E+000	5.649000256041842E+001
1.7557639E+000	5.753265296663028E+001
1.7590683E+000	5.856157056629104E+001
1.7624061E+000	5.957998574329531E+001
1.7657584E+000	6.063062223871646E+001
1.7691057E+000	6.165020902514379E+001
1.7724308E+000	6.269897249064093E+001
1.7757511E+000	6.372657465037173E+001
1.7790898E+000	6.476058687737304E+001
1.7824080E+000	6.600056936248370E+001
1.7857678E+000	6.704483662772248E+001
1.7890772E+000	6.808150977809009E+001
1.7924237E+000	6.909169268361075E+001
1.7957630E+000	7.013665507627320E+001
1.7990935E+000	7.121382661553412E+001
1.8024212E+000	7.230222126815215E+001
1.8057522E+000	7.338731961509200E+001
1.8090814E+000	7.442453315598686E+001
1.8124419E+000	7.549394366841989E+001
1.8157703E+000	7.654409335780474E+001
1.8191220E+000	7.760258682627705E+001
1.8224514E+000	7.868516052877112E+001
1.8257760E+000	7.977712435484193E+001
1.8290989E+000	8.082010966158555E+001
1.8324511E+000	8.205566905675278E+001
1.8357884E+000	8.321159827164570E+001
1.8391436E+000	8.426908824146977E+001
1.8424586E+000	8.533070593069192E+001
1.8457842E+000	8.638613667455070E+001
1.8487843E+000	8.732904515396490E+001
1.8503336E+000	8.784473355611163E+001
