Ewe/V	<I>/mA	
1.3823409E+000	0.000000000000000E+000
1.3804175E+000	0.000000000000000E+000
1.2305610E+000	-6.410020816616896E+000
1.2323856E+000	-5.068727123407634E-001
1.2357258E+000	-1.095613651505625E-001
1.2390478E+000	-5.364391999171875E-002
1.2423738E+000	-2.931130432002615E-002
1.2457078E+000	-1.515661913416173E-002
1.2490236E+000	-5.796195755610453E-003
1.2523754E+000	3.159201170920674E-003
1.2557102E+000	6.397753823510571E-003
1.2590449E+000	1.028555361561733E-002
1.2623922E+000	1.322455541142564E-002
1.2657444E+000	1.589630793174973E-002
1.2690512E+000	1.804500502221018E-002
1.2723938E+000	2.024569493409573E-002
1.2757407E+000	2.162186458059670E-002
1.2790675E+000	2.320602465112614E-002
1.2823997E+000	2.447968014643126E-002
1.2857445E+000	2.552466245693649E-002
1.2890579E+000	2.635465727907696E-002
1.2923850E+000	2.754284860157574E-002
1.2957271E+000	2.835478421269774E-002
1.2990685E+000	2.913777089614777E-002
1.3024042E+000	2.988364425868878E-002
1.3057252E+000	3.037386529750938E-002
1.3090705E+000	3.110625112383292E-002
1.3124036E+000	3.168005388149620E-002
1.3157346E+000	3.204751491898084E-002
1.3190776E+000	3.266474301374861E-002
1.3224034E+000	3.309128870385208E-002
1.3257551E+000	3.354249144117569E-002
1.3290766E+000	3.379151323925123E-002
1.3323990E+000	3.415862946105230E-002
1.3357337E+000	3.471065764601222E-002
1.3390840E+000	3.532448713409331E-002
1.3424159E+000	3.580627176791951E-002
1.3457578E+000	3.631104651241590E-002
1.3490911E+000	3.676952889823792E-002
1.3524160E+000	3.753096345504092E-002
1.3557528E+000	3.815959436329713E-002
1.3590825E+000	3.883349872978473E-002
1.3624206E+000	3.981679316832420E-002
1.3657758E+000	4.086418929712698E-002
1.3691190E+000	4.154198503455253E-002
1.3724421E+000	4.278580022222217E-002
1.3757763E+000	4.428442129284438E-002
1.3791236E+000	4.562115290642025E-002
1.3824687E+000	4.749889235387711E-002
1.3858052E+000	4.957151921365788E-002
1.3891279E+000	5.196213658553117E-002
1.3924751E+000	5.467985826135280E-002
1.3957939E+000	5.808538649901968E-002
1.3991239E+000	6.203817864470618E-002
1.4024433E+000	6.716755056560786E-002
1.4057831E+000	7.279877960367531E-002
1.4091277E+000	7.986652039864445E-002
1.4124694E+000	8.796816092766835E-002
1.4157920E+000	9.809236721781200E-002
1.4191529E+000	1.103501439888659E-001
1.4224675E+000	1.247415568831232E-001
1.4258033E+000	1.417637158688417E-001
1.4291391E+000	1.628198329737986E-001
1.4324763E+000	1.938298668876508E-001
1.4358011E+000	2.193993716207343E-001
1.4391074E+000	2.530855537331225E-001
1.4424508E+000	2.934922517077938E-001
1.4457668E+000	3.398243544321744E-001
1.4491079E+000	4.030256812200026E-001
1.4524449E+000	4.633178029293523E-001
1.4557672E+000	5.356489903162887E-001
1.4590830E+000	6.302981251131472E-001
1.4624302E+000	7.222743808335750E-001
1.4657526E+000	8.428428356507887E-001
1.4690989E+000	9.657045841046425E-001
1.4724834E+000	1.117745913216073E+000
1.4758180E+000	1.281322557112414E+000
1.4791493E+000	1.458454047328541E+000
1.4824729E+000	1.654855992175575E+000
1.4858133E+000	1.872435736251845E+000
1.4891564E+000	2.107136216062564E+000
1.4924800E+000	2.361483378570540E+000
1.4958060E+000	2.636302037130854E+000
1.4991492E+000	2.926659275094742E+000
1.5024897E+000	3.248030362982945E+000
1.5058169E+000	3.579925856834251E+000
1.5091453E+000	3.941695780890996E+000
1.5124745E+000	4.322682766207976E+000
1.5157845E+000	4.728210269565437E+000
1.5191183E+000	5.153143461709217E+000
1.5224594E+000	5.604908410930726E+000
1.5257756E+000	6.076363231976387E+000
1.5291232E+000	6.582721118029355E+000
1.5324597E+000	7.108462467630574E+000
1.5357784E+000	7.663947313371864E+000
1.5391313E+000	8.249272624056317E+000
1.5424368E+000	8.850557942093644E+000
1.5457730E+000	9.480753979669977E+000
1.5491123E+000	1.014849591252137E+001
1.5524678E+000	1.085573185351826E+001
1.5558342E+000	1.159604109569466E+001
1.5591593E+000	1.235342820294875E+001
1.5624896E+000	1.316091054080130E+001
1.5658424E+000	1.399843894593352E+001
1.5691617E+000	1.487129172713674E+001
1.5725005E+000	1.576952821477960E+001
1.5758566E+000	1.672949231542408E+001
1.5791718E+000	1.769483786152026E+001
1.5825053E+000	1.872545759715928E+001
1.5858324E+000	1.977652135119465E+001
1.5891700E+000	2.087635957361303E+001
1.5925164E+000	2.203632155769954E+001
1.5958457E+000	2.323036816264386E+001
1.5991874E+000	2.442927700642954E+001
1.6024983E+000	2.568053001973539E+001
1.6058357E+000	2.695790244860493E+001
1.6092049E+000	2.828342690540080E+001
1.6125381E+000	2.962759354768383E+001
1.6158742E+000	3.102788371537223E+001
1.6192229E+000	3.244048988392461E+001
1.6225550E+000	3.390510252371854E+001
1.6258600E+000	3.538821889764279E+001
1.6292163E+000	3.692884154271309E+001
1.6325281E+000	3.846182518603564E+001
1.6358658E+000	4.001795507908838E+001
1.6392386E+000	4.158315582191938E+001
1.6425878E+000	4.320215865078319E+001
1.6459143E+000	4.485057482761025E+001
1.6492509E+000	4.649298783556139E+001
1.6525770E+000	4.811501617087083E+001
1.6559237E+000	4.977256051297846E+001
1.6592603E+000	5.148778627069709E+001
1.6626055E+000	5.316735105420923E+001
1.6659362E+000	5.485260207905640E+001
1.6692513E+000	5.651245315171718E+001
1.6725864E+000	5.828659303423933E+001
1.6759394E+000	6.002478716125142E+001
1.6792866E+000	6.169349697518078E+001
1.6826125E+000	6.338717940498799E+001
1.6859387E+000	6.500808924344233E+001
1.6892706E+000	6.670360870767877E+001
1.6926059E+000	6.843951202284507E+001
1.6959454E+000	7.014241037648063E+001
1.6992669E+000	7.189123304086115E+001
1.7026099E+000	7.353279637165156E+001
1.7059339E+000	7.517552290289996E+001
1.7092888E+000	7.687336557090237E+001
1.7126191E+000	7.850957456209940E+001
1.7159619E+000	8.012795153118270E+001
1.7192982E+000	8.165893346882490E+001
1.7226384E+000	8.336788863243765E+001
1.7259851E+000	8.492215906388981E+001
1.7293136E+000	8.663552216400274E+001
1.7326361E+000	8.819756979906185E+001
1.7359608E+000	8.975777624776458E+001
1.7393028E+000	9.146914468835121E+001
1.7426382E+000	9.310430829024938E+001
1.7459581E+000	9.459235999139753E+001
1.7492851E+000	9.624455204687877E+001
1.7526339E+000	9.775153561475713E+001
1.7559600E+000	9.927448333029889E+001
1.7593002E+000	1.009106141036807E+002
1.7626330E+000	1.024036705440030E+002
1.7659831E+000	1.039468852610963E+002
1.7693118E+000	1.053174493478496E+002
1.7726283E+000	1.067444564966354E+002
1.7759832E+000	1.081540730253464E+002
1.7793057E+000	1.095880157118879E+002
1.7826848E+000	1.115418814007226E+002
1.7860035E+000	1.127715248545110E+002
1.7893569E+000	1.142530261773190E+002
1.7926913E+000	1.155191215555690E+002
1.7960335E+000	1.171769304180093E+002
1.7993723E+000	1.184213079982676E+002
1.8026962E+000	1.195703935375427E+002
1.8060182E+000	1.209028296566735E+002
1.8093541E+000	1.222511325933635E+002
1.8126991E+000	1.237030380449642E+002
1.8160692E+000	1.248390441715341E+002
1.8193903E+000	1.261951984359314E+002
1.8227292E+000	1.272962977820043E+002
1.8260591E+000	1.286917601306202E+002
1.8294028E+000	1.296963452734076E+002
1.8327379E+000	1.308164565091038E+002
