Ewe/V	<I>/mA	
1.3629600E+000	0.000000000000000E+000
1.3615311E+000	0.000000000000000E+000
1.2308805E+000	-4.923030379627432E+000
1.2332056E+000	-6.659215467401545E-001
1.2367233E+000	-1.823105117076658E-001
1.2400618E+000	-7.924759841817908E-002
1.2433784E+000	-3.301279132069790E-002
1.2467035E+000	-7.111637544951088E-003
1.2500298E+000	9.874806490679372E-003
1.2533715E+000	2.155784939480426E-002
1.2567141E+000	3.094705854274360E-002
1.2600362E+000	3.789626714415922E-002
1.2633621E+000	4.348689944078421E-002
1.2667106E+000	4.816284540486693E-002
1.2700332E+000	5.243173171921423E-002
1.2733853E+000	5.587542640136056E-002
1.2766910E+000	5.869242010337994E-002
1.2800434E+000	6.147665820104220E-002
1.2833818E+000	6.410406676953873E-002
1.2866962E+000	6.598061888985318E-002
1.2900275E+000	6.760188248276483E-002
1.2933708E+000	6.915736411775830E-002
1.2967021E+000	7.128380022355540E-002
1.3000464E+000	7.242524606086771E-002
1.3033729E+000	7.354659511286182E-002
1.3067055E+000	7.455021856113497E-002
1.3100343E+000	7.589654174924898E-002
1.3133817E+000	7.697492186718025E-002
1.3167063E+000	7.756187487100585E-002
1.3200425E+000	7.851705726012431E-002
1.3233738E+000	7.934807234066699E-002
1.3266907E+000	8.022091385820440E-002
1.3300269E+000	8.122464880735847E-002
1.3333646E+000	8.198475267701089E-002
1.3367054E+000	8.269311761889031E-002
1.3400409E+000	8.379383576849553E-002
1.3433626E+000	8.489211650557404E-002
1.3467011E+000	8.572435581753113E-002
1.3500408E+000	8.720960620071627E-002
1.3533854E+000	8.832109516182185E-002
1.3567057E+000	8.985320011900200E-002
1.3600425E+000	9.142609633819637E-002
1.3633926E+000	9.358282115573369E-002
1.3667315E+000	9.520838329786774E-002
1.3700566E+000	9.741359361269908E-002
1.3734115E+000	1.000422044419587E-001
1.3767307E+000	1.030303190304969E-001
1.3800815E+000	1.059122391822453E-001
1.3834122E+000	1.097222599412826E-001
1.3867567E+000	1.143250075000055E-001
1.3900772E+000	1.191633619453669E-001
1.3934156E+000	1.246898935550576E-001
1.3967410E+000	1.311587279089690E-001
1.4000762E+000	1.393372094358283E-001
1.4033866E+000	1.487440201681256E-001
1.4067289E+000	1.597431698645733E-001
1.4100666E+000	1.730006146234819E-001
1.4134091E+000	1.889171360859883E-001
1.4167297E+000	2.070141834785506E-001
1.4200562E+000	2.293586209727700E-001
1.4233928E+000	2.557182864870113E-001
1.4267218E+000	2.870414033253343E-001
1.4300525E+000	3.237098198705675E-001
1.4333984E+000	3.665884460718394E-001
1.4367280E+000	4.171964673011992E-001
1.4400383E+000	4.750988243058902E-001
1.4433694E+000	5.419094085613896E-001
1.4466872E+000	6.196765130313633E-001
1.4500114E+000	7.077916291487212E-001
1.4533572E+000	8.084555194134118E-001
1.4566866E+000	9.222418432527881E-001
1.4600824E+000	1.054069063658201E+000
1.4633857E+000	1.195932643592931E+000
1.4667293E+000	1.354673743856145E+000
1.4700530E+000	1.529801511210735E+000
1.4734091E+000	1.723183372008599E+000
1.4767309E+000	1.931888981597915E+000
1.4800556E+000	2.158324938832624E+000
1.4833864E+000	2.403308563538140E+000
1.4867222E+000	2.664207232612017E+000
1.4900376E+000	2.943108971271599E+000
1.4933807E+000	3.242096021544391E+000
1.4967113E+000	3.557237812304226E+000
1.5000401E+000	3.889372945441977E+000
1.5033610E+000	4.238163168979256E+000
1.5066774E+000	4.605305029187647E+000
1.5100358E+000	4.988748045144733E+000
1.5133539E+000	5.391055777784629E+000
1.5167223E+000	5.810969528275649E+000
1.5200435E+000	6.245279687632561E+000
1.5233636E+000	6.695291660479725E+000
1.5267036E+000	7.162046638173322E+000
1.5300169E+000	7.642532738188947E+000
1.5333478E+000	8.140180424352380E+000
1.5366619E+000	8.653057351805927E+000
1.5400336E+000	9.182128952687201E+000
1.5433487E+000	9.725683543262534E+000
1.5466866E+000	1.028418831327377E+001
1.5500501E+000	1.086571850302536E+001
1.5534170E+000	1.146649834735632E+001
1.5567167E+000	1.206857496821550E+001
1.5600660E+000	1.268346760731328E+001
1.5634073E+000	1.331063653707841E+001
1.5667257E+000	1.395154411633445E+001
1.5700601E+000	1.460898911274356E+001
1.5733868E+000	1.527735246532878E+001
1.5767357E+000	1.596597535761086E+001
1.5800524E+000	1.666728339797021E+001
1.5833918E+000	1.737580103016920E+001
1.5867305E+000	1.809924585681455E+001
1.5900719E+000	1.883897597806021E+001
1.5933870E+000	1.959079194170317E+001
1.5967289E+000	2.035880690849856E+001
1.6000767E+000	2.113943601271802E+001
1.6033998E+000	2.192971537060214E+001
1.6067190E+000	2.272954134736000E+001
1.6100558E+000	2.354922504383055E+001
1.6134117E+000	2.437983864684171E+001
1.6167321E+000	2.521759427900180E+001
1.6200626E+000	2.606692001265759E+001
1.6233975E+000	2.694381759809673E+001
1.6267351E+000	2.785214875381763E+001
1.6300577E+000	2.874447276437891E+001
1.6333899E+000	2.963937553854819E+001
1.6367272E+000	3.055014392306617E+001
1.6400582E+000	3.146732697497340E+001
1.6434082E+000	3.239320326535329E+001
1.6467255E+000	3.332996774911979E+001
1.6500744E+000	3.427531377260931E+001
1.6534016E+000	3.522649431561496E+001
1.6567305E+000	3.619379755256682E+001
1.6600553E+000	3.716505776001091E+001
1.6634134E+000	3.814473000410712E+001
1.6667349E+000	3.913064726075845E+001
1.6700811E+000	4.014075359233573E+001
1.6733973E+000	4.120952267350762E+001
1.6767417E+000	4.223332882874678E+001
1.6800352E+000	4.328075388460091E+001
1.6833961E+000	4.431979639268911E+001
1.6867455E+000	4.535620963539793E+001
1.6900777E+000	4.644277961029743E+001
1.6934018E+000	4.751022220838740E+001
1.6967444E+000	4.859784782469734E+001
1.7000842E+000	4.966532526313100E+001
1.7034107E+000	5.075919622864308E+001
