Ewe/V	<I>/mA	
1.3932321E+000	0.000000000000000E+000
1.3899525E+000	0.000000000000000E+000
1.2308637E+000	-7.956786874135361E+000
1.2327243E+000	-1.002112854449468E+000
1.2360681E+000	-2.881303185796118E-001
1.2393966E+000	-1.359617299766356E-001
1.2427150E+000	-7.463255470920249E-002
1.2460610E+000	-3.902565768007277E-002
1.2493809E+000	-1.598557677550150E-002
1.2527261E+000	4.674455993046958E-003
1.2560685E+000	1.316115974050250E-002
1.2593963E+000	2.191092278339679E-002
1.2627410E+000	2.933523951837858E-002
1.2660875E+000	3.572823698169414E-002
1.2694087E+000	4.070475088728931E-002
1.2727646E+000	4.525749530190459E-002
1.2761047E+000	4.915001638447415E-002
1.2794231E+000	5.226211706455364E-002
1.2827808E+000	5.543633787503133E-002
1.2861155E+000	5.812413992686880E-002
1.2894440E+000	6.031949625944044E-002
1.2928097E+000	6.268564500289497E-002
1.2961304E+000	6.452508049242178E-002
1.2994756E+000	6.624672562332386E-002
1.3028145E+000	6.755276777675397E-002
1.3061413E+000	6.902025187050209E-002
1.3094904E+000	7.047251567986543E-002
1.3128271E+000	7.155547118990047E-002
1.3161656E+000	7.287643827387179E-002
1.3195038E+000	7.420621946601658E-002
1.3228474E+000	7.509510903209715E-002
1.3261799E+000	7.626157417852153E-002
1.3295187E+000	7.721979334888918E-002
1.3328372E+000	7.790499779043514E-002
1.3362103E+000	7.925350434157474E-002
1.3395371E+000	8.048870571895861E-002
1.3428763E+000	8.131083792119248E-002
1.3462125E+000	8.261455303399257E-002
1.3495457E+000	8.392385846337458E-002
1.3528825E+000	8.506360936412261E-002
1.3562089E+000	8.673966887235784E-002
1.3595508E+000	8.831439767795746E-002
1.3628908E+000	9.196464656049902E-002
1.3662727E+000	9.544478273563217E-002
1.3696023E+000	9.566587118454489E-002
1.3729578E+000	9.780441272817814E-002
1.3762974E+000	1.002003103393176E-001
1.3796188E+000	1.031771363606733E-001
1.3829610E+000	1.066747691690952E-001
1.3863102E+000	1.111784152357345E-001
1.3896505E+000	1.155160679399828E-001
1.3929852E+000	1.212259131743096E-001
1.3963165E+000	1.275979250631099E-001
1.3996416E+000	1.350241438922023E-001
1.4030032E+000	1.441035367281969E-001
1.4063194E+000	1.541138613020940E-001
1.4096760E+000	1.665703862221641E-001
1.4129994E+000	1.811761297044270E-001
