Ewe/V	<I>/mA	
1.3795352E+000	0.000000000000000E+000
1.3780377E+000	0.000000000000000E+000
1.2308843E+000	-3.218055627175738E+001
1.2327360E+000	-8.106186696876634E+000
1.2360542E+000	-1.637931916833388E+000
1.2394040E+000	-6.851508650823612E-001
1.2427497E+000	-3.172376391214065E-001
1.2460657E+000	-1.182762935508161E-001
1.2493876E+000	8.460036143873001E-003
1.2527112E+000	9.528837449834970E-002
1.2560514E+000	1.606830628024138E-001
1.2593925E+000	2.109413272989675E-001
1.2627194E+000	2.490034604009690E-001
1.2660489E+000	2.800520993434550E-001
1.2693778E+000	3.055407825597269E-001
1.2727056E+000	3.267573348525752E-001
1.2760458E+000	3.468357891104961E-001
1.2793452E+000	3.608323874667709E-001
1.2826920E+000	3.751067590350186E-001
1.2860137E+000	3.863655628720961E-001
1.2893474E+000	3.970209019343680E-001
1.2926999E+000	4.071515098505252E-001
1.2960320E+000	4.140967481593698E-001
1.2993536E+000	4.209164517022881E-001
1.3026999E+000	4.280205988752879E-001
1.3060234E+000	4.325999541736625E-001
1.3093675E+000	4.380616214728204E-001
1.3126786E+000	4.429887614886159E-001
1.3160318E+000	4.458804574809641E-001
1.3193622E+000	4.512573638034727E-001
1.3226815E+000	4.533732550427674E-001
1.3260328E+000	4.567982108809661E-001
1.3293567E+000	4.601983544655184E-001
1.3326885E+000	4.621648412252775E-001
1.3360451E+000	4.651194563292123E-001
1.3393573E+000	4.686145184504699E-001
1.3426875E+000	4.720733599759885E-001
1.3460336E+000	4.759689169232022E-001
1.3493730E+000	4.792218946782878E-001
1.3527040E+000	4.828648468361951E-001
1.3560479E+000	4.888602029044797E-001
1.3593678E+000	4.928528665105970E-001
1.3627053E+000	5.005266819705820E-001
1.3660600E+000	5.073448638224090E-001
1.3693856E+000	5.140666590203864E-001
1.3727204E+000	5.225242908562961E-001
1.3760307E+000	5.338145648475852E-001
1.3793818E+000	5.431163096382559E-001
1.3827093E+000	5.569473916186656E-001
1.3860449E+000	5.728677513995276E-001
1.3893943E+000	5.897665195677071E-001
1.3927351E+000	6.094785689785827E-001
1.3960466E+000	6.318339609074419E-001
1.3993824E+000	6.610219551018619E-001
1.4027151E+000	6.916943187597531E-001
1.4060143E+000	7.298287823630467E-001
1.4093634E+000	7.769857680361694E-001
1.4127027E+000	8.290224715815593E-001
1.4160227E+000	8.931659405202295E-001
1.4193672E+000	9.722127649934542E-001
1.4227597E+000	1.063100580436439E+000
1.4260734E+000	1.165950401134902E+000
1.4294246E+000	1.290899889854570E+000
1.4327683E+000	1.432205835255868E+000
1.4361101E+000	1.598966383548257E+000
1.4394032E+000	1.787095069103971E+000
1.4427410E+000	2.001570190316311E+000
1.4460679E+000	2.242379643521740E+000
1.4494168E+000	2.514646024844749E+000
1.4527529E+000	2.816962480477990E+000
1.4560663E+000	3.145427151653223E+000
1.4593934E+000	3.506654467478153E+000
1.4627160E+000	3.900324433916417E+000
1.4660438E+000	4.324333234870423E+000
1.4693810E+000	4.778814214011042E+000
1.4727229E+000	5.264233922395505E+000
1.4760356E+000	5.777618257932403E+000
1.4793721E+000	6.321717210792094E+000
1.4826880E+000	6.893372771502641E+000
1.4860407E+000	7.492767089240459E+000
1.4893734E+000	8.118934997038991E+000
1.4926887E+000	8.769244184235198E+000
1.4960285E+000	9.445129313250682E+000
1.4993589E+000	1.014704425905172E+001
1.5027279E+000	1.087887018752875E+001
1.5060714E+000	1.164145635657033E+001
1.5094042E+000	1.240610753571255E+001
1.5127389E+000	1.319344520435592E+001
1.5161009E+000	1.400182950509338E+001
1.5194279E+000	1.482340959449442E+001
1.5227607E+000	1.566739622539171E+001
1.5260870E+000	1.652681567640991E+001
1.5294360E+000	1.740241986114140E+001
1.5327598E+000	1.829553800577202E+001
1.5360726E+000	1.919992834833559E+001
1.5394156E+000	2.012173689828558E+001
1.5427489E+000	2.105693935536112E+001
1.5460615E+000	2.200261311538568E+001
1.5494224E+000	2.296449700703815E+001
1.5527328E+000	2.394393551782254E+001
1.5560565E+000	2.493666000879142E+001
1.5594081E+000	2.594257430031251E+001
1.5627537E+000	2.695776933230350E+001
1.5660890E+000	2.798578110890526E+001
1.5694253E+000	2.902381034866329E+001
1.5727421E+000	3.007054185587222E+001
1.5760776E+000	3.112697836723447E+001
1.5794199E+000	3.219850900968616E+001
1.5827489E+000	3.327617399832843E+001
1.5861026E+000	3.436853865064148E+001
1.5894384E+000	3.547075387325333E+001
1.5927752E+000	3.657766332151804E+001
1.5960945E+000	3.767508356797549E+001
1.5994195E+000	3.879720278681583E+001
1.6027403E+000	3.993299492033623E+001
1.6060926E+000	4.108012309656385E+001
1.6094246E+000	4.224956007882179E+001
1.6127594E+000	4.341416613563121E+001
1.6160980E+000	4.458178181000540E+001
1.6194288E+000	4.575598946869937E+001
1.6227622E+000	4.694586121067033E+001
1.6260920E+000	4.813073216291548E+001
1.6294446E+000	4.931761651575243E+001
1.6327548E+000	5.051580763587765E+001
1.6360866E+000	5.172583479704326E+001
1.6394230E+000	5.294496674085553E+001
1.6427637E+000	5.416669911959207E+001
1.6460907E+000	5.539431775909161E+001
1.6494091E+000	5.665148957363360E+001
1.6527617E+000	5.791949791623074E+001
1.6560920E+000	5.917159345230789E+001
1.6594210E+000	6.040083612887753E+001
1.6627637E+000	6.165530089495593E+001
1.6661036E+000	6.292854133513379E+001
1.6694300E+000	6.420774020201225E+001
1.6727674E+000	6.548254917577287E+001
1.6761057E+000	6.676845473705674E+001
1.6794239E+000	6.806937245922506E+001
1.6827613E+000	6.936999706626125E+001
1.6861157E+000	7.068271175762811E+001
1.6894182E+000	7.200573479259856E+001
1.6927710E+000	7.332915656135333E+001
1.6961091E+000	7.469617549961828E+001
1.6994424E+000	7.608328697659817E+001
1.7027740E+000	7.739579958496290E+001
1.7061480E+000	7.872555589747139E+001
1.7094729E+000	8.006112034168677E+001
1.7128050E+000	8.138836837549445E+001
1.7161363E+000	8.273383580450127E+001
1.7194705E+000	8.409294375918967E+001
1.7228256E+000	8.545509106194822E+001
1.7261516E+000	8.680948610933834E+001
1.7294868E+000	8.817271475483875E+001
1.7328066E+000	8.953412914479850E+001
1.7361419E+000	9.089066547351808E+001
1.7394845E+000	9.228905674333862E+001
1.7428287E+000	9.373342726424164E+001
1.7461567E+000	9.511487402725970E+001
1.7494850E+000	9.649840417691064E+001
1.7528051E+000	9.789868386899798E+001
1.7561316E+000	9.938074023832678E+001
1.7594619E+000	1.007916240339850E+002
1.7628106E+000	1.021093005498078E+002
1.7661467E+000	1.034772316254277E+002
1.7694949E+000	1.048514687843672E+002
1.7728162E+000	1.062653099084735E+002
1.7761470E+000	1.076538745507401E+002
1.7794833E+000	1.090947862181456E+002
1.7828577E+000	1.106694977885363E+002
1.7861896E+000	1.121924455547401E+002
1.7895252E+000	1.135833491407582E+002
1.7928551E+000	1.150118958747894E+002
1.7961966E+000	1.164776624090431E+002
1.7995348E+000	1.179199691121644E+002
1.8028643E+000	1.192945688660416E+002
1.8061961E+000	1.206818580267357E+002
1.8095376E+000	1.222434669621011E+002
1.8129021E+000	1.237679510001425E+002
1.8162148E+000	1.253238217995200E+002
1.8195544E+000	1.267841652534775E+002
1.8229042E+000	1.282647970509788E+002
1.8262293E+000	1.296266471177423E+002
1.8295648E+000	1.310171511561929E+002
1.8329041E+000	1.326200287437910E+002
1.8362280E+000	1.341485098472781E+002
1.8395680E+000	1.355670828825932E+002
1.8428992E+000	1.370582319629507E+002
1.8462112E+000	1.384863123974956E+002
1.8492333E+000	1.397687572046475E+002
1.8507119E+000	1.404533226860894E+002
