Ewe/V	<I>/mA	
1.3925052E+000	0.000000000000000E+000
1.3903996E+000	0.000000000000000E+000
1.2308494E+000	-4.865003294203024E+001
1.2328923E+000	-7.375011784040424E+000
1.2364014E+000	-1.179073113726519E+000
1.2397426E+000	-5.407956911820091E-001
1.2430991E+000	-2.537267205812182E-001
1.2464200E+000	-7.497796457721109E-002
1.2497437E+000	3.726682436818553E-002
1.2530888E+000	1.075072041538045E-001
1.2564285E+000	1.617870922680346E-001
1.2597673E+000	2.411167901405149E-001
1.2630965E+000	2.524427142405730E-001
1.2664325E+000	2.808098119284770E-001
1.2697687E+000	3.063079228206238E-001
1.2731056E+000	3.268451720295005E-001
1.2764442E+000	3.454887602991548E-001
1.2797812E+000	3.740762473949553E-001
1.2831141E+000	3.906061622502224E-001
1.2864611E+000	3.901774664851407E-001
1.2897856E+000	3.977578167985394E-001
1.2931360E+000	4.062886634463148E-001
1.2964594E+000	4.143335321522308E-001
1.2998157E+000	4.222277516275845E-001
1.3031594E+000	4.276537160186429E-001
1.3064981E+000	4.336024417289899E-001
1.3098279E+000	4.381174316278980E-001
1.3131797E+000	4.438424309154687E-001
1.3165114E+000	4.462814390815826E-001
1.3198594E+000	4.503443309937376E-001
1.3231944E+000	4.544668015015656E-001
1.3265244E+000	4.569717916938512E-001
1.3298709E+000	4.604192357961168E-001
1.3332156E+000	4.624579992193620E-001
1.3365288E+000	4.645887841994014E-001
1.3398665E+000	4.688722254196893E-001
1.3432422E+000	4.729310084555820E-001
1.3465521E+000	4.765848642037023E-001
1.3498820E+000	4.801408244915590E-001
1.3532224E+000	5.044325354802623E-001
1.3565780E+000	5.040014392861344E-001
1.3598830E+000	4.998799167058703E-001
1.3632752E+000	5.075155277591819E-001
1.3665985E+000	5.124759072375534E-001
1.3699507E+000	5.196661533621949E-001
1.3732927E+000	5.275092859038768E-001
1.3766474E+000	5.393016942794626E-001
1.3799640E+000	5.495851211324947E-001
1.3832899E+000	5.636008828356509E-001
1.3866534E+000	5.807761552973489E-001
1.3899754E+000	5.967708182971863E-001
1.3933071E+000	6.183589146620081E-001
1.3966539E+000	6.840837102828115E-001
1.4000008E+000	6.836381138679997E-001
1.4033204E+000	7.135668415835621E-001
1.4066564E+000	7.543660894297366E-001
1.4099855E+000	8.246134714816638E-001
1.4133422E+000	8.823384859718306E-001
1.4166715E+000	9.360598188477809E-001
1.4200678E+000	1.066688077401835E+000
1.4234016E+000	1.131800315607800E+000
1.4267461E+000	1.291158206986770E+000
1.4300927E+000	1.430841818006384E+000
1.4334151E+000	1.601444922405502E+000
1.4367598E+000	1.807091092459736E+000
1.4400895E+000	2.048606578167352E+000
1.4434105E+000	2.329468053144339E+000
1.4467554E+000	2.665761698903497E+000
1.4500743E+000	3.031138886518987E+000
1.4534343E+000	3.454472926223289E+000
1.4567517E+000	3.948258953650367E+000
1.4601114E+000	4.491755362823056E+000
1.4634532E+000	5.110524036341403E+000
1.4667732E+000	5.787198252259813E+000
1.4701104E+000	6.543242927015196E+000
1.4734336E+000	7.386378027614768E+000
1.4767898E+000	8.320898746740028E+000
1.4801437E+000	9.352771751470854E+000
1.4834853E+000	1.046828935929004E+001
1.4868666E+000	1.171041230546194E+001
1.4902163E+000	1.304375486416509E+001
1.4935412E+000	1.445010167844301E+001
1.4968910E+000	1.597797369673492E+001
1.5002087E+000	1.758295802898915E+001
1.5035423E+000	1.935488901123336E+001
1.5068789E+000	2.112240591301954E+001
1.5102326E+000	2.305177916597663E+001
1.5135511E+000	2.509884192520724E+001
1.5168985E+000	2.733501713290366E+001
1.5202384E+000	2.966252969509071E+001
1.5235928E+000	3.212988218247335E+001
1.5269146E+000	3.470143814673230E+001
1.5302676E+000	3.742141628214165E+001
1.5335913E+000	4.030298233599639E+001
1.5369432E+000	4.328237167721781E+001
1.5402702E+000	4.642562913719826E+001
1.5436029E+000	4.970642930975134E+001
1.5469469E+000	5.315363793368613E+001
1.5502933E+000	5.678320853378864E+001
1.5536528E+000	6.044325983579967E+001
1.5569963E+000	6.426350337093493E+001
1.5603207E+000	6.812567588846559E+001
1.5636429E+000	7.236145323925143E+001
1.5670155E+000	7.683368224643459E+001
1.5703796E+000	8.153479108925637E+001
1.5737097E+000	8.626838232266027E+001
1.5770636E+000	9.143513628187202E+001
1.5804065E+000	9.665720593302399E+001
1.5837198E+000	1.023131686346089E+002
1.5870771E+000	1.077829300165386E+002
1.5904716E+000	1.139343274617859E+002
1.5938299E+000	1.200333793780034E+002
1.5971938E+000	1.262164285202380E+002
1.6005172E+000	1.326854736352238E+002
1.6038527E+000	1.394324400584383E+002
1.6072215E+000	1.467936397098591E+002
1.6105614E+000	1.541345689421727E+002
1.6138886E+000	1.610517222549197E+002
1.6172360E+000	1.684153930019270E+002
1.6205759E+000	1.760656398028509E+002
1.6239231E+000	1.843818867043365E+002
1.6272793E+000	1.924112105120703E+002
1.6306202E+000	2.010845530837505E+002
1.6339960E+000	2.091829185907968E+002
1.6373411E+000	2.179569339804048E+002
1.6406846E+000	2.262600148889601E+002
1.6440747E+000	2.342670069542646E+002
1.6474016E+000	2.427605772990901E+002
1.6507622E+000	2.520613516580643E+002
1.6541165E+000	2.605676387838002E+002
1.6574560E+000	2.703436392736876E+002
1.6608207E+000	2.791338423171064E+002
1.6641636E+000	2.871484723806811E+002
1.6675084E+000	2.968340350283697E+002
1.6708819E+000	3.070720902136854E+002
1.6742156E+000	3.165152863556516E+002
1.6775641E+000	3.250841758118222E+002
1.6809158E+000	3.321905298759639E+002
1.6842474E+000	3.407368793671089E+002
1.6876067E+000	3.494360859558492E+002
1.6909426E+000	3.597023007303451E+002
1.6942984E+000	3.705540051191856E+002
1.6976603E+000	3.797220442795276E+002
1.7010047E+000	3.888004784219775E+002
1.7043939E+000	3.975944416091397E+002
