Ewe/V	<I>/mA	
1.3116692E+000	0.000000000000000E+000
1.3101603E+000	0.000000000000000E+000
1.2305307E+000	-5.675297725491408E+000
1.2324073E+000	-5.774985645651727E-001
1.2357234E+000	-7.501359010889153E-002
1.2390574E+000	-1.713999901244914E-002
1.2423995E+000	7.011937594334799E-003
1.2457130E+000	2.053715614319418E-002
1.2490555E+000	3.005886033857741E-002
1.2523750E+000	3.679514690979414E-002
1.2557164E+000	4.215242106595907E-002
1.2590448E+000	4.650746147127161E-002
1.2623873E+000	5.018968757467834E-002
1.2657324E+000	5.331172474085211E-002
1.2690566E+000	5.609960155283078E-002
1.2723681E+000	5.832428264084877E-002
1.2757096E+000	6.060995678498060E-002
1.2790588E+000	6.267027400004876E-002
1.2823750E+000	6.444500089089944E-002
1.2857084E+000	6.628735453478590E-002
1.2890295E+000	6.777072162843778E-002
1.2923667E+000	6.920353901372045E-002
1.2956994E+000	7.061714853097734E-002
1.2990396E+000	7.223306853200873E-002
1.3023868E+000	7.363908524124807E-002
1.3057176E+000	7.462722947403944E-002
1.3090397E+000	7.566390107992982E-002
1.3123801E+000	7.713052828740974E-002
1.3157204E+000	7.800380217681463E-002
1.3190554E+000	7.917871520905884E-002
1.3223957E+000	8.061080943806531E-002
1.3257345E+000	8.105648169494928E-002
1.3290458E+000	8.254565185157936E-002
1.3323739E+000	8.338338414836000E-002
1.3357089E+000	8.448446605491361E-002
1.3390388E+000	8.578763254534771E-002
1.3423725E+000	8.742992537782449E-002
1.3457147E+000	8.881897555701684E-002
1.3490471E+000	8.990931055629137E-002
1.3523629E+000	9.178853083258143E-002
1.3557060E+000	9.367972118181966E-002
1.3590424E+000	9.550616253743793E-002
1.3623753E+000	9.786183679353311E-002
1.3657409E+000	1.004058317849246E-001
1.3690656E+000	1.028233843787809E-001
1.3724146E+000	1.060988111406731E-001
1.3757490E+000	1.093842411779966E-001
1.3790987E+000	1.137340557023827E-001
1.3824441E+000	1.184973018325843E-001
1.3857658E+000	1.243242087857386E-001
1.3891189E+000	1.316735408194618E-001
1.3924533E+000	1.406966475329825E-001
1.3957560E+000	1.511583581258784E-001
1.3990872E+000	1.642444726871828E-001
1.4024063E+000	1.814877668306660E-001
1.4057420E+000	2.015407045681838E-001
1.4090784E+000	2.268731400803858E-001
1.4124200E+000	2.569781830015569E-001
1.4157639E+000	2.939913263327774E-001
1.4190611E+000	3.399616479679672E-001
1.4223953E+000	3.942418926787803E-001
1.4257458E+000	4.596601279029633E-001
1.4290688E+000	5.373005289923176E-001
1.4324082E+000	6.266059364924335E-001
1.4357171E+000	7.325603266606588E-001
1.4390315E+000	8.528843260144754E-001
1.4423761E+000	9.952246462411001E-001
1.4457343E+000	1.150353241769068E+000
1.4490678E+000	1.324527048500729E+000
1.4524134E+000	1.518417969944588E+000
1.4557310E+000	1.728074757005245E+000
1.4590632E+000	1.961352035892467E+000
1.4624079E+000	2.215186566745205E+000
1.4657457E+000	2.485064831944655E+000
1.4690719E+000	2.774507859800167E+000
1.4724045E+000	3.091550026899718E+000
1.4757607E+000	3.424828699154943E+000
1.4790713E+000	3.774950106450248E+000
1.4823953E+000	4.146568426383055E+000
1.4857254E+000	4.539020341118885E+000
1.4890615E+000	4.946866464234571E+000
1.4924015E+000	5.377123684336198E+000
1.4957399E+000	5.820282515571392E+000
1.4990647E+000	6.288484080779504E+000
1.5024105E+000	6.767600481538064E+000
1.5057241E+000	7.259707206771935E+000
1.5090621E+000	7.771037714631802E+000
1.5123703E+000	8.300573488946000E+000
