Ewe/V	<I>/mA	
1.3327179E+000	0.000000000000000E+000
1.3320074E+000	0.000000000000000E+000
1.2305180E+000	-9.057785871552262E+000
1.2325389E+000	-8.912665010295910E-001
1.2360499E+000	-1.076365860235059E-001
1.2393820E+000	-3.911779057498239E-002
1.2426966E+000	-8.851368830582365E-003
1.2460365E+000	1.517865924422807E-002
1.2493808E+000	2.273553355807784E-002
1.2527212E+000	3.119085580216974E-002
1.2560581E+000	3.802606956512733E-002
1.2594043E+000	4.428661966075571E-002
1.2627488E+000	4.843065268769553E-002
1.2660817E+000	5.221374242733084E-002
1.2694224E+000	5.595308996987458E-002
1.2727474E+000	5.859851252923853E-002
1.2760879E+000	6.170529838195504E-002
1.2794098E+000	6.429898199822959E-002
1.2827432E+000	6.687303839494563E-002
1.2860872E+000	6.895737316421527E-002
1.2894297E+000	7.096291516893327E-002
1.2927662E+000	7.280952469743704E-002
1.2961056E+000	7.448213684165839E-002
1.2994496E+000	7.611247033137536E-002
1.3027993E+000	7.755999911872591E-002
1.3061188E+000	7.882291012349557E-002
1.3094646E+000	7.964119502424460E-002
1.3127830E+000	8.113973776802164E-002
1.3161360E+000	8.241729311924995E-002
1.3194530E+000	8.378543051226711E-002
1.3227801E+000	8.545752101587056E-002
1.3261468E+000	8.652010442769942E-002
1.3294557E+000	8.754539627248548E-002
1.3328074E+000	8.833587922791808E-002
1.3361344E+000	8.962306238161477E-002
1.3394679E+000	9.123822766898226E-002
1.3428243E+000	9.269337261361865E-002
1.3461577E+000	9.395356768395047E-002
1.3494904E+000	9.549781089873921E-002
1.3528435E+000	9.700342734059264E-002
1.3561617E+000	9.885259650902561E-002
1.3595176E+000	1.010424548417712E-001
1.3628434E+000	1.037396795006776E-001
1.3662101E+000	1.063051745669277E-001
1.3695576E+000	1.098169460555558E-001
1.3728994E+000	1.132893897866174E-001
1.3762165E+000	1.178915612048108E-001
1.3795676E+000	1.222263512480993E-001
1.3829048E+000	1.358842671943827E-001
1.3862468E+000	1.372807657394532E-001
1.3895820E+000	1.458906925435692E-001
1.3929353E+000	1.567803018829395E-001
1.3962569E+000	1.701404109333797E-001
1.3995838E+000	1.869409841118401E-001
1.4029016E+000	2.085575617749384E-001
1.4062461E+000	2.343399477421966E-001
1.4095777E+000	2.676572586127390E-001
1.4129084E+000	3.080300597216281E-001
1.4162476E+000	3.707026431503309E-001
1.4195918E+000	4.254423592182182E-001
1.4229043E+000	4.991238945180960E-001
1.4262403E+000	6.029724884729060E-001
1.4296024E+000	7.043694458101193E-001
1.4329190E+000	8.450669427388995E-001
1.4362626E+000	9.965945262417080E-001
1.4396380E+000	1.176540034842780E+000
1.4429448E+000	1.387283203123060E+000
1.4463065E+000	1.626634955617505E+000
1.4496367E+000	1.903757366258265E+000
1.4529715E+000	2.209178433709926E+000
1.4563100E+000	2.555132195604923E+000
1.4596307E+000	2.932433095836519E+000
1.4629700E+000	3.358706468015836E+000
1.4663275E+000	3.832084092829462E+000
1.4696513E+000	4.338278684770955E+000
1.4730060E+000	4.893129413403969E+000
1.4763268E+000	5.491635251341883E+000
1.4796522E+000	6.145050699824267E+000
1.4830087E+000	6.828951166082248E+000
1.4863374E+000	7.567326115041762E+000
1.4896681E+000	8.360036949061318E+000
1.4929875E+000	9.173654520243698E+000
1.4963248E+000	1.000666161515863E+001
1.4996868E+000	1.100244525635254E+001
1.5030453E+000	1.201785848195231E+001
1.5063951E+000	1.306053742273450E+001
1.5097444E+000	1.416241893050642E+001
1.5130661E+000	1.528651415888490E+001
1.5163958E+000	1.646846230491985E+001
1.5197338E+000	1.767658989701081E+001
1.5230641E+000	1.895193981544907E+001
1.5263970E+000	2.027064166278882E+001
1.5297431E+000	2.165689685077780E+001
1.5330774E+000	2.305697784509096E+001
1.5364190E+000	2.443650379960116E+001
1.5397453E+000	2.599165422584053E+001
1.5431147E+000	2.759846727776414E+001
1.5464567E+000	2.922133817651000E+001
1.5497711E+000	3.086883525035513E+001
1.5531001E+000	3.256592127337655E+001
1.5564488E+000	3.427122140371483E+001
1.5597776E+000	3.592208514208841E+001
1.5631232E+000	3.782789917676712E+001
1.5664625E+000	3.973236346106603E+001
1.5698024E+000	4.167781818910955E+001
1.5731363E+000	4.366644530002145E+001
1.5764949E+000	4.560123030724060E+001
1.5798321E+000	4.773495854563946E+001
1.5831672E+000	4.982122939529563E+001
1.5865023E+000	5.199141397264572E+001
1.5898259E+000	5.414454413966507E+001
1.5931857E+000	5.627645740772664E+001
1.5965010E+000	5.860740550782521E+001
1.5998510E+000	6.093756322428908E+001
1.6032033E+000	6.311865730631257E+001
1.6065303E+000	6.544092420003869E+001
1.6099054E+000	6.803130148932974E+001
1.6132255E+000	7.066461684156184E+001
1.6165726E+000	7.332151924737150E+001
1.6199119E+000	7.596956777758510E+001
1.6232516E+000	7.869723270748659E+001
1.6265756E+000	8.135082914256549E+001
1.6299223E+000	8.476442644494830E+001
1.6332563E+000	8.760781160176253E+001
1.6365975E+000	9.036144845685772E+001
1.6399504E+000	9.323624683356184E+001
1.6432817E+000	9.625348433057206E+001
1.6466268E+000	9.917498726856815E+001
1.6499536E+000	1.022036840819999E+002
1.6532922E+000	1.055451678279794E+002
1.6566366E+000	1.085593779129057E+002
1.6600379E+000	1.121815294040557E+002
1.6633679E+000	1.154559380211315E+002
1.6667212E+000	1.185441674814658E+002
1.6700602E+000	1.218023592384097E+002
1.6733974E+000	1.252123969664606E+002
1.6767507E+000	1.285037394970203E+002
1.6800959E+000	1.315676278225162E+002
1.6834254E+000	1.350137896912274E+002
1.6867727E+000	1.379811417333091E+002
1.6901070E+000	1.411177698116683E+002
1.6934649E+000	1.448687287091117E+002
1.6967844E+000	1.483234131993829E+002
1.7001405E+000	1.518096726637514E+002
1.7034608E+000	1.550978985156863E+002
1.7068022E+000	1.586254298364204E+002
1.7101541E+000	1.615133629964796E+002
1.7134899E+000	1.646678199563110E+002
1.7168241E+000	1.692269486465693E+002
1.7201613E+000	1.723439785224999E+002
1.7235215E+000	1.755019533621943E+002
1.7268536E+000	1.789001108548505E+002
1.7301953E+000	1.829758239612029E+002
1.7335306E+000	1.856830102500669E+002
1.7368773E+000	1.891559998153361E+002
1.7402288E+000	1.920126738310505E+002
1.7435684E+000	1.957974791807746E+002
1.7468998E+000	1.988671262749198E+002
1.7502503E+000	2.025741825347486E+002
1.7536240E+000	2.061390095458278E+002
1.7569709E+000	2.090382708150282E+002
1.7603050E+000	2.124694802409754E+002
1.7636623E+000	2.153351527111076E+002
1.7669908E+000	2.185049837793399E+002
1.7703276E+000	2.218563302207417E+002
1.7736753E+000	2.240611363286025E+002
1.7770205E+000	2.275654392522601E+002
1.7803938E+000	2.310384104419845E+002
1.7837226E+000	2.333652924647176E+002
1.7870369E+000	2.359234453732995E+002
1.7903922E+000	2.392072259797183E+002
1.7937486E+000	2.425325070104445E+002
1.7970817E+000	2.464474901180483E+002
1.8004313E+000	2.495643191616009E+002
1.8037572E+000	2.522842482911360E+002
1.8070951E+000	2.553680180948754E+002
1.8104359E+000	2.582372995919786E+002
1.8137927E+000	2.611252991076008E+002
1.8171269E+000	2.637420320324077E+002
1.8204768E+000	2.672747482361350E+002
1.8238283E+000	2.694847670735526E+002
1.8271275E+000	2.722322599850941E+002
1.8304794E+000	2.741323963043496E+002
1.8338062E+000	2.764160654535117E+002
1.8371463E+000	2.795191586818773E+002
1.8405058E+000	2.821414386529259E+002
1.8438427E+000	2.839049762258137E+002
1.8471781E+000	2.862940259114848E+002
1.8505356E+000	2.901738937991840E+002
1.8538631E+000	2.933443390322509E+002
1.8572241E+000	2.969540092254521E+002
1.8605615E+000	2.996646389247915E+002
1.8638968E+000	3.045901005669248E+002
1.8672398E+000	3.134561830071752E+002
1.8706062E+000	3.166494946700441E+002
1.8739356E+000	3.196816009320983E+002
1.8772869E+000	3.201696449248111E+002
1.8806348E+000	3.214295015112937E+002
1.8839725E+000	3.214853459053693E+002
1.8872826E+000	3.231977777454681E+002
1.8906317E+000	3.240189521322646E+002
1.8939660E+000	3.234259707950746E+002
1.8973053E+000	3.250589406437430E+002
1.8998183E+000	3.257798443100002E+002
1.9007920E+000	3.259895520891450E+002
