Ewe/V	<I>/mA	
1.1901680E+000	0.000000000000000E+000
1.1912719E+000	0.000000000000000E+000
1.2305081E+000	4.885096439204286E-001
1.2323637E+000	1.343713841512457E-001
1.2357035E+000	6.942676955048532E-002
1.2390430E+000	5.736355257172376E-002
1.2423753E+000	5.225458246772996E-002
1.2457203E+000	4.955183671007282E-002
1.2490349E+000	4.788809359220053E-002
1.2523788E+000	4.679041775892590E-002
1.2557147E+000	4.617873483525681E-002
1.2590381E+000	4.578025347448678E-002
1.2623665E+000	4.547975228455775E-002
1.2657092E+000	4.533940161460266E-002
1.2690332E+000	4.533418175394138E-002
1.2723866E+000	4.523760764400697E-002
1.2757283E+000	4.560702522367643E-002
1.2790493E+000	4.552346868167984E-002
1.2823739E+000	4.570597386024197E-002
1.2856920E+000	4.545403492610278E-002
1.2890420E+000	4.560805060620060E-002
1.2923611E+000	4.557492966559817E-002
1.2957020E+000	4.567909206180207E-002
1.2990462E+000	4.578942447489094E-002
1.3023889E+000	4.596633950993911E-002
1.3057308E+000	4.609394117151752E-002
1.3090464E+000	4.625263454559596E-002
1.3123903E+000	4.643196756500512E-002
1.3157074E+000	4.656482474933528E-002
1.3190464E+000	4.693845738661651E-002
1.3223826E+000	4.724098594215920E-002
1.3257231E+000	4.740191228783310E-002
1.3290588E+000	4.764064905973819E-002
1.3323776E+000	4.777001707265160E-002
1.3357284E+000	4.818109665924963E-002
1.3390533E+000	4.874562761711304E-002
1.3423648E+000	4.880237935341891E-002
1.3457235E+000	4.913959037327931E-002
1.3490528E+000	4.943147925732549E-002
1.3523926E+000	4.979662113907568E-002
1.3557372E+000	5.021432799636261E-002
1.3590672E+000	5.054376357399365E-002
1.3623862E+000	5.094128032629136E-002
1.3657416E+000	5.138601351125854E-002
1.3690667E+000	5.184190337052122E-002
1.3724201E+000	5.229631744122365E-002
1.3757389E+000	5.276303927435366E-002
1.3790742E+000	5.330996448349468E-002
1.3824148E+000	5.407385970379130E-002
1.3857578E+000	5.475832430913918E-002
1.3890818E+000	5.562956028671606E-002
1.3924118E+000	5.699824176478555E-002
1.3957531E+000	5.841648251473203E-002
1.3990949E+000	6.051787664865343E-002
1.4024234E+000	6.285361211567932E-002
1.4057628E+000	6.602821055985442E-002
1.4090883E+000	6.995005861486345E-002
1.4124173E+000	7.487363642671396E-002
1.4157544E+000	8.107646392211709E-002
1.4190943E+000	8.882308533589911E-002
1.4224091E+000	9.818731511795598E-002
1.4257412E+000	1.095831943639403E-001
1.4290874E+000	1.233836382549156E-001
1.4323992E+000	1.396679522873652E-001
1.4357576E+000	1.585868645141475E-001
1.4390674E+000	1.803315001211773E-001
1.4424057E+000	2.051767454375257E-001
1.4457124E+000	2.332177669829316E-001
1.4490579E+000	2.651336164728333E-001
1.4523858E+000	3.007822545910059E-001
1.4557172E+000	3.403259007763850E-001
1.4590465E+000	3.829804918431408E-001
1.4623635E+000	4.306451197669521E-001
1.4656837E+000	4.820065733465140E-001
1.4690354E+000	5.379617078328565E-001
1.4723635E+000	5.985168440059780E-001
1.4756949E+000	6.630662001683705E-001
1.4790227E+000	7.312319256467816E-001
1.4823357E+000	8.024043489688819E-001
1.4856641E+000	8.772241756626862E-001
1.4890140E+000	9.582969588263581E-001
1.4923707E+000	1.044152589277024E+000
1.4957246E+000	1.133052551177379E+000
1.4990565E+000	1.224598858822748E+000
1.5023910E+000	1.320673654754881E+000
1.5057198E+000	1.417791287032113E+000
1.5090486E+000	1.523460540680912E+000
1.5123800E+000	1.631608521633868E+000
1.5157216E+000	1.746554908528807E+000
1.5190551E+000	1.863020520019717E+000
1.5223696E+000	1.986480006252219E+000
1.5257263E+000	2.090867103925348E+000
1.5290591E+000	2.208348082703161E+000
1.5323856E+000	2.333236227085058E+000
1.5357026E+000	2.475585081152651E+000
1.5390365E+000	2.610516064206905E+000
1.5423750E+000	2.730050517637466E+000
1.5457162E+000	2.868280632115129E+000
1.5490544E+000	3.012477389304809E+000
1.5523622E+000	3.146847745868683E+000
1.5557029E+000	3.286533773474822E+000
1.5590421E+000	3.432822187867068E+000
1.5623736E+000	3.580543974465707E+000
1.5657042E+000	3.732244704535747E+000
