Ewe/V	<I>/mA	
1.3333036E+000	0.000000000000000E+000
1.3326113E+000	0.000000000000000E+000
1.2305487E+000	-1.181294543402537E+000
1.2325646E+000	-2.440879105900358E-001
1.2360548E+000	-7.610460255111762E-002
1.2393768E+000	-4.583467881955053E-002
1.2427208E+000	-2.962479881327035E-002
1.2460693E+000	-1.756045027221514E-002
1.2493945E+000	-1.065970967003530E-002
1.2527300E+000	-5.219515383937248E-003
1.2560813E+000	-9.316354476569485E-004
1.2594351E+000	2.489503384963815E-003
1.2627977E+000	5.247919911316734E-003
1.2661474E+000	7.635930181072677E-003
1.2694647E+000	9.622786805139866E-003
1.2727917E+000	1.134060941893270E-002
1.2761443E+000	1.284188870510228E-002
1.2794722E+000	1.414516030084123E-002
1.2828281E+000	1.537816097110531E-002
1.2861621E+000	1.639576249291671E-002
1.2894788E+000	1.735825894887938E-002
1.2928334E+000	1.829058714950638E-002
1.2961948E+000	1.898352274697210E-002
1.2995120E+000	1.973303262159040E-002
1.3028733E+000	2.037166790592254E-002
1.3062181E+000	2.100852171456502E-002
1.3095577E+000	2.153759054265091E-002
1.3128852E+000	2.213081421311380E-002
1.3162334E+000	2.264412977979796E-002
1.3195819E+000	2.314213127666860E-002
1.3229057E+000	2.359921059201936E-002
1.3262397E+000	2.401884265198777E-002
1.3296090E+000	2.456402363887808E-002
1.3329259E+000	2.494654967467130E-002
1.3362671E+000	2.552256727750624E-002
1.3396214E+000	2.584564241629839E-002
1.3429714E+000	2.634409350474776E-002
1.3463130E+000	2.676308737652708E-002
1.3496512E+000	2.721179684778940E-002
1.3529867E+000	2.762006482284751E-002
1.3563403E+000	2.820824375187209E-002
1.3596743E+000	2.862301188672106E-002
1.3630303E+000	2.937621449057591E-002
1.3663865E+000	3.062756051701221E-002
1.3697070E+000	3.106223937029062E-002
1.3730712E+000	3.132575843971797E-002
1.3763947E+000	3.205797806418355E-002
1.3797402E+000	3.278664221072247E-002
1.3830776E+000	3.371483977103762E-002
1.3864185E+000	3.476362535991240E-002
1.3897820E+000	3.610174621990803E-002
1.3931308E+000	3.759992590729400E-002
1.3964504E+000	3.926563276949463E-002
1.3997756E+000	4.144168918969260E-002
1.4031283E+000	4.406396436253424E-002
1.4064589E+000	4.732727682253030E-002
1.4098060E+000	5.141783998624383E-002
1.4131535E+000	5.628712392072344E-002
1.4164562E+000	6.208963101543086E-002
1.4198332E+000	6.952785016798091E-002
1.4231627E+000	7.839689243532821E-002
1.4264952E+000	8.906284591611591E-002
1.4298609E+000	1.016024154390296E-001
1.4331999E+000	1.163135601814466E-001
1.4365351E+000	1.338070132746672E-001
1.4398593E+000	1.568669473831750E-001
1.4431946E+000	1.785960643785094E-001
1.4465222E+000	2.042351911018376E-001
1.4498556E+000	2.331390044232480E-001
1.4532152E+000	2.653464263617868E-001
1.4565279E+000	3.009283273782466E-001
1.4598786E+000	3.443899440019876E-001
1.4632121E+000	3.872213780391460E-001
1.4665562E+000	4.339531508285290E-001
1.4698944E+000	4.835766415474376E-001
1.4732397E+000	5.437112365032410E-001
1.4765851E+000	6.011225458167040E-001
1.4798994E+000	6.619695428674252E-001
1.4832250E+000	7.336727485681411E-001
1.4865832E+000	8.054074050363917E-001
1.4899276E+000	8.779127455423525E-001
1.4932293E+000	9.627869795233011E-001
1.4966000E+000	1.042566392789645E+000
1.4999697E+000	1.135772210206838E+000
1.5033329E+000	1.227339263564549E+000
1.5066596E+000	1.322044802341718E+000
1.5100052E+000	1.419482124685597E+000
1.5133349E+000	1.523287887781701E+000
1.5166879E+000	1.623416261675857E+000
1.5200123E+000	1.734509653755616E+000
1.5233477E+000	1.844510953440810E+000
1.5266871E+000	1.963685542127138E+000
1.5300432E+000	2.079327503342135E+000
1.5333760E+000	2.205259949036162E+000
1.5367204E+000	2.328875721188549E+000
1.5400695E+000	2.454289201830252E+000
1.5434073E+000	2.590438576601599E+000
1.5467204E+000	2.722827448830449E+000
1.5500784E+000	2.855502928170431E+000
1.5534147E+000	2.998605812309627E+000
1.5567583E+000	3.141219064959174E+000
1.5600896E+000	3.285382910408792E+000
1.5634235E+000	3.440138041004658E+000
1.5667784E+000	3.589956123025416E+000
1.5701338E+000	3.743977320899235E+000
1.5734600E+000	3.895086872393854E+000
1.5767705E+000	4.051070875140084E+000
1.5801399E+000	4.224842963267854E+000
1.5834593E+000	4.394637196441813E+000
1.5868063E+000	4.562009240279515E+000
1.5901495E+000	4.713982727974994E+000
1.5934596E+000	4.897191656120867E+000
1.5968175E+000	5.088070897963407E+000
1.6001738E+000	5.274363101497173E+000
1.6034962E+000	5.450014040795779E+000
1.6068158E+000	5.647205001869310E+000
1.6101595E+000	5.819127275094118E+000
1.6135062E+000	6.002054393924752E+000
1.6168274E+000	6.195719640409848E+000
1.6201979E+000	6.399212240411288E+000
1.6235434E+000	6.586572287333169E+000
1.6268586E+000	6.777003164372417E+000
1.6302032E+000	6.976788789891515E+000
1.6335317E+000	7.162107766405526E+000
1.6368732E+000	7.355825024867116E+000
1.6402252E+000	7.570593010949338E+000
1.6435645E+000	7.776217210233398E+000
1.6468785E+000	7.989067623796231E+000
1.6502454E+000	8.191882127566078E+000
1.6535755E+000	8.401587340511824E+000
1.6569391E+000	8.619900600523650E+000
1.6602559E+000	8.811662964881748E+000
1.6636066E+000	9.018783530413039E+000
1.6669406E+000	9.266729578749008E+000
1.6702864E+000	9.515416204965526E+000
1.6736256E+000	9.714914167782737E+000
1.6769615E+000	9.926543464093882E+000
1.6803060E+000	1.014847628554651E+001
1.6836436E+000	1.035970330336210E+001
