Ewe/V	<I>/mA	
1.3797406E+000	0.000000000000000E+000
1.3769519E+000	0.000000000000000E+000
1.2309177E+000	-7.692885652184515E+000
1.2330768E+000	-6.304782452337747E-001
1.2364187E+000	-2.915044843766514E-001
1.2397513E+000	-1.972603021882582E-001
1.2430607E+000	-1.417603592688446E-001
1.2463986E+000	-1.030938845431768E-001
1.2497240E+000	-7.393329515569586E-002
1.2530822E+000	-5.162230985492677E-002
1.2564037E+000	-3.310893511978960E-002
1.2597421E+000	-1.793605777705526E-002
1.2630565E+000	-5.355062991829133E-003
1.2664074E+000	5.179611960368370E-003
1.2697363E+000	1.449718291259047E-002
1.2730731E+000	2.167726312575570E-002
1.2763997E+000	2.862901514902327E-002
1.2797208E+000	3.411158230332967E-002
1.2830390E+000	3.960054081783937E-002
1.2863886E+000	4.410430400441101E-002
1.2897192E+000	4.783428835962712E-002
1.2930338E+000	5.128200672140026E-002
1.2963786E+000	5.439859108089018E-002
1.2997408E+000	5.697569357063914E-002
1.3030608E+000	5.937059301141162E-002
1.3063889E+000	6.140665029389913E-002
1.3097291E+000	6.408535571898244E-002
1.3130566E+000	6.590896066613661E-002
1.3164003E+000	6.744070503752664E-002
1.3197154E+000	6.935675246929440E-002
1.3230484E+000	7.085733358095592E-002
1.3263890E+000	7.270714687739860E-002
1.3297228E+000	7.468634791046275E-002
1.3330595E+000	7.577529549491835E-002
1.3363847E+000	7.776931974487411E-002
1.3397312E+000	7.949350251884080E-002
1.3430609E+000	8.131083118432011E-002
1.3464017E+000	8.305240572812156E-002
1.3497523E+000	8.526981147158752E-002
1.3530831E+000	8.721289829619058E-002
1.3563969E+000	8.957979007336508E-002
1.3597414E+000	9.223638731030359E-002
1.3630770E+000	9.502357420009699E-002
1.3664255E+000	9.778445068033925E-002
1.3697681E+000	1.014945740010764E-001
1.3731116E+000	1.053376084249387E-001
1.3764306E+000	1.100918319336435E-001
1.3797596E+000	1.153690138760833E-001
1.3830918E+000	1.221983409647502E-001
1.3864254E+000	1.303561807903211E-001
1.3897779E+000	1.398060000255801E-001
1.3930942E+000	1.521709726894299E-001
1.3964363E+000	1.670694498432007E-001
1.3997648E+000	1.856333275282607E-001
1.4031017E+000	2.090436016291632E-001
1.4064112E+000	2.386353260403791E-001
1.4097509E+000	2.756414160329141E-001
1.4130718E+000	3.218067781070157E-001
1.4164078E+000	3.788288848662650E-001
1.4197228E+000	4.492407796347013E-001
1.4230670E+000	5.343400892990515E-001
1.4263873E+000	6.366655720172556E-001
1.4297136E+000	7.596367763433278E-001
1.4330373E+000	9.037872910885483E-001
1.4364331E+000	1.078986439376752E+000
1.4397434E+000	1.275993377425319E+000
1.4430878E+000	1.502891539263661E+000
1.4464173E+000	1.761981661190234E+000
1.4497480E+000	2.053503842013505E+000
1.4530823E+000	2.379055948276410E+000
1.4564086E+000	2.739024788535730E+000
1.4597411E+000	3.133391936645715E+000
1.4630947E+000	3.563202587334668E+000
1.4664094E+000	4.024316718564066E+000
1.4697235E+000	4.520942149587214E+000
1.4730744E+000	5.050694015120838E+000
1.4763882E+000	5.607896350460438E+000
1.4797179E+000	6.196624405232555E+000
1.4830445E+000	6.816166476812029E+000
1.4863881E+000	7.464169774512300E+000
1.4897132E+000	8.138325619199968E+000
1.4930357E+000	8.839008416245576E+000
1.4963908E+000	9.564841652267376E+000
1.4997243E+000	1.031547382928468E+001
1.5030934E+000	1.111180310376509E+001
1.5064452E+000	1.191918647702866E+001
1.5097603E+000	1.273670677892476E+001
1.5130873E+000	1.357910239629985E+001
1.5164242E+000	1.443974399803191E+001
1.5197737E+000	1.532145682716832E+001
1.5231004E+000	1.622325136463746E+001
1.5264387E+000	1.714355153384696E+001
1.5297606E+000	1.807924104719532E+001
1.5330839E+000	1.903785576924633E+001
1.5364108E+000	2.001030768493482E+001
1.5397356E+000	2.100277217168053E+001
1.5430871E+000	2.201197873612568E+001
1.5464220E+000	2.303997175446892E+001
1.5497689E+000	2.407980779722857E+001
1.5530881E+000	2.513403356318315E+001
1.5564220E+000	2.620524025487181E+001
1.5597513E+000	2.729119039640830E+001
1.5630946E+000	2.838828048462256E+001
1.5664415E+000	2.950509427401983E+001
1.5697713E+000	3.063144126494601E+001
1.5730993E+000	3.176494120605332E+001
1.5764263E+000	3.291266268722835E+001
1.5797765E+000	3.407283892751252E+001
1.5830981E+000	3.524548273377280E+001
1.5864419E+000	3.643146812207624E+001
1.5897713E+000	3.763063398377608E+001
1.5931135E+000	3.883373516589586E+001
1.5964168E+000	4.005002465274708E+001
1.5997590E+000	4.127727152667836E+001
1.6031014E+000	4.251215043164086E+001
1.6064248E+000	4.375494286270748E+001
1.6097531E+000	4.501322948845950E+001
1.6130967E+000	4.628304961299676E+001
1.6164252E+000	4.755556052023854E+001
1.6197697E+000	4.883538456691703E+001
1.6230922E+000	5.012935340764619E+001
1.6264293E+000	5.143173712429268E+001
1.6297678E+000	5.275069558021505E+001
1.6330893E+000	5.407371374285754E+001
1.6364148E+000	5.539617823220919E+001
1.6397667E+000	5.674091737822435E+001
1.6431025E+000	5.808787515416014E+001
1.6464397E+000	5.944050663955341E+001
1.6497763E+000	6.079748273733412E+001
1.6531000E+000	6.216098965940853E+001
1.6564355E+000	6.353200030666244E+001
1.6597805E+000	6.491574875458178E+001
1.6631141E+000	6.630702228760812E+001
1.6664557E+000	6.772830133593396E+001
1.6697631E+000	6.913674084131674E+001
1.6730938E+000	7.054952974346489E+001
1.6764337E+000	7.197038088238594E+001
1.6797426E+000	7.339980855857675E+001
1.6830983E+000	7.487793763132353E+001
1.6864413E+000	7.633187957173368E+001
1.6897875E+000	7.777527317319323E+001
1.6931175E+000	7.922299648725198E+001
1.6964502E+000	8.066993504125207E+001
1.6997811E+000	8.212749017869237E+001
1.7030971E+000	8.357775838692427E+001
1.7064689E+000	8.503601934681842E+001
1.7098191E+000	8.652018913836173E+001
1.7131423E+000	8.801759556753541E+001
1.7164921E+000	8.951724121416089E+001
1.7198079E+000	9.097293182637793E+001
1.7231430E+000	9.247297835489633E+001
1.7265021E+000	9.398849231034501E+001
1.7298287E+000	9.550627153152938E+001
1.7331513E+000	9.701632508718728E+001
1.7365061E+000	9.852939611722499E+001
1.7398423E+000	1.000404794801382E+002
1.7431641E+000	1.015996575485535E+002
1.7465014E+000	1.031465367453501E+002
1.7498454E+000	1.047184465031874E+002
1.7531494E+000	1.062842890690426E+002
1.7565020E+000	1.078381677506652E+002
1.7598271E+000	1.093858490372593E+002
1.7632020E+000	1.110878805840239E+002
1.7665416E+000	1.126498754669462E+002
1.7698853E+000	1.142241088958244E+002
1.7732364E+000	1.157856202303842E+002
1.7765411E+000	1.173922906727228E+002
1.7798628E+000	1.189905990199645E+002
1.7832081E+000	1.205521093911294E+002
1.7865553E+000	1.221357293486551E+002
1.7898848E+000	1.237206971945662E+002
1.7932134E+000	1.253212870464706E+002
1.7965403E+000	1.269181261814751E+002
1.7998692E+000	1.284927410321043E+002
1.8032382E+000	1.300628053272588E+002
1.8065573E+000	1.318398875228638E+002
1.8098714E+000	1.334245015776976E+002
1.8132238E+000	1.350246931659226E+002
1.8165519E+000	1.366983541626055E+002
1.8198984E+000	1.383232782941745E+002
1.8232265E+000	1.399495092634634E+002
1.8265545E+000	1.415757354853390E+002
1.8298951E+000	1.432920123279810E+002
1.8332314E+000	1.448581851982711E+002
1.8365619E+000	1.465075657488349E+002
1.8398814E+000	1.481032130357785E+002
1.8432248E+000	1.496996562766935E+002
1.8465543E+000	1.514181861968591E+002
1.8494035E+000	1.528003725079948E+002
1.8506804E+000	1.535197652180987E+002
