Ewe/V	<I>/mA	
1.3762611E+000	0.000000000000000E+000
1.3746064E+000	0.000000000000000E+000
1.2308772E+000	-1.339292294396296E+001
1.2330604E+000	-1.494887045599043E-001
1.2367333E+000	-8.846426474433633E-002
1.2400595E+000	-4.001503493716363E-002
1.2434214E+000	-1.394976193971108E-002
1.2467498E+000	9.061616637914424E-003
1.2500811E+000	1.572255852545107E-002
1.2534010E+000	2.465143966945860E-002
1.2567558E+000	3.266288318483652E-002
1.2601091E+000	3.862541235625577E-002
1.2634335E+000	4.353300184896097E-002
1.2667818E+000	4.753459648792507E-002
1.2701234E+000	5.157412517025700E-002
1.2734764E+000	5.468138571727921E-002
1.2768019E+000	5.747920703118020E-002
1.2801393E+000	6.013725924237723E-002
1.2834791E+000	6.217938794563260E-002
1.2868078E+000	6.384775904320261E-002
1.2901301E+000	6.576403485118232E-002
1.2934610E+000	6.761952986723130E-002
1.2968315E+000	6.949124575475729E-002
1.3001637E+000	7.063956269648886E-002
1.3035015E+000	7.168318221521852E-002
1.3068379E+000	7.265834945819361E-002
1.3101782E+000	7.387393243847762E-002
1.3135190E+000	7.509052117669224E-002
1.3168669E+000	7.568647018954577E-002
1.3202039E+000	7.704808334087443E-002
1.3235265E+000	7.781694583542920E-002
1.3268421E+000	7.856722478975997E-002
1.3302133E+000	8.035940476951131E-002
1.3335450E+000	8.065279285231397E-002
1.3368855E+000	8.159544476974290E-002
1.3402129E+000	8.330299793966639E-002
1.3435597E+000	8.450883038332269E-002
1.3469239E+000	8.575408070223428E-002
1.3502306E+000	8.719628815621183E-002
1.3535715E+000	8.897620309497067E-002
1.3569057E+000	9.121264801652051E-002
1.3602583E+000	9.306333309032688E-002
1.3636006E+000	1.021081579017962E-001
1.3669453E+000	1.003263954058516E-001
1.3702692E+000	1.025810705272693E-001
1.3736330E+000	1.058676495477280E-001
1.3769628E+000	1.106687229187779E-001
1.3803035E+000	1.154359285882745E-001
1.3836484E+000	1.224412004681654E-001
1.3869847E+000	1.308468990363907E-001
1.3903265E+000	1.402473204396957E-001
1.3936741E+000	1.516824542145510E-001
1.3970064E+000	1.665560812218323E-001
1.4003184E+000	1.846056604564510E-001
1.4036610E+000	2.069340217865228E-001
1.4069866E+000	2.339789956964164E-001
1.4103252E+000	2.807990953197343E-001
1.4136531E+000	3.161186267790601E-001
1.4169847E+000	3.686284047998427E-001
1.4203231E+000	4.328413821179247E-001
1.4236553E+000	5.272056109093253E-001
1.4269991E+000	6.412680736208394E-001
1.4303479E+000	7.446463819448370E-001
1.4337004E+000	9.052039769298226E-001
1.4370505E+000	1.082396174975447E+000
1.4403948E+000	1.299438037297641E+000
1.4437151E+000	1.554993552889488E+000
1.4470562E+000	1.862820124817752E+000
1.4503946E+000	2.214280347451435E+000
1.4537420E+000	2.631391461227956E+000
1.4570760E+000	3.109013075832395E+000
1.4603962E+000	3.657657192451037E+000
1.4637374E+000	4.297571107403705E+000
1.4670963E+000	5.012264444968409E+000
1.4704295E+000	5.831298300628543E+000
1.4737422E+000	6.733202374903385E+000
1.4770865E+000	7.759586154361514E+000
1.4804038E+000	8.903090541074285E+000
1.4837339E+000	1.014899061565113E+001
1.4871321E+000	1.157409753250605E+001
1.4904785E+000	1.309987506118492E+001
1.4938272E+000	1.472605968169295E+001
1.4971523E+000	1.651760707301784E+001
1.5004922E+000	1.844850867743804E+001
1.5038230E+000	2.049615833674193E+001
1.5071430E+000	2.261340669195326E+001
1.5104936E+000	2.493209638935900E+001
1.5138452E+000	2.750305830049496E+001
1.5171868E+000	3.022301907307826E+001
1.5205224E+000	3.313566632848858E+001
1.5238549E+000	3.624835834824478E+001
1.5272062E+000	3.952376689763776E+001
1.5305216E+000	4.300373041297536E+001
1.5338720E+000	4.669249488721289E+001
1.5371901E+000	5.058924093621617E+001
1.5405731E+000	5.461371669186570E+001
1.5438876E+000	5.875915358120460E+001
1.5472354E+000	6.319170506099476E+001
1.5505728E+000	6.796994475648603E+001
1.5539166E+000	7.301051527005211E+001
1.5572814E+000	7.832459032191582E+001
1.5606105E+000	8.384769940533329E+001
1.5639867E+000	8.970984826304777E+001
1.5673175E+000	9.567359041811937E+001
1.5706627E+000	1.018283984949114E+002
1.5740231E+000	1.083112891991304E+002
1.5774021E+000	1.159458407542791E+002
1.5807536E+000	1.234490008392631E+002
1.5840977E+000	1.311608337714661E+002
1.5874114E+000	1.391607851018432E+002
1.5907750E+000	1.473606657909086E+002
1.5941323E+000	1.557055168936051E+002
1.5974931E+000	1.648003485021659E+002
1.6008513E+000	1.744223301869890E+002
1.6041760E+000	1.836739162152483E+002
1.6075039E+000	1.936121840057115E+002
1.6108516E+000	2.037061333533054E+002
1.6142255E+000	2.144572937167184E+002
1.6175599E+000	2.258238769604441E+002
1.6209190E+000	2.372146599413874E+002
1.6242694E+000	2.480327796817955E+002
1.6276571E+000	2.608697743356520E+002
1.6310145E+000	2.737389755573827E+002
1.6343771E+000	2.862979201210296E+002
1.6377316E+000	3.003611503543548E+002
1.6410981E+000	3.162430401940062E+002
1.6444448E+000	3.289671608147385E+002
1.6478124E+000	3.373564483015778E+002
1.6501569E+000	3.434199673546627E+002
1.6509240E+000	3.458044108340614E+002
