Ewe/V	<I>/mA	
1.3554721E+000	0.000000000000000E+000
1.3543031E+000	0.000000000000000E+000
1.2306089E+000	-1.681609319363321E+001
1.2324353E+000	-1.345521199568219E+000
1.2357792E+000	-1.084506559686929E-001
1.2391030E+000	-1.143121785346795E-003
1.2424396E+000	4.161543666391376E-002
1.2457917E+000	6.500348754079965E-002
1.2491341E+000	7.972118767933556E-002
1.2524507E+000	9.001789216094652E-002
1.2557907E+000	9.814459281973087E-002
1.2591218E+000	1.042381529542997E-001
1.2624550E+000	1.079931436524570E-001
1.2657954E+000	1.130438014674646E-001
1.2691292E+000	1.167960646780348E-001
1.2724527E+000	1.196731591492433E-001
1.2758001E+000	1.224685287257872E-001
1.2791179E+000	1.242090844269964E-001
1.2824601E+000	1.266980739584869E-001
1.2858040E+000	1.287147297860978E-001
1.2891160E+000	1.300876259890948E-001
1.2924539E+000	1.318124892194650E-001
1.2957969E+000	1.335211438092374E-001
1.2991393E+000	1.349166946794139E-001
1.3024721E+000	1.362486914328049E-001
1.3058088E+000	1.372409328519711E-001
1.3091563E+000	1.380712690363861E-001
1.3124560E+000	1.393860844132746E-001
1.3158010E+000	1.404448127769218E-001
1.3191466E+000	1.415935731126257E-001
1.3224766E+000	1.430555781035778E-001
1.3258046E+000	1.432551874028690E-001
1.3291494E+000	1.454417529764558E-001
1.3324848E+000	1.459300427333585E-001
1.3358241E+000	1.469052438893097E-001
1.3391613E+000	1.490141751716460E-001
1.3424927E+000	1.509385643388321E-001
1.3458411E+000	1.520283937776850E-001
1.3491634E+000	1.543454934951298E-001
1.3524791E+000	1.562710002861789E-001
1.3558167E+000	1.594757703839431E-001
1.3591545E+000	1.618390225507740E-001
1.3625028E+000	1.662249719779310E-001
1.3658475E+000	1.695922022839390E-001
1.3691778E+000	1.741923065891415E-001
1.3725135E+000	1.791182597822563E-001
1.3758359E+000	1.863635151965903E-001
1.3791703E+000	1.924025744725548E-001
1.3825102E+000	2.020927928561869E-001
1.3858612E+000	2.129468715499474E-001
1.3891864E+000	2.253060088131660E-001
1.3925192E+000	2.410830763635881E-001
1.3958662E+000	2.604724351379115E-001
1.3991894E+000	2.836095877798845E-001
1.4025176E+000	3.128879774380158E-001
1.4058344E+000	3.486012832600618E-001
1.4091763E+000	3.936087426275479E-001
1.4124898E+000	4.482247937519617E-001
1.4158396E+000	5.156944553125342E-001
1.4191352E+000	5.980163912741165E-001
1.4224975E+000	6.969028951792904E-001
1.4258038E+000	8.151173945673076E-001
1.4291786E+000	9.598061354219469E-001
1.4325228E+000	1.129207465939311E+000
1.4358593E+000	1.324865859832567E+000
1.4391832E+000	1.550522161522984E+000
1.4425112E+000	1.809641508836840E+000
1.4458369E+000	2.102657300221001E+000
1.4491482E+000	2.430912744744784E+000
1.4525113E+000	2.797685480540139E+000
1.4558507E+000	3.201072015071393E+000
1.4591681E+000	3.640986488009915E+000
1.4624985E+000	4.118915658545909E+000
1.4658302E+000	4.632459798296040E+000
1.4691627E+000	5.183519328663813E+000
1.4724958E+000	5.770619336951800E+000
1.4758265E+000	6.389929199046115E+000
1.4791592E+000	7.046190293904729E+000
1.4824715E+000	7.730832996822596E+000
1.4858232E+000	8.446870946904156E+000
1.4891276E+000	9.193846580119597E+000
1.4924811E+000	9.969771144564191E+000
1.4958297E+000	1.078354838681953E+001
1.4992001E+000	1.163914171346025E+001
1.5025475E+000	1.249696001163701E+001
1.5058913E+000	1.338059922247317E+001
1.5091978E+000	1.428879193188473E+001
1.5125349E+000	1.522127536755893E+001
1.5158840E+000	1.617321516564954E+001
1.5192059E+000	1.714361570802715E+001
1.5225290E+000	1.813690067522032E+001
1.5258653E+000	1.914731149032900E+001
1.5292046E+000	2.018191224152315E+001
1.5325301E+000	2.123226731374393E+001
1.5358529E+000	2.229695854562746E+001
1.5391830E+000	2.338187019768668E+001
1.5425384E+000	2.448487315603870E+001
1.5458677E+000	2.560280027096777E+001
1.5492133E+000	2.673874331990447E+001
1.5525362E+000	2.788908516832277E+001
1.5558715E+000	2.905413533239522E+001
1.5592065E+000	3.023333964714925E+001
1.5625492E+000	3.142457270173298E+001
1.5658810E+000	3.262762431738828E+001
1.5692096E+000	3.384896515925195E+001
1.5725527E+000	3.507805587912233E+001
1.5758760E+000	3.632342184715964E+001
1.5792053E+000	3.757875439555581E+001
