Ewe/V	<I>/mA	
1.3679675E+000	0.000000000000000E+000
1.3669677E+000	0.000000000000000E+000
1.2308595E+000	-2.589188156296723E+001
1.2329082E+000	-7.169276896922572E-001
1.2364142E+000	-1.516568545001191E-001
1.2397448E+000	-5.597553582828418E-002
1.2430775E+000	-4.055404181942571E-003
1.2464027E+000	4.156475176331009E-002
1.2497318E+000	5.189052445306952E-002
1.2530729E+000	6.794079854687007E-002
1.2564293E+000	8.133096040024101E-002
1.2597539E+000	9.168148964641665E-002
1.2630841E+000	1.004708173025402E-001
1.2664413E+000	1.080002586027540E-001
1.2697746E+000	1.145815347471022E-001
1.2731085E+000	1.201410257894289E-001
1.2764477E+000	1.246217768928068E-001
1.2797885E+000	1.288871071439450E-001
1.2830915E+000	1.323830942819335E-001
1.2864554E+000	1.365638356163408E-001
1.2897881E+000	1.391630418450038E-001
1.2931166E+000	1.415584973504639E-001
1.2964678E+000	1.446996183122605E-001
1.2998012E+000	1.468014921227265E-001
1.3031428E+000	1.490507127133966E-001
1.3064704E+000	1.509902218275512E-001
1.3098334E+000	1.525363117290639E-001
1.3131711E+000	1.544154697655957E-001
1.3165271E+000	1.672690398216581E-001
1.3198391E+000	1.599389607103756E-001
1.3231866E+000	1.601222753326802E-001
1.3265024E+000	1.606333506907940E-001
1.3298616E+000	1.625734304410924E-001
1.3331865E+000	1.641350394934055E-001
1.3365284E+000	1.663995836610098E-001
1.3398737E+000	1.680668985962428E-001
1.3432103E+000	1.703125113676551E-001
1.3465319E+000	1.722647445317453E-001
1.3498871E+000	1.753365243391752E-001
1.3532325E+000	1.775424598071145E-001
1.3565934E+000	1.810622321207163E-001
1.3598975E+000	1.841883167140561E-001
1.3632488E+000	1.898115300445655E-001
1.3665951E+000	1.935422748986020E-001
1.3699189E+000	1.986556108510396E-001
1.3732796E+000	2.050325627993081E-001
1.3766257E+000	2.126148839809190E-001
1.3799465E+000	2.203725898094429E-001
1.3833019E+000	2.318185478821642E-001
1.3866421E+000	2.447162559087525E-001
1.3899763E+000	2.596179743275435E-001
1.3933120E+000	2.799755277110121E-001
1.3966509E+000	3.229788549848990E-001
1.3999711E+000	3.375673408303257E-001
1.4032993E+000	3.742412634425775E-001
1.4066443E+000	4.208372710186197E-001
1.4099764E+000	4.967300660967400E-001
1.4133111E+000	5.598651386748337E-001
1.4166368E+000	6.507892485698719E-001
1.4199600E+000	7.735258152490641E-001
1.4233286E+000	9.280703238509105E-001
1.4266798E+000	1.102471238269131E+000
1.4300331E+000	1.315615852243834E+000
1.4333506E+000	1.571674855442410E+000
1.4366902E+000	1.893291073027466E+000
1.4400237E+000	2.268774599565781E+000
1.4433615E+000	2.707882623525478E+000
1.4467146E+000	3.216685438574245E+000
1.4500272E+000	3.821787735126641E+000
1.4533538E+000	4.511129998629585E+000
1.4567106E+000	5.306870464014272E+000
1.4600346E+000	6.211370405466340E+000
1.4633890E+000	7.243339781217003E+000
1.4667072E+000	8.388965930415679E+000
1.4700379E+000	9.670434196802120E+000
1.4733945E+000	1.112518384555841E+001
1.4767723E+000	1.273149804617600E+001
1.4801074E+000	1.443470098858723E+001
1.4834375E+000	1.629098493374697E+001
1.4867898E+000	1.829908134233335E+001
1.4901220E+000	2.036778128538430E+001
1.4934642E+000	2.269131544567381E+001
1.4967936E+000	2.520708046695935E+001
1.5001302E+000	2.789892092696675E+001
1.5034857E+000	3.075796034396092E+001
1.5068097E+000	3.383742241575101E+001
1.5101427E+000	3.706179292515174E+001
1.5134768E+000	4.048686493665969E+001
1.5168198E+000	4.409792714701638E+001
1.5201420E+000	4.796629591046428E+001
1.5234849E+000	5.181005781766316E+001
1.5268341E+000	5.585220035995485E+001
1.5301872E+000	6.013067626715953E+001
1.5335143E+000	6.471590142408832E+001
1.5368638E+000	6.952258890216797E+001
1.5402063E+000	7.449719276612083E+001
1.5435282E+000	7.972584509406667E+001
1.5468788E+000	8.513946321909452E+001
1.5502447E+000	9.085625953097792E+001
1.5536077E+000	9.682364376486430E+001
1.5569414E+000	1.028198242514815E+002
1.5603094E+000	1.089498574784764E+002
1.5636854E+000	1.162729437780831E+002
1.5670404E+000	1.232182530717728E+002
1.5703777E+000	1.301535194145616E+002
1.5737027E+000	1.374377396963378E+002
1.5770590E+000	1.449636232349177E+002
1.5804105E+000	1.527127398462735E+002
1.5837736E+000	1.606991552392367E+002
1.5871192E+000	1.687278900719257E+002
1.5904481E+000	1.772140001994544E+002
1.5937997E+000	1.861722693105605E+002
1.5971417E+000	1.952492032348900E+002
1.6004833E+000	2.044518524733544E+002
1.6038395E+000	2.132720909467680E+002
1.6071559E+000	2.230339443468383E+002
1.6105245E+000	2.329629025902364E+002
1.6138862E+000	2.429728743058777E+002
1.6172400E+000	2.533960196001717E+002
1.6206180E+000	2.640946605520585E+002
1.6239809E+000	2.753291102810581E+002
1.6273155E+000	2.887558916725596E+002
1.6306682E+000	3.011789358071474E+002
1.6340339E+000	3.129051806568433E+002
1.6373677E+000	3.243940083182883E+002
1.6407225E+000	3.362553766637411E+002
1.6440774E+000	3.491257580815777E+002
1.6474191E+000	3.624419947562501E+002
1.6499076E+000	3.745530153931531E+002
1.6509054E+000	3.800106328328447E+002
