Ewe/V	<I>/mA	
1.3834572E+000	0.000000000000000E+000
1.3810544E+000	0.000000000000000E+000
1.2308984E+000	-5.264258573097862E+000
1.2332444E+000	-4.844653170340578E-001
1.2367263E+000	-1.248401131995438E-001
1.2400551E+000	-6.063560867560280E-002
1.2433804E+000	-3.025480162396525E-002
1.2467214E+000	-1.211288448688669E-002
1.2500383E+000	3.692568337730650E-004
1.2533821E+000	9.853266422439472E-003
1.2567174E+000	1.697324431337666E-002
1.2600676E+000	2.275039802497475E-002
1.2633847E+000	2.725961330193538E-002
1.2667099E+000	3.138500820260517E-002
1.2700428E+000	3.495643579569452E-002
1.2733885E+000	3.799980660294278E-002
1.2767204E+000	4.034531640613992E-002
1.2800729E+000	4.293479870641703E-002
1.2833906E+000	4.462517334876293E-002
1.2867093E+000	4.674198827505319E-002
1.2900337E+000	4.817693254478150E-002
1.2933898E+000	4.964611767752908E-002
1.2967016E+000	5.095536973743953E-002
1.3000278E+000	5.224818666462505E-002
1.3033665E+000	5.346829341898296E-002
1.3067292E+000	5.457227989038976E-002
1.3100582E+000	5.531242989625007E-002
1.3133762E+000	5.646581323546873E-002
1.3167071E+000	5.720173217326988E-002
1.3200325E+000	5.830640216585081E-002
1.3233885E+000	5.927436668350539E-002
1.3267151E+000	5.990907335376550E-002
1.3300554E+000	6.104967845065756E-002
1.3333865E+000	6.188396804865559E-002
1.3367192E+000	6.256256701013219E-002
1.3400527E+000	6.369997639469704E-002
1.3433855E+000	6.465565324753580E-002
1.3467163E+000	6.589756069886382E-002
1.3500503E+000	6.699463083333701E-002
1.3533876E+000	6.853377068677111E-002
1.3567197E+000	6.974914946876631E-002
1.3600618E+000	7.125591589953151E-002
1.3634176E+000	7.341313219830703E-002
1.3667569E+000	7.491874188171743E-002
1.3700759E+000	7.693985702892259E-002
1.3734105E+000	7.915520701768272E-002
1.3767514E+000	8.192474385443888E-002
1.3800713E+000	8.497679849807771E-002
1.3833976E+000	8.857860515327221E-002
1.3867446E+000	9.260843914535899E-002
1.3900933E+000	9.743129486260840E-002
1.3934040E+000	1.028703463712251E-001
1.3967379E+000	1.097592071145939E-001
1.4000505E+000	1.175964991390505E-001
1.4034008E+000	1.270314314868387E-001
1.4067379E+000	1.382676970852760E-001
1.4100709E+000	1.520023013552063E-001
1.4133945E+000	1.679243483483415E-001
1.4167316E+000	1.877103458511318E-001
1.4200743E+000	2.113269536876337E-001
1.4233978E+000	2.387419783061153E-001
1.4267260E+000	2.722082835821737E-001
1.4300743E+000	3.119077338000897E-001
1.4334038E+000	3.579104422813923E-001
1.4367286E+000	4.127919939401077E-001
1.4400281E+000	4.762711050035389E-001
1.4433850E+000	5.504327024388953E-001
1.4467052E+000	6.347947778566332E-001
1.4500202E+000	7.318954504893755E-001
1.4533503E+000	8.422367659595862E-001
1.4566849E+000	9.700571118746950E-001
1.4600699E+000	1.112973724051205E+000
1.4633991E+000	1.271750047897797E+000
1.4667256E+000	1.447820889510405E+000
1.4700558E+000	1.642374918953923E+000
1.4734015E+000	1.856864481713103E+000
1.4767424E+000	2.089793019926606E+000
1.4800649E+000	2.342240296813159E+000
1.4833885E+000	2.615314459357538E+000
1.4867129E+000	2.907998771192059E+000
1.4900575E+000	3.221511449861815E+000
1.4933839E+000	3.555785613158193E+000
1.4967386E+000	3.911456954015492E+000
1.5000467E+000	4.286080354434298E+000
1.5033821E+000	4.681017710997978E+000
1.5067196E+000	5.096828606126422E+000
1.5100362E+000	5.531851332381748E+000
1.5133762E+000	5.986685613570899E+000
1.5167110E+000	6.463873910885138E+000
1.5200460E+000	6.959151636457904E+000
1.5233705E+000	7.473802137362142E+000
1.5266989E+000	8.006027284621744E+000
1.5300444E+000	8.557279380732808E+000
1.5333679E+000	9.122682448089748E+000
1.5366870E+000	9.705716379169047E+000
1.5400243E+000	1.030338921864359E+001
1.5433649E+000	1.093238844219907E+001
1.5467288E+000	1.157671478251743E+001
1.5500700E+000	1.222291867459359E+001
1.5534041E+000	1.288434965602620E+001
1.5567273E+000	1.355688018243464E+001
1.5600617E+000	1.424200754138164E+001
1.5633897E+000	1.494434290067235E+001
1.5667297E+000	1.565956915682528E+001
1.5700691E+000	1.639156301941972E+001
1.5733992E+000	1.713372214394329E+001
1.5767189E+000	1.788764777064416E+001
1.5800506E+000	1.865653242573310E+001
1.5833786E+000	1.944074046092450E+001
1.5867312E+000	2.024552772329989E+001
1.5900617E+000	2.106318076561310E+001
1.5933955E+000	2.188602036242375E+001
1.5967125E+000	2.272510496898752E+001
1.6000495E+000	2.357811533464869E+001
1.6033801E+000	2.444254640042567E+001
1.6067070E+000	2.531526822452776E+001
1.6100399E+000	2.620648342813197E+001
1.6134009E+000	2.711811696429561E+001
1.6167235E+000	2.803572087515094E+001
1.6200575E+000	2.896531559286029E+001
1.6234014E+000	2.990774230230920E+001
1.6267128E+000	3.085896150111353E+001
1.6300694E+000	3.182552618754994E+001
1.6333846E+000	3.280618970018702E+001
1.6367369E+000	3.379557916861461E+001
1.6400808E+000	3.479808079077048E+001
