Ewe/V	<I>/mA	
1.4040499E+000	0.000000000000000E+000
1.3970796E+000	0.000000000000000E+000
1.2308733E+000	-9.833436245388469E+000
1.2328869E+000	-5.081046626874102E-001
1.2363933E+000	-1.349594749962776E-001
1.2397261E+000	-6.636199366515466E-002
1.2430505E+000	-3.321130529982161E-002
1.2463868E+000	-1.327040339767102E-002
1.2497158E+000	5.292234006127695E-003
1.2530652E+000	1.096643800866651E-002
1.2563983E+000	1.819054907945705E-002
1.2597404E+000	2.392574045534096E-002
1.2630733E+000	2.900865714817968E-002
1.2664137E+000	3.322878867510121E-002
1.2697617E+000	3.690259516312787E-002
1.2731059E+000	3.978129018480875E-002
1.2764126E+000	4.256654884306188E-002
1.2797830E+000	4.507447422930592E-002
1.2831080E+000	4.686238536782267E-002
1.2864439E+000	4.904885840389761E-002
1.2897681E+000	5.024818212616655E-002
1.2931191E+000	5.206527676271000E-002
1.2964478E+000	5.340197644242128E-002
1.2997953E+000	5.508502344409316E-002
1.3031346E+000	5.627885583691061E-002
1.3064896E+000	5.710945781743271E-002
1.3098428E+000	5.832743157794740E-002
1.3131670E+000	5.919519891246977E-002
1.3165022E+000	6.016712850229267E-002
1.3198457E+000	6.150352755802535E-002
1.3231771E+000	6.243913103842780E-002
1.3265073E+000	6.284102811729009E-002
1.3298590E+000	6.443067495182053E-002
1.3331916E+000	6.508800416555252E-002
1.3365085E+000	6.614937350378769E-002
1.3398556E+000	6.756499261843996E-002
1.3432152E+000	6.879999364965061E-002
1.3465464E+000	6.982370487439780E-002
1.3498819E+000	7.088149221670559E-002
1.3532102E+000	7.271587311544048E-002
1.3565531E+000	7.426159631889329E-002
1.3598764E+000	7.567769081501763E-002
1.3632344E+000	7.831200152722317E-002
1.3665816E+000	8.029837756033398E-002
1.3699329E+000	8.289157776637957E-002
1.3732693E+000	8.529446518815709E-002
1.3765973E+000	8.878364239081449E-002
1.3799365E+000	9.927307252634798E-002
1.3832678E+000	9.710684637758416E-002
1.3866221E+000	1.024254361828676E-001
1.3899530E+000	1.079405787128462E-001
1.3933028E+000	1.148469055278878E-001
1.3966240E+000	1.234237418268489E-001
1.3999687E+000	1.331955498404503E-001
1.4033067E+000	1.449170594395668E-001
1.4066466E+000	1.587892527297217E-001
1.4099997E+000	1.755593282449840E-001
1.4133043E+000	1.951522288425891E-001
1.4166410E+000	2.186943225840294E-001
