Ewe/V	<I>/mA	
1.3922604E+000	0.000000000000000E+000
1.3866677E+000	0.000000000000000E+000
1.2308657E+000	-1.334194296598436E+001
1.2327263E+000	-2.084571752330817E+000
1.2360712E+000	-5.939161202892445E-001
1.2394078E+000	-3.272320223889942E-001
1.2427349E+000	-2.040267127458993E-001
1.2460520E+000	-1.303917159296586E-001
1.2493774E+000	-8.003849309172950E-002
1.2527169E+000	-4.363941131530313E-002
1.2560533E+000	-1.495462032927269E-002
1.2593868E+000	7.552398238412986E-003
1.2627200E+000	2.590665031448834E-002
1.2660441E+000	4.149968910651545E-002
1.2693686E+000	5.498938181189683E-002
1.2727178E+000	6.593845705505558E-002
1.2760491E+000	7.582023277296113E-002
1.2793813E+000	8.469345285856533E-002
1.2827166E+000	9.198184927610908E-002
1.2860465E+000	9.883145319167497E-002
1.2893633E+000	1.049335326270411E-001
1.2927101E+000	1.103191340248717E-001
1.2960408E+000	1.147108868316740E-001
1.2993759E+000	1.197902605395280E-001
1.3027265E+000	1.236533074708329E-001
1.3060702E+000	1.272043758499393E-001
1.3093827E+000	1.303098209724552E-001
1.3127098E+000	1.337930768151465E-001
1.3160425E+000	1.368551553172107E-001
1.3193673E+000	1.393727387578207E-001
1.3226956E+000	1.425998488236297E-001
1.3260305E+000	1.453877847740515E-001
1.3293734E+000	1.480687419081630E-001
1.3326983E+000	1.505171314420615E-001
1.3360388E+000	1.528977477859681E-001
1.3393855E+000	1.558967648689111E-001
1.3427290E+000	1.585611165266787E-001
1.3460613E+000	1.612589770338380E-001
1.3493791E+000	1.642498759346687E-001
1.3527067E+000	1.670092618532208E-001
1.3560476E+000	1.704783480621810E-001
1.3593781E+000	1.737177408441437E-001
1.3627127E+000	1.781106431690853E-001
1.3660649E+000	1.825778333052139E-001
1.3693916E+000	1.865742976491287E-001
1.3727319E+000	1.919347670139533E-001
1.3760703E+000	1.982568986871383E-001
1.3793949E+000	2.051083460030080E-001
1.3827504E+000	2.131225359994335E-001
1.3860581E+000	2.234478928147983E-001
1.3893946E+000	2.349913601972631E-001
1.3927525E+000	2.492139357443619E-001
1.3960620E+000	2.658928105440919E-001
1.3993944E+000	2.868567650732103E-001
1.4027385E+000	3.130349900831533E-001
1.4060435E+000	3.442097332911840E-001
1.4093875E+000	3.829666704330610E-001
1.4127210E+000	4.299971932385613E-001
1.4160264E+000	4.871338482868310E-001
1.4193751E+000	5.571455794374618E-001
1.4226894E+000	6.401279794406314E-001
1.4260254E+000	7.395773325806534E-001
1.4293615E+000	8.557942212165699E-001
1.4327242E+000	9.947016892414373E-001
1.4360734E+000	1.154018642507332E+000
1.4393930E+000	1.335889243944822E+000
1.4427391E+000	1.543899874645833E+000
1.4460566E+000	1.777510652636984E+000
1.4493760E+000	2.039428516891640E+000
1.4527086E+000	2.331717246414911E+000
1.4560601E+000	2.651936512807708E+000
1.4593855E+000	3.000629393986710E+000
1.4627138E+000	3.379797367261837E+000
1.4660274E+000	3.787433933228712E+000
1.4693887E+000	4.226340751305841E+000
1.4727223E+000	4.695464275738757E+000
1.4760507E+000	5.188497063118781E+000
1.4793782E+000	5.710734281548760E+000
1.4827052E+000	6.258536791592576E+000
1.4860377E+000	6.832634589732805E+000
1.4893506E+000	7.430466293787347E+000
1.4926834E+000	8.053367461683663E+000
1.4960269E+000	8.701604532846460E+000
1.4993511E+000	9.373063471415634E+000
1.5026740E+000	1.006544743291030E+001
1.5060391E+000	1.078839692703413E+001
1.5093926E+000	1.154714302609702E+001
1.5127379E+000	1.230564039689881E+001
1.5160737E+000	1.308297825150041E+001
1.5194017E+000	1.387671206794437E+001
1.5227309E+000	1.469459315115682E+001
1.5260643E+000	1.553048493022133E+001
1.5293968E+000	1.637980776969016E+001
1.5327284E+000	1.724801597244735E+001
1.5360672E+000	1.812900176661819E+001
1.5393978E+000	1.902821717856648E+001
1.5427186E+000	1.994604904149162E+001
1.5460483E+000	2.087530652129306E+001
1.5493964E+000	2.182284730759708E+001
1.5527252E+000	2.278472592776996E+001
1.5560489E+000	2.376220524631275E+001
1.5593958E+000	2.475402586776710E+001
1.5627289E+000	2.575384074513732E+001
1.5660697E+000	2.676686182113156E+001
1.5693926E+000	2.779226581654092E+001
1.5727211E+000	2.883184864326137E+001
1.5760390E+000	2.988080867618373E+001
1.5793923E+000	3.094560591901728E+001
1.5827194E+000	3.201884148208165E+001
1.5860615E+000	3.310362738453443E+001
1.5893961E+000	3.421735113512125E+001
1.5927289E+000	3.538175491096035E+001
1.5960385E+000	3.649727917233008E+001
1.5993840E+000	3.762741821548315E+001
1.6027037E+000	3.876579926382055E+001
1.6060343E+000	3.990920783567287E+001
1.6093780E+000	4.105919540100501E+001
1.6127157E+000	4.222645274160789E+001
1.6160548E+000	4.340156112439735E+001
1.6193767E+000	4.458357149402258E+001
1.6227300E+000	4.577440024695341E+001
1.6260530E+000	4.697316992357560E+001
1.6293805E+000	4.818225245286260E+001
1.6326996E+000	4.939886170863207E+001
1.6360483E+000	5.062455802795216E+001
1.6393847E+000	5.187955065084310E+001
1.6427315E+000	5.312470988475582E+001
1.6460594E+000	5.437834832334852E+001
1.6494009E+000	5.563152128391380E+001
1.6527286E+000	5.689543469748753E+001
1.6560646E+000	5.816438274914307E+001
1.6593922E+000	5.945271282350458E+001
1.6627285E+000	6.077081925690163E+001
1.6660681E+000	6.206401443529295E+001
1.6693891E+000	6.335133877330020E+001
1.6727349E+000	6.466310838000123E+001
1.6760688E+000	6.597962902128489E+001
1.6793816E+000	6.730994607877892E+001
1.6827258E+000	6.864338143340728E+001
1.6860631E+000	6.996763036766538E+001
1.6893977E+000	7.128957150424935E+001
1.6927303E+000	7.262192657313346E+001
1.6960677E+000	7.395828716947244E+001
1.6994040E+000	7.531087287363744E+001
1.7027416E+000	7.666863932499047E+001
1.7061061E+000	7.804634215929582E+001
1.7094307E+000	7.941361869539196E+001
1.7127727E+000	8.080015487019131E+001
1.7161151E+000	8.218134580433866E+001
1.7194532E+000	8.355623702957217E+001
1.7227898E+000	8.494343252019712E+001
1.7261348E+000	8.634156256546703E+001
1.7294680E+000	8.774060138582996E+001
1.7327907E+000	8.914759061977192E+001
1.7361205E+000	9.055655731258867E+001
1.7394452E+000	9.197966888311487E+001
1.7427915E+000	9.340756791407193E+001
1.7461326E+000	9.482592049863277E+001
1.7494682E+000	9.622139116025789E+001
1.7527863E+000	9.772831277817863E+001
1.7561202E+000	9.916570787940805E+001
1.7594545E+000	1.006320643406477E+002
1.7627832E+000	1.022656704330835E+002
1.7661225E+000	1.037515456941546E+002
1.7694575E+000	1.052208511049348E+002
1.7727937E+000	1.066432337937647E+002
1.7761369E+000	1.081259280870117E+002
1.7794594E+000	1.096152872913262E+002
1.7828399E+000	1.112731123767785E+002
1.7861706E+000	1.128255338793501E+002
1.7895031E+000	1.143275448588264E+002
1.7928361E+000	1.158137633803783E+002
1.7961574E+000	1.172907400300002E+002
1.7994977E+000	1.187824760209326E+002
1.8028286E+000	1.202913955517529E+002
1.8061649E+000	1.217994044035283E+002
1.8094991E+000	1.232496467312258E+002
1.8128562E+000	1.247133194371593E+002
1.8161911E+000	1.262410699165680E+002
1.8195473E+000	1.277569551757369E+002
1.8228704E+000	1.293271639393133E+002
1.8262066E+000	1.308354483977285E+002
1.8295336E+000	1.323260311608362E+002
1.8328691E+000	1.338027522757568E+002
1.8362004E+000	1.352996925232237E+002
1.8395435E+000	1.368316655968092E+002
1.8428766E+000	1.382896421911376E+002
1.8462116E+000	1.398349263411355E+002
1.8490342E+000	1.411369445444338E+002
1.8503534E+000	1.417577220371791E+002
