Ewe/V	<I>/mA	
1.3768177E+000	0.000000000000000E+000
1.3749287E+000	0.000000000000000E+000
1.2308680E+000	-1.894142002342022E+001
1.2328644E+000	-1.203947047929599E+000
1.2364082E+000	-3.859569317662839E-001
1.2397580E+000	-2.028933467290295E-001
1.2430670E+000	-1.146040802756585E-001
1.2464174E+000	-6.214657904197129E-002
1.2497426E+000	-2.438461029896988E-002
1.2530940E+000	1.349738201875886E-002
1.2564281E+000	2.570826369536617E-002
1.2597659E+000	4.263013640312147E-002
1.2631081E+000	5.540654546316603E-002
1.2664537E+000	6.659241524310633E-002
1.2697868E+000	7.644648384489416E-002
1.2731278E+000	8.534907743948406E-002
1.2764597E+000	9.296737336082761E-002
1.2798018E+000	9.970140276999184E-002
1.2831150E+000	1.051034222440992E-001
1.2864820E+000	1.111249423356779E-001
1.2898021E+000	1.155950192132873E-001
1.2931514E+000	1.192849770210280E-001
1.2964929E+000	1.236644843417585E-001
1.2998139E+000	1.269248682441448E-001
1.3031821E+000	1.385350695853178E-001
1.3065425E+000	1.361626736813442E-001
1.3098657E+000	1.366693078496196E-001
1.3132169E+000	1.390394530307755E-001
1.3165481E+000	1.410264402543806E-001
1.3198862E+000	1.438478399710046E-001
1.3232307E+000	1.458785444845274E-001
1.3265754E+000	1.480921536448516E-001
1.3298935E+000	1.498044700532444E-001
1.3332566E+000	1.520611532122755E-001
1.3365954E+000	1.545435455862927E-001
1.3399208E+000	1.566365712502766E-001
1.3432765E+000	1.588459467140946E-001
1.3466002E+000	1.609699241555669E-001
1.3499467E+000	1.635908760612625E-001
1.3532840E+000	1.661850942375440E-001
1.3566116E+000	1.696432663766146E-001
1.3599527E+000	1.729535661461639E-001
1.3633026E+000	1.771015531092404E-001
1.3666590E+000	1.810058104776591E-001
1.3700041E+000	1.851446047059768E-001
1.3733462E+000	1.904723349697596E-001
1.3766947E+000	1.964266556870817E-001
1.3800048E+000	2.028882507647450E-001
1.3833683E+000	2.116307812281382E-001
1.3867133E+000	2.213978613161212E-001
1.3900555E+000	2.446477532692635E-001
1.3933904E+000	2.515953163630431E-001
1.3967183E+000	2.680640445785669E-001
1.4000666E+000	2.885625366105692E-001
1.4033902E+000	3.149250094689351E-001
1.4067067E+000	3.469062942667689E-001
1.4100519E+000	3.860977375055015E-001
1.4133925E+000	4.501471016177918E-001
1.4167297E+000	4.991212961195348E-001
1.4200560E+000	5.820001225089264E-001
1.4233857E+000	6.667180747318495E-001
1.4267218E+000	7.833028299604052E-001
1.4300556E+000	9.030232901382123E-001
1.4334468E+000	1.075098286213141E+000
1.4367745E+000	1.263227946264641E+000
1.4401084E+000	1.488951542885573E+000
1.4434553E+000	1.739785280728562E+000
1.4467809E+000	2.047043854774504E+000
1.4501320E+000	2.392956329414055E+000
1.4534786E+000	2.790599680569407E+000
1.4568092E+000	3.245792205812471E+000
1.4601510E+000	3.762097755077257E+000
1.4634917E+000	4.351952508435346E+000
1.4668274E+000	4.999215063256791E+000
1.4701458E+000	5.730467489921423E+000
1.4734993E+000	6.535055052082399E+000
1.4768193E+000	7.419165988628286E+000
1.4801685E+000	8.404222370687634E+000
1.4835160E+000	9.482560148960916E+000
1.4868661E+000	1.065839133780929E+001
1.4902263E+000	1.195518870409045E+001
1.4935693E+000	1.333587027215583E+001
1.4969178E+000	1.481809741112690E+001
1.5002598E+000	1.640957702040640E+001
1.5035784E+000	1.810359347398528E+001
1.5069362E+000	1.996282845491550E+001
1.5102745E+000	2.189543901404357E+001
1.5136160E+000	2.388139115412028E+001
1.5169502E+000	2.605977115464356E+001
1.5202938E+000	2.837641967424258E+001
1.5236449E+000	3.085809961363020E+001
1.5269642E+000	3.347262680931624E+001
1.5303022E+000	3.624805690419805E+001
1.5336572E+000	3.918174647868489E+001
1.5369823E+000	4.225633609702955E+001
1.5403135E+000	4.546680987346190E+001
1.5436554E+000	4.884819409641680E+001
1.5469867E+000	5.240707146267971E+001
1.5503459E+000	5.622495023771876E+001
1.5536814E+000	6.009675506901749E+001
1.5570234E+000	6.401970745092081E+001
1.5603625E+000	6.826270844672786E+001
1.5637163E+000	7.280687960688965E+001
1.5670617E+000	7.754579776725723E+001
1.5704306E+000	8.252624554608300E+001
1.5737773E+000	8.769351414266066E+001
1.5771242E+000	9.315748514910700E+001
1.5804558E+000	9.884017133699393E+001
1.5837972E+000	1.046032692195367E+002
1.5871769E+000	1.107853195760270E+002
1.5905259E+000	1.177584118139953E+002
1.5938839E+000	1.243894414051657E+002
1.5972307E+000	1.315889866218599E+002
1.6005938E+000	1.390345797826828E+002
1.6039519E+000	1.466479330784173E+002
1.6073031E+000	1.542003208091853E+002
1.6106238E+000	1.618295791591463E+002
1.6139774E+000	1.699367576479617E+002
1.6173227E+000	1.788811838266947E+002
