Ewe/V	<I>/mA	
1.3733138E+000	0.000000000000000E+000
1.3722870E+000	0.000000000000000E+000
1.2309186E+000	-2.646299903869630E+001
1.2329012E+000	-1.693901716921054E+000
1.2364134E+000	-2.766803203933372E-001
1.2397420E+000	-1.002522332482875E-001
1.2430654E+000	-3.284363728975964E-002
1.2464006E+000	2.725886418247531E-002
1.2497468E+000	4.710951782874931E-002
1.2530663E+000	6.748124839500458E-002
1.2564057E+000	8.525082269069562E-002
1.2597759E+000	9.916385361769831E-002
1.2630874E+000	1.097312955005999E-001
1.2664255E+000	1.200628166462996E-001
1.2697541E+000	1.280998836981602E-001
1.2730957E+000	1.348715813550885E-001
1.2764435E+000	1.417348478019935E-001
1.2797666E+000	1.465178415410654E-001
1.2830919E+000	1.509515773644802E-001
1.2864192E+000	1.558388646718603E-001
1.2897532E+000	1.590841502550449E-001
1.2930977E+000	1.627920865056572E-001
1.2964317E+000	1.661508109975489E-001
1.2997619E+000	1.699225329487066E-001
1.3031150E+000	1.753199678581497E-001
1.3064309E+000	1.825776654465705E-001
1.3097885E+000	1.780494183791594E-001
1.3131294E+000	1.792673026760939E-001
1.3164538E+000	1.807803932348180E-001
1.3197829E+000	1.827776224702311E-001
1.3231103E+000	1.851605494086088E-001
1.3264682E+000	1.867288751707110E-001
1.3297923E+000	1.888510301730114E-001
1.3331453E+000	1.910011889707259E-001
1.3364670E+000	1.923193375369543E-001
1.3398080E+000	1.948263305789051E-001
1.3431383E+000	1.974386870291385E-001
1.3464805E+000	1.988473492935521E-001
1.3498192E+000	2.025458071059559E-001
1.3531655E+000	2.050120994810175E-001
1.3565079E+000	2.084492846465005E-001
1.3598406E+000	2.117235804726915E-001
1.3631848E+000	2.163906722900806E-001
1.3665441E+000	2.199467648741162E-001
1.3698871E+000	2.246562428809931E-001
1.3732274E+000	2.300068329520175E-001
1.3765590E+000	2.379413884521786E-001
1.3798974E+000	2.453974741044593E-001
1.3832426E+000	2.553510469546110E-001
1.3865823E+000	2.674674658239489E-001
1.3899286E+000	2.810924589814445E-001
1.3932542E+000	2.980640542138343E-001
1.3965856E+000	3.399810418491702E-001
1.3999295E+000	3.503674299317991E-001
1.4032465E+000	3.827109407450018E-001
1.4065949E+000	4.220324643143245E-001
1.4099114E+000	4.724164416522765E-001
1.4132519E+000	5.590873207267251E-001
1.4165711E+000	6.160892312996489E-001
1.4199152E+000	7.286740756144976E-001
1.4232582E+000	8.315247972287834E-001
1.4266388E+000	9.995639999082382E-001
1.4299858E+000	1.169104472155968E+000
1.4333185E+000	1.375515306906667E+000
1.4366373E+000	1.628661779945851E+000
1.4399668E+000	1.922936957733761E+000
1.4432983E+000	2.276082975111024E+000
1.4466331E+000	2.669763522722800E+000
1.4499749E+000	3.131553594722998E+000
1.4532920E+000	3.662292526914150E+000
1.4566400E+000	4.265142133633844E+000
1.4599602E+000	4.946375716612593E+000
1.4633290E+000	5.723360234235287E+000
1.4666538E+000	6.579360331639805E+000
1.4699789E+000	7.514360832086808E+000
1.4732898E+000	8.570856407431762E+000
1.4766283E+000	9.726345148884143E+000
1.4800028E+000	1.102088195345715E+001
1.4833527E+000	1.240890122359844E+001
1.4867073E+000	1.392031940230771E+001
1.4900551E+000	1.554706223552694E+001
1.4933851E+000	1.728513570708884E+001
1.4967284E+000	1.921047986664567E+001
1.5000436E+000	2.120987186890972E+001
1.5033747E+000	2.326987013719645E+001
1.5067192E+000	2.552303316074444E+001
1.5100713E+000	2.800327922657596E+001
1.5134012E+000	3.061366892495175E+001
1.5167303E+000	3.338654660438579E+001
1.5200651E+000	3.633355003425834E+001
1.5234147E+000	3.945886668028118E+001
1.5267475E+000	4.275528278172834E+001
1.5300850E+000	4.625036958193525E+001
1.5334224E+000	4.986920673059672E+001
1.5367749E+000	5.363787816087861E+001
1.5401019E+000	5.762340194366635E+001
1.5434377E+000	6.169929601704189E+001
1.5467839E+000	6.611077579888320E+001
1.5501323E+000	7.087682367740240E+001
1.5534830E+000	7.583954499789354E+001
1.5568165E+000	8.102394857011794E+001
1.5601870E+000	8.647397426206317E+001
