Ewe/V	<I>/mA	
1.3544034E+000	0.000000000000000E+000
1.3535094E+000	0.000000000000000E+000
1.2309077E+000	-1.344973611405922E+001
1.2327472E+000	-1.242907361351278E+000
1.2360822E+000	-1.275978669655096E-001
1.2393847E+000	-1.934358130855357E-002
1.2427094E+000	2.585939570619061E-002
1.2460504E+000	5.119840736558001E-002
1.2493843E+000	6.900937953295905E-002
1.2527226E+000	8.095097525661088E-002
1.2560542E+000	9.049041485630860E-002
1.2593980E+000	9.808300607682119E-002
1.2627289E+000	1.043545767111030E-001
1.2660644E+000	1.092330908956294E-001
1.2693776E+000	1.137327492157105E-001
1.2727168E+000	1.173038297337088E-001
1.2760481E+000	1.207846268229292E-001
1.2794027E+000	1.245327267996830E-001
1.2827308E+000	1.263720587116572E-001
1.2860608E+000	1.287859564498466E-001
1.2893822E+000	1.303053980719455E-001
1.2927270E+000	1.329845376007290E-001
1.2960635E+000	1.343574657664931E-001
1.2994081E+000	1.358754187959865E-001
1.3027283E+000	1.373500267456538E-001
1.3060541E+000	1.382314660438029E-001
1.3093786E+000	1.397462288492468E-001
1.3127204E+000	1.409510104570801E-001
1.3160621E+000	1.421078344765512E-001
1.3193979E+000	1.440431196621661E-001
1.3227185E+000	1.449308691642516E-001
1.3260525E+000	1.458340425250972E-001
1.3293879E+000	1.469833465026253E-001
1.3327309E+000	1.485894643622365E-001
1.3360621E+000	1.492331656544392E-001
1.3393866E+000	1.515472670072285E-001
1.3427302E+000	1.531429771725736E-001
1.3460616E+000	1.551141836386054E-001
1.3494053E+000	1.567500531332293E-001
1.3527297E+000	1.592652939367458E-001
1.3560561E+000	1.626752659241348E-001
1.3593845E+000	1.648776724079934E-001
1.3627363E+000	1.695807585349509E-001
1.3660963E+000	1.738184342226563E-001
1.3694099E+000	1.772856761015187E-001
1.3727573E+000	1.831381820541540E-001
1.3760893E+000	1.899221971241378E-001
1.3794272E+000	1.973977556026698E-001
1.3827648E+000	2.061968689124516E-001
1.3861005E+000	2.175384803083977E-001
1.3894252E+000	2.300652433024074E-001
1.3927692E+000	2.475850478426667E-001
1.3960836E+000	2.673867001989794E-001
1.3994240E+000	2.926860513397158E-001
1.4027438E+000	3.233164478172732E-001
1.4060677E+000	3.623898877068066E-001
1.4093902E+000	4.098945282582269E-001
1.4127350E+000	4.690338454010456E-001
1.4160637E+000	5.417427218729554E-001
1.4193860E+000	6.316459946241810E-001
1.4227275E+000	7.384614212260852E-001
1.4260315E+000	8.678667286545174E-001
1.4294231E+000	1.028288294621099E+000
1.4327689E+000	1.208859456811507E+000
1.4361048E+000	1.422791145842234E+000
1.4394286E+000	1.667892632277791E+000
1.4427512E+000	1.948740987109346E+000
1.4460717E+000	2.264778538668374E+000
1.4494104E+000	2.617814608853429E+000
1.4527521E+000	3.010111478341422E+000
1.4560667E+000	3.439692705591764E+000
1.4593924E+000	3.907788806074670E+000
1.4627438E+000	4.411715543821636E+000
1.4660628E+000	4.951398524870754E+000
1.4693838E+000	5.529949129508534E+000
1.4727182E+000	6.144574011765854E+000
1.4760548E+000	6.792523467763836E+000
1.4793972E+000	7.471059533623716E+000
1.4827151E+000	8.181564930862777E+000
1.4860435E+000	8.921330762155094E+000
1.4893779E+000	9.691122138881376E+000
1.4927051E+000	1.048736277783714E+001
1.4961166E+000	1.134287674283109E+001
1.4994320E+000	1.219181672010635E+001
1.5027592E+000	1.306507775502272E+001
1.5060911E+000	1.396262434463837E+001
1.5094315E+000	1.488257849516407E+001
1.5127662E+000	1.582235599807177E+001
1.5161096E+000	1.678739278184366E+001
1.5194485E+000	1.776914448384434E+001
