Ewe/V	<I>/mA	
1.3733293E+000	0.000000000000000E+000
1.3721552E+000	0.000000000000000E+000
1.2309045E+000	-2.603956337312684E+001
1.2329255E+000	-7.454676699474985E-001
1.2364271E+000	-1.598579824687416E-001
1.2397724E+000	-6.129376012251542E-002
1.2430884E+000	-9.962867633167366E-003
1.2464186E+000	3.535761328355129E-002
1.2497433E+000	4.637063766973248E-002
1.2530817E+000	6.254154529637046E-002
1.2564294E+000	7.594470849874846E-002
1.2597907E+000	8.637544059034474E-002
1.2631142E+000	9.446115082051429E-002
1.2664441E+000	1.019538961669759E-001
1.2697768E+000	1.086456700737815E-001
1.2731205E+000	1.140804910745681E-001
1.2764506E+000	1.187481245780782E-001
1.2797853E+000	1.230931707147209E-001
1.2831182E+000	1.271501827786956E-001
1.2864691E+000	1.300769447332631E-001
1.2898062E+000	1.327556716256475E-001
1.2931386E+000	1.352281697580136E-001
1.2964877E+000	1.376629289132141E-001
1.2998261E+000	1.402623240153831E-001
1.3031693E+000	1.425957662514458E-001
1.3065224E+000	1.442709418423582E-001
1.3098403E+000	1.457055108554219E-001
1.3131824E+000	1.475074749779924E-001
1.3165126E+000	1.490707567493867E-001
1.3198493E+000	1.509198809144243E-001
1.3231840E+000	1.668634807377929E-001
1.3265121E+000	1.542352928310673E-001
1.3298546E+000	1.560532159438704E-001
1.3331938E+000	1.581125004359096E-001
1.3365434E+000	1.589851361709328E-001
1.3398621E+000	1.611987354008591E-001
1.3432221E+000	1.628616540445225E-001
1.3465393E+000	1.657493386155768E-001
1.3498873E+000	1.684250788186064E-001
1.3532209E+000	1.701184397986057E-001
1.3565753E+000	1.737921105129849E-001
1.3599041E+000	1.771103725789088E-001
1.3632588E+000	1.817306582373553E-001
1.3666021E+000	1.856415004953527E-001
1.3699483E+000	1.901248533150917E-001
1.3732798E+000	1.959927920680404E-001
1.3766280E+000	2.029239135318370E-001
1.3799279E+000	2.100986600062149E-001
1.3832942E+000	2.206726018057230E-001
1.3866464E+000	2.322398365899314E-001
1.3899567E+000	2.465473706639703E-001
1.3933077E+000	2.648526237261795E-001
1.3966560E+000	2.853392446198457E-001
1.3999730E+000	3.287267921921977E-001
1.4033172E+000	3.505708274946460E-001
1.4066455E+000	3.920135710347310E-001
1.4099923E+000	4.443812776293949E-001
1.4133230E+000	5.317244556314047E-001
1.4166421E+000	5.958134985579129E-001
1.4199704E+000	7.139265515983899E-001
1.4233034E+000	8.235548372770634E-001
1.4266849E+000	9.983835528621263E-001
1.4300418E+000	1.187660466600143E+000
1.4333715E+000	1.421946384211410E+000
1.4367071E+000	1.695157030356269E+000
1.4400419E+000	2.025369972717485E+000
1.4433662E+000	2.408271299258185E+000
1.4466958E+000	2.853245923183085E+000
1.4500258E+000	3.382158800888291E+000
1.4533446E+000	3.982121806538402E+000
1.4566934E+000	4.673220062225482E+000
1.4600232E+000	5.446222768158280E+000
1.4633819E+000	6.345568548298978E+000
1.4667000E+000	7.333137735786480E+000
1.4700272E+000	8.445164555780678E+000
1.4733833E+000	9.672306084459210E+000
1.4767579E+000	1.105635933283800E+001
1.4801011E+000	1.256132681219560E+001
1.4834446E+000	1.418874969744985E+001
1.4867887E+000	1.597239907613309E+001
1.4901255E+000	1.789439759937578E+001
1.4934690E+000	1.993467519640027E+001
1.4968022E+000	2.204372382716561E+001
1.5001400E+000	2.441957401618856E+001
1.5034713E+000	2.698763978600095E+001
1.5068091E+000	2.973748770223041E+001
1.5101495E+000	3.267330813836884E+001
1.5134770E+000	3.579888254056118E+001
1.5168298E+000	3.908008239177255E+001
1.5201770E+000	4.260478983750684E+001
1.5235045E+000	4.632558039575882E+001
1.5268389E+000	5.020597854105739E+001
1.5301601E+000	5.426505032039461E+001
1.5335248E+000	5.839253225773279E+001
1.5368564E+000	6.287806547749767E+001
1.5401973E+000	6.768153303886834E+001
1.5435429E+000	7.271404971304895E+001
1.5468630E+000	7.801246758958303E+001
1.5502236E+000	8.357426320476009E+001
1.5535653E+000	8.936219193778254E+001
1.5569495E+000	9.541886235511220E+001
1.5602640E+000	1.014829332772788E+002
1.5636252E+000	1.077574511066248E+002
1.5670021E+000	1.154036528327279E+002
1.5703542E+000	1.227577896517552E+002
1.5736856E+000	1.303498249979830E+002
1.5770365E+000	1.382394355180222E+002
1.5803915E+000	1.463116849722173E+002
1.5837601E+000	1.544734539298074E+002
1.5871036E+000	1.631275773733067E+002
1.5904438E+000	1.725270239030685E+002
1.5937691E+000	1.816293901244594E+002
1.5971231E+000	1.913333952289800E+002
1.6004646E+000	2.023801010108918E+002
1.6038325E+000	2.139707863034755E+002
1.6071652E+000	2.250372651496998E+002
1.6105298E+000	2.362671319594310E+002
1.6138548E+000	2.485915677597271E+002
1.6172730E+000	2.615551046058927E+002
1.6206520E+000	2.739226699768201E+002
1.6240170E+000	2.862936916994850E+002
1.6272789E+000	2.994444156219224E+002
1.6306632E+000	3.125793479551210E+002
1.6340599E+000	3.258907190597633E+002
1.6374166E+000	3.393123397715681E+002
1.6407505E+000	3.560464871885888E+002
1.6440967E+000	3.715134879893410E+002
1.6474475E+000	3.850475135264603E+002
1.6508038E+000	4.000532437062830E+002
1.6541733E+000	4.166030927564748E+002
1.6575937E+000	4.338652552443291E+002
1.6609672E+000	4.525270455439604E+002
1.6642432E+000	4.717275354358223E+002
1.6676773E+000	4.877286249724857E+002
1.6711173E+000	4.996542633665351E+002
1.6743516E+000	5.142394418263719E+002
1.6777329E+000	5.280416711641737E+002
1.6810607E+000	5.362799871335428E+002
1.6843710E+000	5.427847270601860E+002
1.6876950E+000	5.455191663408062E+002
1.6910946E+000	5.545053095292931E+002
1.6940253E+000	5.710389295941004E+002
1.6948245E+000	5.791995262604592E+002
