Ewe/V	<I>/mA	
1.3945441E+000	0.000000000000000E+000
1.3872629E+000	0.000000000000000E+000
1.2305441E+000	-7.080982859541734E+000
1.2325693E+000	-8.199724674629305E-001
1.2360823E+000	-2.677307226716854E-001
1.2393942E+000	-1.738851077983418E-001
1.2427082E+000	-1.256787975261049E-001
1.2460294E+000	-9.477396274167738E-002
1.2493479E+000	-7.237866070961974E-002
1.2526828E+000	-5.521164058111763E-002
1.2560431E+000	-4.152696814363499E-002
1.2593534E+000	-3.032606111241640E-002
1.2627039E+000	-2.109771518961578E-002
1.2660388E+000	-1.312601019368097E-002
1.2693619E+000	-6.258065694356302E-003
1.2726984E+000	-2.863730782739281E-004
1.2760339E+000	5.160380133324606E-003
1.2793487E+000	9.619137914524928E-003
1.2826945E+000	1.396496154905003E-002
1.2860272E+000	1.777937854236286E-002
1.2893434E+000	2.111934724770620E-002
1.2926972E+000	2.437229344257341E-002
1.2960110E+000	2.715957157376674E-002
1.2993560E+000	2.993101046312333E-002
1.3026987E+000	3.241685531802041E-002
1.3060317E+000	3.444324014554223E-002
1.3093619E+000	3.647511679390436E-002
1.3126876E+000	3.863940854149084E-002
1.3160334E+000	4.047232489445865E-002
1.3193557E+000	4.210361916580102E-002
1.3226950E+000	4.388430935577625E-002
1.3260177E+000	4.541979748799183E-002
1.3293509E+000	4.705546812578731E-002
1.3326881E+000	4.846831925926154E-002
1.3360190E+000	5.001204740386650E-002
1.3393606E+000	5.156239792404010E-002
1.3426859E+000	5.301693937332952E-002
1.3460348E+000	5.422728148863964E-002
1.3493652E+000	5.583747346328627E-002
1.3527178E+000	5.746908463223332E-002
1.3560227E+000	5.898043775534179E-002
1.3593662E+000	6.040541883957323E-002
1.3627039E+000	6.234972037656061E-002
1.3660536E+000	6.416862735267626E-002
1.3693913E+000	6.600860712083878E-002
1.3727316E+000	6.823928677722849E-002
1.3760520E+000	7.080656479786840E-002
1.3793983E+000	7.327891064070252E-002
1.3827095E+000	7.673661202753901E-002
1.3860341E+000	8.064426637993072E-002
1.3893985E+000	8.525202598476544E-002
1.3927442E+000	9.055590709580125E-002
1.3960558E+000	9.704771150643121E-002
1.3994071E+000	1.048345117122908E-001
1.4027066E+000	1.144761874210877E-001
1.4060357E+000	1.265003121772943E-001
1.4093825E+000	1.411638995562901E-001
1.4127158E+000	1.590582320809277E-001
1.4160442E+000	1.807138263558645E-001
1.4193723E+000	2.072684943296641E-001
1.4227028E+000	2.391099528225249E-001
1.4260215E+000	2.775137610354470E-001
1.4293747E+000	3.239736203716204E-001
1.4327018E+000	3.776609955861603E-001
1.4360316E+000	4.411711162834369E-001
1.4393283E+000	5.152059767605761E-001
1.4426663E+000	6.009022141359663E-001
1.4459980E+000	6.991837833342931E-001
1.4493182E+000	8.105545202539783E-001
1.4526478E+000	9.375117665177317E-001
1.4560310E+000	1.083567775585081E+000
1.4593658E+000	1.242504875628704E+000
1.4627006E+000	1.418734701696046E+000
1.4660368E+000	1.611163233732549E+000
1.4693847E+000	1.821208086456188E+000
1.4727002E+000	2.050102252787338E+000
1.4760264E+000	2.296187679614413E+000
1.4793643E+000	2.560751578296433E+000
1.4827083E+000	2.843188710028457E+000
1.4860376E+000	3.143379673462376E+000
1.4893730E+000	3.460525184475188E+000
1.4926934E+000	3.794809512109325E+000
1.4960217E+000	4.148734992664057E+000
1.4993594E+000	4.519261939702481E+000
1.5026747E+000	4.906948006100379E+000
1.5060230E+000	5.311171842619302E+000
1.5093614E+000	5.731863321119121E+000
1.5126899E+000	6.169610013651369E+000
1.5160373E+000	6.624349038078059E+000
1.5193715E+000	7.091968953693250E+000
1.5226659E+000	7.577226980493748E+000
1.5260080E+000	8.077523506404447E+000
1.5293323E+000	8.592842219783805E+000
1.5326456E+000	9.123789390539315E+000
1.5359834E+000	9.667900179818638E+000
1.5393205E+000	1.023044125106087E+001
1.5426623E+000	1.081292497759077E+001
1.5460327E+000	1.142309945586904E+001
1.5493760E+000	1.202796203047697E+001
1.5527246E+000	1.264556242838148E+001
1.5560648E+000	1.327633160564349E+001
1.5593995E+000	1.392396888349788E+001
1.5627099E+000	1.457775613775431E+001
1.5660475E+000	1.524701747170161E+001
1.5693913E+000	1.592945883135548E+001
1.5727136E+000	1.662434013300419E+001
1.5760349E+000	1.733731466549057E+001
1.5793840E+000	1.806295552781421E+001
1.5827212E+000	1.879965728482267E+001
1.5860565E+000	1.954673034517273E+001
1.5893975E+000	2.030735223100034E+001
1.5927014E+000	2.107999278357715E+001
1.5960363E+000	2.186806684363925E+001
1.5993749E+000	2.266715319717105E+001
1.6027030E+000	2.348165373373052E+001
1.6060640E+000	2.430664372170946E+001
1.6093733E+000	2.514040685258112E+001
1.6127104E+000	2.598549991003040E+001
1.6160372E+000	2.684280313508941E+001
1.6193801E+000	2.771357284379661E+001
1.6227199E+000	2.859848916803020E+001
1.6260467E+000	2.948891171319519E+001
1.6293859E+000	3.039541398973051E+001
1.6327167E+000	3.131176499797277E+001
1.6360413E+000	3.223580310027296E+001
1.6393874E+000	3.317096101085701E+001
1.6427292E+000	3.411600854731475E+001
1.6460632E+000	3.506806197505630E+001
1.6494013E+000	3.603621666202373E+001
1.6527250E+000	3.700908892745520E+001
1.6560696E+000	3.799323299462412E+001
1.6593896E+000	3.898670099810693E+001
1.6627135E+000	3.998762780134280E+001
1.6660579E+000	4.099685235995906E+001
1.6693891E+000	4.200794727915343E+001
1.6727325E+000	4.303251222741829E+001
1.6760504E+000	4.407065222077306E+001
1.6793810E+000	4.511523584629947E+001
1.6827302E+000	4.617064609325826E+001
1.6860738E+000	4.723819969994543E+001
1.6894104E+000	4.829652799626808E+001
1.6927339E+000	4.937595995004222E+001
1.6960642E+000	5.045605514993835E+001
1.6994109E+000	5.156127098242894E+001
1.7027440E+000	5.265145543774531E+001
1.7061158E+000	5.376272390513316E+001
1.7094462E+000	5.487342433654376E+001
1.7127734E+000	5.598216479653001E+001
1.7160965E+000	5.709762825921575E+001
1.7194170E+000	5.822368318164354E+001
1.7227612E+000	5.934946795522220E+001
1.7261183E+000	6.048585211911745E+001
1.7294424E+000	6.162900080500276E+001
1.7327734E+000	6.277841674526451E+001
1.7361009E+000	6.392362286179110E+001
1.7394328E+000	6.507318968601646E+001
1.7427559E+000	6.623062886127937E+001
1.7460928E+000	6.738960334459080E+001
1.7494426E+000	6.856001054525154E+001
1.7527618E+000	6.976027170965972E+001
1.7560991E+000	7.093853510386521E+001
1.7594348E+000	7.212260286771709E+001
1.7627417E+000	7.330800627650524E+001
1.7661099E+000	7.449541583153166E+001
1.7694392E+000	7.568731871460886E+001
1.7727764E+000	7.689829263229112E+001
1.7761199E+000	7.810945307215752E+001
1.7794496E+000	7.932353795643564E+001
1.7827775E+000	8.054147894988137E+001
1.7861220E+000	8.177286379574116E+001
1.7894598E+000	8.303767454189511E+001
1.7927836E+000	8.427291127475051E+001
1.7961166E+000	8.549570219362977E+001
1.7994628E+000	8.669221282933586E+001
