Ewe/V	<I>/mA	
1.0105307E+000	0.000000000000000E+000
1.0111610E+000	0.000000000000000E+000
1.2308884E+000	1.319207085881914E+001
1.2326914E+000	5.024733377853764E+000
1.2360456E+000	1.584099054474597E+000
1.2393684E+000	9.236983355037296E-001
1.2426877E+000	6.830654384649595E-001
1.2460288E+000	5.636481735440197E-001
1.2493836E+000	4.939524692543671E-001
1.2528363E+000	4.441174106534458E-001
1.2563459E+000	4.121419004183053E-001
1.2596793E+000	3.899126609762726E-001
1.2630144E+000	3.721061143948816E-001
1.2663512E+000	3.590580023095615E-001
1.2696671E+000	3.478725584399445E-001
1.2730137E+000	3.391758305461297E-001
1.2763597E+000	3.319800000174613E-001
1.2797134E+000	3.265859529508681E-001
1.2830057E+000	3.209984634155798E-001
1.2863516E+000	3.163034300329257E-001
1.2896721E+000	3.120448484217091E-001
1.2930154E+000	3.092102682593587E-001
1.2963603E+000	3.073372824775326E-001
1.2997088E+000	3.047806332803685E-001
1.3030300E+000	3.028197593116406E-001
1.3063422E+000	3.008692529917691E-001
1.3096682E+000	2.998106281719473E-001
1.3130225E+000	2.992581611121299E-001
1.3163428E+000	2.980475492161849E-001
1.3196871E+000	2.981568102643912E-001
1.3230139E+000	2.977365225139974E-001
1.3263294E+000	2.981066514215813E-001
1.3296763E+000	2.989659674288867E-001
1.3330157E+000	2.990051738771142E-001
1.3363495E+000	3.002570471330266E-001
1.3396795E+000	3.014542153482784E-001
1.3430387E+000	3.034822691263899E-001
1.3463749E+000	3.047133104262161E-001
1.3496897E+000	3.066512567332236E-001
1.3530252E+000	3.090711343285566E-001
1.3563609E+000	3.126558072459730E-001
1.3596823E+000	3.161705694645733E-001
1.3630252E+000	3.215357864110686E-001
1.3663703E+000	3.266947927253625E-001
1.3697139E+000	3.322068096495783E-001
1.3730627E+000	3.390953600193796E-001
1.3763880E+000	3.480631817843385E-001
1.3797175E+000	3.577447864533618E-001
1.3830469E+000	3.695086424401994E-001
1.3863821E+000	3.846772552483122E-001
1.3897316E+000	4.017259504824735E-001
1.3930695E+000	4.231412500506719E-001
1.3963652E+000	4.485326476424465E-001
1.3997133E+000	4.800534338656286E-001
1.4030384E+000	5.190700456331463E-001
1.4063650E+000	5.659889218746130E-001
1.4096851E+000	6.241442190891835E-001
1.4130316E+000	6.936807684984960E-001
1.4163604E+000	7.756333908027706E-001
1.4196800E+000	8.725082609288748E-001
1.4230483E+000	9.882389773669935E-001
1.4264104E+000	1.120519987245721E+000
1.4297557E+000	1.270513096687889E+000
1.4330992E+000	1.439211577441627E+000
1.4364229E+000	1.631369218464403E+000
1.4397334E+000	1.847135688836948E+000
1.4430507E+000	2.088875336456187E+000
1.4463725E+000	2.356232543789922E+000
1.4497148E+000	2.650270457540505E+000
1.4530566E+000	2.972113682473413E+000
1.4563979E+000	3.319693342190998E+000
1.4597088E+000	3.692048038292111E+000
1.4630294E+000	4.092441982217810E+000
1.4663879E+000	4.518656086745224E+000
1.4696964E+000	4.969775093411222E+000
1.4730372E+000	5.445322169195435E+000
1.4763781E+000	5.942700034486066E+000
1.4797186E+000	6.464013010748047E+000
1.4830402E+000	7.003337563632812E+000
1.4863703E+000	7.563013432502089E+000
1.4896963E+000	8.143202609401342E+000
1.4930183E+000	8.741032449830954E+000
1.4963661E+000	9.356965255204415E+000
1.4996854E+000	9.989959504809676E+000
1.5030091E+000	1.063801357655259E+001
1.5064056E+000	1.133071016734579E+001
1.5097336E+000	1.200988594466193E+001
1.5130674E+000	1.270658883263160E+001
1.5164208E+000	1.341880558104489E+001
1.5197537E+000	1.414105146430074E+001
1.5230718E+000	1.487819485455383E+001
1.5264002E+000	1.563464879081272E+001
1.5297464E+000	1.639975954273251E+001
1.5330515E+000	1.717908675959154E+001
1.5363905E+000	1.796798060084853E+001
1.5397284E+000	1.877448281742164E+001
1.5430452E+000	1.959224935041172E+001
1.5464053E+000	2.042174973661355E+001
1.5497501E+000	2.126276724770224E+001
1.5530645E+000	2.211625309087326E+001
1.5564233E+000	2.298204468378503E+001
1.5597453E+000	2.385760089200056E+001
1.5630666E+000	2.474149257224451E+001
1.5663865E+000	2.564171625093286E+001
1.5697324E+000	2.654664595886349E+001
1.5730456E+000	2.746203567478676E+001
1.5763975E+000	2.838885594070871E+001
1.5797389E+000	2.932264983872733E+001
1.5830600E+000	3.026325495406115E+001
1.5864007E+000	3.121509422303484E+001
1.5897176E+000	3.217621871363235E+001
1.5930653E+000	3.314640749734474E+001
1.5963873E+000	3.412620567442920E+001
1.5997314E+000	3.511837422561243E+001
1.6030784E+000	3.611881546271553E+001
1.6063935E+000	3.712395974787000E+001
1.6097242E+000	3.812674424290992E+001
1.6130618E+000	3.913955757584500E+001
1.6163784E+000	4.017289128980747E+001
1.6197227E+000	4.120353576687637E+001
1.6230545E+000	4.224188004700204E+001
1.6263955E+000	4.328866339280171E+001
1.6297323E+000	4.434337465361489E+001
1.6330611E+000	4.540188232686509E+001
1.6363883E+000	4.646271860737374E+001
1.6397154E+000	4.753489569066437E+001
1.6430554E+000	4.862392951911420E+001
1.6463873E+000	4.971235117462595E+001
1.6497222E+000	5.081194163426676E+001
1.6530565E+000	5.191381369865223E+001
1.6564076E+000	5.302970613470723E+001
1.6597531E+000	5.414988462197539E+001
1.6630725E+000	5.527719175205488E+001
1.6664137E+000	5.640351691998751E+001
1.6697534E+000	5.754867229587433E+001
1.6730778E+000	5.869355878581086E+001
1.6764128E+000	5.984560008238986E+001
1.6797441E+000	6.100307724312847E+001
1.6830763E+000	6.216871160628159E+001
1.6864057E+000	6.332756145098688E+001
1.6897172E+000	6.451281481328442E+001
1.6930656E+000	6.570386475574784E+001
1.6963973E+000	6.689392952493984E+001
1.6997164E+000	6.808974696331347E+001
1.7030768E+000	6.930017231613772E+001
1.7064359E+000	7.052494195867814E+001
1.7097813E+000	7.174752690058983E+001
1.7131124E+000	7.297328943122950E+001
1.7164433E+000	7.420051422445181E+001
1.7197913E+000	7.543652097375821E+001
1.7231117E+000	7.667615498547525E+001
1.7264661E+000	7.793331179351051E+001
1.7298045E+000	7.920332392502513E+001
1.7331361E+000	8.048819225610146E+001
1.7364764E+000	8.173706289476377E+001
1.7398144E+000	8.301731190008883E+001
1.7431353E+000	8.428207129058796E+001
1.7464517E+000	8.553396337472736E+001
1.7498112E+000	8.683604903793116E+001
1.7531275E+000	8.813034234634699E+001
1.7564684E+000	8.942560861540505E+001
1.7598041E+000	9.073154981022526E+001
1.7631208E+000	9.203693349895892E+001
1.7664554E+000	9.335852567274196E+001
1.7698134E+000	9.467147736397550E+001
1.7731297E+000	9.599268313374580E+001
1.7764651E+000	9.735304311303946E+001
1.7797767E+000	9.868592543319301E+001
1.7831485E+000	1.000443881479381E+002
1.7864690E+000	1.014059304023606E+002
1.7897924E+000	1.028279349010695E+002
1.7931447E+000	1.042200791561032E+002
1.7964613E+000	1.055273728933525E+002
1.7997941E+000	1.069269514554017E+002
1.8031379E+000	1.082905832120950E+002
1.8064620E+000	1.097047196177963E+002
1.8098450E+000	1.112553453383316E+002
1.8131949E+000	1.126821721235806E+002
1.8165364E+000	1.140830389717954E+002
1.8198663E+000	1.154247485384381E+002
1.8231915E+000	1.167771029330397E+002
1.8265363E+000	1.181803814492969E+002
1.8298542E+000	1.195428458500518E+002
1.8332100E+000	1.209113994359369E+002
1.8365462E+000	1.222951707345046E+002
1.8398597E+000	1.237213607228895E+002
1.8432226E+000	1.251760273276927E+002
1.8465393E+000	1.265901014896594E+002
1.8493744E+000	1.277774563140242E+002
1.8507198E+000	1.283951873779297E+002
