Ewe/V	<I>/mA	
1.3730872E+000	0.000000000000000E+000
1.3716279E+000	0.000000000000000E+000
1.2308630E+000	-2.376420811003288E+001
1.2328650E+000	-3.262309748841631E+000
1.2363722E+000	-4.297711326683276E-001
1.2397182E+000	-1.246141606531301E-001
1.2430435E+000	-1.863898028591149E-002
1.2463796E+000	4.941542148655698E-002
1.2497196E+000	7.860491481231208E-002
1.2530569E+000	1.032604555345944E-001
1.2564083E+000	1.222291401812152E-001
1.2597421E+000	1.372221882175624E-001
1.2630847E+000	1.491199331219888E-001
1.2664437E+000	1.589224950817260E-001
1.2697693E+000	1.699197797182950E-001
1.2731086E+000	1.850940163680550E-001
1.2764348E+000	1.826455094522448E-001
1.2797853E+000	1.871802052632926E-001
1.2831218E+000	1.910344013431780E-001
1.2864537E+000	1.953927556436639E-001
1.2897817E+000	1.987323003148970E-001
1.2931305E+000	2.027964325235634E-001
1.2964793E+000	2.060785319429497E-001
1.2998099E+000	2.090056965581986E-001
1.3031671E+000	2.117330800788384E-001
1.3065001E+000	2.137031526086437E-001
1.3098354E+000	2.163998324989246E-001
1.3131781E+000	2.188986687565763E-001
1.3165144E+000	2.204816057756971E-001
1.3198380E+000	2.230541825173304E-001
1.3232027E+000	2.256115855422536E-001
1.3265356E+000	2.275556143908393E-001
1.3298763E+000	2.299908146373282E-001
1.3332282E+000	2.322480595137142E-001
1.3365549E+000	2.345180547570305E-001
1.3399098E+000	2.371800201976981E-001
1.3432610E+000	2.397508364443590E-001
1.3465919E+000	2.420786051724502E-001
1.3499346E+000	2.452753701868593E-001
1.3532876E+000	2.478628987960532E-001
1.3566171E+000	2.521654975747232E-001
1.3599505E+000	2.560597323670395E-001
1.3633038E+000	2.788279023486038E-001
1.3666602E+000	2.709035356345524E-001
1.3699914E+000	2.731991707954833E-001
1.3733307E+000	2.793878289103575E-001
1.3766849E+000	2.873202874559886E-001
1.3800062E+000	2.965648207570539E-001
1.3833718E+000	3.086569867784776E-001
1.3867137E+000	3.216392750047397E-001
1.3900466E+000	3.373796753662743E-001
1.3933910E+000	3.566236234952549E-001
1.3967229E+000	3.795390480300789E-001
1.4000543E+000	4.166268050963207E-001
1.4033875E+000	4.561368943541897E-001
1.4067330E+000	4.902587918306214E-001
1.4100686E+000	5.382201839307683E-001
1.4134039E+000	6.160580738747505E-001
1.4167595E+000	6.868368747947056E-001
1.4200910E+000	7.798677597128361E-001
1.4233980E+000	8.931421758286131E-001
1.4267935E+000	1.039238091154551E+000
1.4301343E+000	1.194930989150205E+000
1.4334755E+000	1.385501503220605E+000
1.4368031E+000	1.605923819439173E+000
1.4401480E+000	1.860233491099645E+000
1.4434909E+000	2.167938424485619E+000
1.4468364E+000	2.502292249571902E+000
1.4501663E+000	2.886705075723121E+000
1.4535068E+000	3.325046584149863E+000
1.4568604E+000	3.823519588619817E+000
1.4601836E+000	4.363647431700549E+000
1.4635354E+000	4.986838314609360E+000
1.4668623E+000	5.656328554429933E+000
1.4702151E+000	6.401772158873570E+000
1.4735138E+000	7.212276617289845E+000
1.4768645E+000	8.087765838504140E+000
1.4801769E+000	9.060810965356779E+000
1.4835333E+000	1.007942569813992E+001
1.4869313E+000	1.125703311811280E+001
1.4902562E+000	1.243958338850865E+001
1.4936196E+000	1.372293450160676E+001
1.4969375E+000	1.508768140285639E+001
1.5002789E+000	1.652259670664063E+001
1.5036296E+000	1.804658573949729E+001
1.5069578E+000	1.965970152500080E+001
1.5102992E+000	2.136939315399866E+001
1.5136508E+000	2.315228998389119E+001
1.5169870E+000	2.507761386903821E+001
1.5203134E+000	2.706210925067006E+001
1.5236607E+000	2.908532262392026E+001
1.5270078E+000	3.114611942701202E+001
1.5303550E+000	3.332656143142179E+001
1.5336924E+000	3.566628705602056E+001
1.5370287E+000	3.809232863073612E+001
1.5403655E+000	4.061707369820039E+001
1.5437051E+000	4.322583532290537E+001
1.5470536E+000	4.593203743509040E+001
1.5503844E+000	4.870544919494057E+001
1.5537151E+000	5.160113777774450E+001
1.5570670E+000	5.466007116371861E+001
1.5604211E+000	5.776409473032396E+001
1.5637476E+000	6.104150979142582E+001
1.5670955E+000	6.443220284368658E+001
1.5704402E+000	6.800459436802385E+001
1.5737897E+000	7.166269952816970E+001
1.5771488E+000	7.548148331689079E+001
1.5805150E+000	7.946487951194490E+001
1.5838497E+000	8.347557384931633E+001
1.5872114E+000	8.752784841207438E+001
1.5905290E+000	9.184937132714333E+001
1.5938693E+000	9.645545134692026E+001
1.5972294E+000	1.010049525699955E+002
1.6005843E+000	1.058658837483283E+002
1.6039623E+000	1.112492994782569E+002
1.6073167E+000	1.169976904432428E+002
1.6106534E+000	1.224782415954081E+002
1.6140033E+000	1.279030270989610E+002
1.6173494E+000	1.334322207296964E+002
1.6207083E+000	1.393561203327163E+002
1.6240456E+000	1.455050217232543E+002
1.6273695E+000	1.517572380687589E+002
1.6307267E+000	1.581673447954173E+002
1.6340612E+000	1.643948237399566E+002
1.6374032E+000	1.698761869229252E+002
1.6407561E+000	1.753229782006274E+002
1.6441147E+000	1.805670613938441E+002
1.6474395E+000	1.846846608904129E+002
1.6497949E+000	1.884180650060007E+002
1.6506392E+000	1.899312250541916E+002
