Ewe/V	<I>/mA	
1.3910915E+000	0.000000000000000E+000
1.3862590E+000	0.000000000000000E+000
1.2308390E+000	-1.931631240248680E+001
1.2327242E+000	-2.189109169576597E+000
1.2360600E+000	-5.332931287269413E-001
1.2394195E+000	-3.157794854757459E-001
1.2427416E+000	-2.069296491869221E-001
1.2460645E+000	-1.370458589265282E-001
1.2493844E+000	-8.622094419437132E-002
1.2527184E+000	-4.784955450740088E-002
1.2560576E+000	-1.698515032380107E-002
1.2593925E+000	8.119880387506995E-003
1.2627040E+000	2.785675114814318E-002
1.2660578E+000	4.533915094007868E-002
1.2693881E+000	5.984460701792060E-002
1.2727083E+000	7.205012644573960E-002
1.2760559E+000	8.220030500016817E-002
1.2793872E+000	9.179489755354187E-002
1.2827134E+000	9.885668274008230E-002
1.2860508E+000	1.062573710700880E-001
1.2893647E+000	1.119118670878956E-001
1.2927077E+000	1.173186135574773E-001
1.2960396E+000	1.221737326544639E-001
1.2993780E+000	1.262881870624226E-001
1.3027223E+000	1.302703382024122E-001
1.3060457E+000	1.330666042124675E-001
1.3093870E+000	1.364787863490040E-001
1.3127186E+000	1.391012281856439E-001
1.3160458E+000	1.417606143898376E-001
1.3193803E+000	1.444821785865604E-001
1.3227016E+000	1.474112241797807E-001
1.3260518E+000	1.501979926348720E-001
1.3293775E+000	1.520368040192033E-001
1.3327121E+000	1.546668432648923E-001
1.3360476E+000	1.575021041242941E-001
1.3393885E+000	1.599895406601499E-001
1.3427213E+000	1.632628792114157E-001
1.3460639E+000	1.660067238861132E-001
1.3493845E+000	1.687761851369108E-001
1.3527325E+000	1.728186570629189E-001
1.3560665E+000	1.757684038292709E-001
1.3593899E+000	1.798981590126949E-001
1.3627286E+000	1.854622507957664E-001
1.3660780E+000	1.900150123477951E-001
1.3694229E+000	1.946841020307845E-001
1.3727568E+000	2.019782716690708E-001
1.3760878E+000	2.092967004438266E-001
1.3794289E+000	2.175738523418340E-001
1.3827558E+000	2.283708256622190E-001
1.3860995E+000	2.404641149153122E-001
