Ewe/V	<I>/mA	
1.3687923E+000	0.000000000000000E+000
1.3678463E+000	0.000000000000000E+000
1.2308718E+000	-2.627823462528465E+001
1.2329159E+000	-6.510894838155292E-001
1.2364119E+000	-1.079030017510672E-001
1.2397588E+000	-2.087393017351831E-002
1.2430831E+000	3.859613568788489E-002
1.2464195E+000	5.313186720025329E-002
1.2497789E+000	7.063982569798755E-002
1.2530851E+000	8.377278440349489E-002
1.2564288E+000	9.505129056492856E-002
1.2597525E+000	1.037167057673258E-001
1.2631053E+000	1.104080995648553E-001
1.2664390E+000	1.165191249909752E-001
1.2697740E+000	1.216186428740789E-001
1.2731142E+000	1.259532813438708E-001
1.2764388E+000	1.301930286459609E-001
1.2797965E+000	1.335152659644008E-001
1.2831072E+000	1.364797464215775E-001
1.2864418E+000	1.394433887259936E-001
1.2897828E+000	1.414776904198796E-001
1.2931426E+000	1.437682384505012E-001
1.2964518E+000	1.458013912337552E-001
1.2998024E+000	1.484522088532444E-001
1.3031460E+000	1.504634525744009E-001
1.3064865E+000	1.513503073719447E-001
1.3098239E+000	1.524444576959825E-001
1.3131573E+000	1.696607813739659E-001
1.3164755E+000	1.566826102553265E-001
1.3198172E+000	1.579709340849358E-001
1.3231611E+000	1.590521691354283E-001
1.3264960E+000	1.601115621453504E-001
1.3298322E+000	1.621068915814101E-001
1.3331869E+000	1.638640894134976E-001
1.3365099E+000	1.648309534440909E-001
1.3398417E+000	1.668520926471930E-001
1.3432096E+000	1.690984053601164E-001
1.3465564E+000	1.706856673300456E-001
1.3498849E+000	1.731132356332261E-001
1.3532104E+000	1.759400656401284E-001
1.3565507E+000	1.783230556810955E-001
1.3598851E+000	1.822960333304406E-001
1.3632355E+000	1.868774930718757E-001
1.3665798E+000	1.913170631850212E-001
1.3699356E+000	1.959131154289699E-001
1.3732728E+000	2.018778812058484E-001
1.3766034E+000	2.094258021164395E-001
1.3799547E+000	2.174527864160156E-001
1.3832861E+000	2.278841718148473E-001
1.3866163E+000	2.411961632568413E-001
1.3899645E+000	2.549319576383102E-001
1.3933027E+000	2.749127438147312E-001
1.3966498E+000	3.168505166714324E-001
1.3999579E+000	3.286971121428219E-001
1.4032992E+000	3.637937276901380E-001
1.4066098E+000	4.073205702592810E-001
1.4099709E+000	4.658332839022403E-001
1.4133005E+000	5.444319377304705E-001
1.4166262E+000	6.187118919177814E-001
1.4199388E+000	7.475945797175001E-001
1.4233017E+000	8.722881136832039E-001
1.4266773E+000	1.034066299415590E+000
1.4300312E+000	1.231422284553151E+000
1.4333500E+000	1.471130174266190E+000
1.4366736E+000	1.755412983689880E+000
1.4399924E+000	2.092435038094330E+000
1.4433436E+000	2.500719229223961E+000
1.4466909E+000	2.968660178692652E+000
1.4500262E+000	3.522665686482977E+000
1.4533347E+000	4.149987895783255E+000
1.4566972E+000	4.875116480071526E+000
1.4600346E+000	5.701846681176427E+000
1.4633769E+000	6.644834518493379E+000
1.4666805E+000	7.699158393469233E+000
1.4700383E+000	8.877575518194192E+000
1.4733472E+000	1.018639058478729E+001
1.4767581E+000	1.169037079917811E+001
1.4800717E+000	1.328168688054883E+001
1.4834319E+000	1.503616274344250E+001
1.4867649E+000	1.694122521612161E+001
1.4901098E+000	1.895257358617877E+001
1.4934469E+000	2.109536778130757E+001
1.4967811E+000	2.347733160274467E+001
1.5001136E+000	2.604616312505345E+001
1.5034477E+000	2.880966247094329E+001
1.5067898E+000	3.175707479372602E+001
1.5101423E+000	3.489884453489026E+001
1.5134698E+000	3.824994317885248E+001
1.5168046E+000	4.177489023328070E+001
1.5201201E+000	4.552483240052698E+001
1.5234802E+000	4.939126725162623E+001
1.5268186E+000	5.339645308479589E+001
1.5301677E+000	5.762394531766847E+001
1.5334845E+000	6.222023556229919E+001
1.5368236E+000	6.703969074232828E+001
1.5401831E+000	7.204793641594182E+001
1.5435160E+000	7.736355567078729E+001
1.5468719E+000	8.281817718128951E+001
1.5502108E+000	8.852189369473103E+001
1.5535860E+000	9.447408026693984E+001
1.5569327E+000	1.004558608776567E+002
1.5602754E+000	1.067514457970769E+002
1.5636673E+000	1.141308807257419E+002
1.5670217E+000	1.215328270575492E+002
1.5703492E+000	1.287064838892604E+002
1.5736932E+000	1.363767958355106E+002
1.5770452E+000	1.442809413709101E+002
1.5804031E+000	1.522060066123527E+002
1.5837520E+000	1.606915781430134E+002
1.5870997E+000	1.700982117231224E+002
1.5904295E+000	1.793374987761049E+002
1.5937763E+000	1.890364050039143E+002
1.5971227E+000	1.983218333437862E+002
1.6004770E+000	2.082668019738096E+002
1.6038134E+000	2.183660831461721E+002
1.6071845E+000	2.285013827172907E+002
1.6105316E+000	2.394846158512282E+002
1.6139005E+000	2.505673266627173E+002
1.6172767E+000	2.619278846756461E+002
1.6206385E+000	2.731452213242628E+002
1.6240159E+000	2.854214550954362E+002
1.6273007E+000	2.982722071341977E+002
1.6306888E+000	3.124762504871428E+002
1.6340582E+000	3.263921241004673E+002
1.6373971E+000	3.401282589308948E+002
1.6407300E+000	3.546079165244541E+002
1.6440855E+000	3.704054306329335E+002
1.6474533E+000	3.883719255517008E+002
1.6499743E+000	4.012868460746022E+002
1.6509721E+000	4.044278461968715E+002
