Ewe/V	<I>/mA	
1.1784191E+000	0.000000000000000E+000
1.1820023E+000	0.000000000000000E+000
1.2305250E+000	1.155133514869503E+000
1.2324933E+000	2.680716121450120E-001
1.2360001E+000	1.308845902674765E-001
1.2393396E+000	1.060980145389765E-001
1.2426878E+000	9.462712613559610E-002
1.2460010E+000	8.833371003028356E-002
1.2493300E+000	8.464524191952305E-002
1.2526886E+000	8.197756167550607E-002
1.2560121E+000	8.027283153910358E-002
1.2593473E+000	7.919028121712834E-002
1.2626704E+000	7.846641845067626E-002
1.2660137E+000	7.806025725237253E-002
1.2693280E+000	7.778268291751228E-002
1.2727102E+000	7.740067100619841E-002
1.2760220E+000	7.727352610477090E-002
1.2793442E+000	7.734542581836967E-002
1.2826895E+000	7.729770282284487E-002
1.2860086E+000	7.730451336988919E-002
1.2893323E+000	7.729958145220883E-002
1.2926778E+000	7.753637238993338E-002
1.2960068E+000	7.779670269394856E-002
1.2993416E+000	7.797607667598683E-002
1.3026959E+000	7.840607067480332E-002
1.3060409E+000	7.838670784222934E-002
1.3093654E+000	7.874646818858758E-002
1.3126959E+000	7.913095226642008E-002
1.3160274E+000	7.925056214355464E-002
1.3193437E+000	7.990118693387871E-002
1.3226725E+000	8.025160623079541E-002
1.3260310E+000	8.074887632568473E-002
1.3293655E+000	8.126960259758609E-002
1.3326826E+000	8.165482626087495E-002
1.3360224E+000	8.233726555762000E-002
1.3393495E+000	8.295611282414109E-002
1.3426945E+000	8.361924547424049E-002
1.3460348E+000	8.444285491772607E-002
1.3493445E+000	8.519830335068934E-002
1.3526920E+000	8.579272341604449E-002
1.3560230E+000	8.701406877544304E-002
1.3593436E+000	8.814336492341601E-002
1.3626908E+000	8.954304994290974E-002
1.3660274E+000	9.092674252712851E-002
1.3693820E+000	9.225385757495597E-002
1.3727094E+000	9.417272449259784E-002
1.3760507E+000	9.613107763401385E-002
1.3793730E+000	9.849171169605409E-002
1.3827158E+000	1.017819586994529E-001
1.3860549E+000	1.046557738129295E-001
1.3893858E+000	1.095901679494209E-001
1.3927348E+000	1.154513981921959E-001
1.3960495E+000	1.222065085708658E-001
1.3993903E+000	1.308941703938956E-001
1.4027286E+000	1.413882792791097E-001
1.4060404E+000	1.548981459946694E-001
1.4093788E+000	1.709280343458714E-001
1.4127070E+000	1.917700790634065E-001
1.4160095E+000	2.174274591459955E-001
1.4193629E+000	2.480246603937228E-001
1.4226974E+000	2.855937732892717E-001
1.4260303E+000	3.296050176397416E-001
1.4293681E+000	3.824243869362201E-001
1.4326861E+000	4.442925657290697E-001
1.4360088E+000	5.169198334291671E-001
1.4393275E+000	6.013164667093038E-001
1.4426458E+000	6.985541932090928E-001
1.4459759E+000	8.103205061563701E-001
1.4493259E+000	9.383504129711966E-001
1.4527041E+000	1.088015715313645E+000
1.4560413E+000	1.249934054747689E+000
1.4593796E+000	1.430486189560946E+000
1.4626920E+000	1.629477215866199E+000
1.4660363E+000	1.845924782516914E+000
1.4693681E+000	2.082431538607201E+000
1.4727111E+000	2.338700974869102E+000
1.4760196E+000	2.611617794143704E+000
1.4793743E+000	2.903404297739179E+000
1.4826802E+000	3.212826091814442E+000
1.4860040E+000	3.540263393215614E+000
