Ewe/V	<I>/mA	
1.3734050E+000	0.000000000000000E+000
1.3720896E+000	0.000000000000000E+000
1.2305467E+000	-6.077325948854778E+000
1.2323933E+000	-7.027301394229362E-001
1.2357086E+000	-2.071788618638714E-001
1.2390401E+000	-1.253899955107609E-001
1.2423865E+000	-8.600433945097785E-002
1.2457050E+000	-6.116338881746919E-002
1.2490414E+000	-4.373910278827109E-002
1.2523916E+000	-3.075334579703382E-002
1.2557353E+000	-2.024544715217003E-002
1.2590815E+000	-1.007548916955018E-002
1.2624148E+000	-3.473373615918781E-003
1.2657486E+000	1.715770208458955E-003
1.2690728E+000	6.729490940921345E-003
1.2724006E+000	1.112674753645408E-002
1.2757350E+000	1.513231306714663E-002
1.2790620E+000	1.860839528338967E-002
1.2824056E+000	2.206619947656446E-002
1.2857412E+000	2.488743097172982E-002
1.2890607E+000	2.746627932704071E-002
1.2924005E+000	2.994605703324467E-002
1.2957476E+000	3.209546725198154E-002
1.2991016E+000	3.419347913809129E-002
1.3024155E+000	3.627763275380119E-002
1.3057919E+000	3.777012128736135E-002
1.3091154E+000	3.946275660259171E-002
1.3124425E+000	4.105005933256911E-002
1.3157779E+000	4.222014788810868E-002
1.3191128E+000	4.382780933543669E-002
1.3224385E+000	4.523094490834201E-002
1.3257954E+000	4.711678119274021E-002
1.3291230E+000	4.792584944372286E-002
1.3324800E+000	4.908287119523613E-002
1.3357977E+000	5.022079438179861E-002
1.3391333E+000	5.128050831647779E-002
1.3424907E+000	5.233376971918391E-002
1.3458104E+000	5.370103871206555E-002
1.3491366E+000	5.481911983210674E-002
1.3524630E+000	5.595102130115071E-002
1.3558170E+000	5.750989622700264E-002
1.3591259E+000	5.864423011829611E-002
1.3624809E+000	6.038042471998972E-002
1.3658289E+000	6.208370216144252E-002
1.3691647E+000	6.370378533777932E-002
1.3725299E+000	6.576483517724685E-002
1.3758500E+000	6.783223044777120E-002
1.3791927E+000	7.025965755682506E-002
1.3825130E+000	7.316805222969602E-002
1.3858602E+000	7.657527478256720E-002
1.3892217E+000	8.070081397073686E-002
1.3925581E+000	8.568040973915564E-002
1.3958728E+000	9.134687350241399E-002
1.3992140E+000	9.840197625553482E-002
1.4025408E+000	1.070030334531089E-001
1.4058771E+000	1.215167133552129E-001
1.4092112E+000	1.323459615940308E-001
1.4125309E+000	1.476947940374058E-001
1.4158478E+000	1.667652093094734E-001
1.4192102E+000	1.901407678328298E-001
1.4225404E+000	2.181755399822318E-001
1.4258773E+000	2.516708858358641E-001
1.4292307E+000	2.932009903564294E-001
1.4325601E+000	3.463126046105200E-001
1.4358908E+000	4.016720009226620E-001
1.4392068E+000	4.668725570888297E-001
1.4425468E+000	5.547013064748683E-001
1.4458753E+000	6.395996757072244E-001
1.4492176E+000	7.548578281748775E-001
1.4525588E+000	8.717963683853109E-001
1.4559201E+000	1.015036710195062E+000
1.4592583E+000	1.179347380874347E+000
1.4625924E+000	1.357475614161393E+000
1.4659172E+000	1.561548612419800E+000
1.4692587E+000	1.784632918781439E+000
1.4726038E+000	2.038130571572790E+000
1.4759306E+000	2.312676243371385E+000
1.4792469E+000	2.621124350902711E+000
1.4825945E+000	2.949029980163139E+000
1.4859259E+000	3.311075169575478E+000
1.4892561E+000	3.707730481512300E+000
1.4926170E+000	4.135232340673859E+000
1.4959265E+000	4.594164926189031E+000
1.4992447E+000	5.087612756199121E+000
1.5025816E+000	5.611570663014163E+000
1.5059223E+000	6.174113191563414E+000
1.5092555E+000	6.769269425689497E+000
1.5125927E+000	7.413123712857271E+000
1.5159397E+000	8.085640845215515E+000
1.5192391E+000	8.800467435431958E+000
1.5225694E+000	9.545417188287843E+000
1.5259184E+000	1.034096781970129E+001
1.5292964E+000	1.120927881835595E+001
1.5326301E+000	1.209470552457538E+001
1.5359745E+000	1.303784873305011E+001
1.5393167E+000	1.397988466928297E+001
1.5426373E+000	1.500590825033510E+001
1.5459841E+000	1.605639380555436E+001
1.5493174E+000	1.717297056071675E+001
1.5526538E+000	1.834553976303687E+001
1.5559926E+000	1.956197688498651E+001
1.5593340E+000	2.082846784354115E+001
1.5626670E+000	2.217260616952768E+001
1.5660139E+000	2.357098702862908E+001
1.5693315E+000	2.501863493877245E+001
1.5726871E+000	2.652923043411107E+001
1.5760247E+000	2.813031087812232E+001
1.5793582E+000	2.978492645168922E+001
1.5827041E+000	3.149862386347240E+001
1.5860368E+000	3.330276187498282E+001
1.5893648E+000	3.514450335593153E+001
1.5927193E+000	3.710951721024935E+001
1.5960345E+000	3.910355230251196E+001
1.5993631E+000	4.113128293466195E+001
1.6027282E+000	4.318961197509043E+001
1.6060508E+000	4.540371970009573E+001
1.6093957E+000	4.769865395141991E+001
1.6127448E+000	5.007406295201594E+001
1.6160722E+000	5.255720522429431E+001
1.6194305E+000	5.512676365407037E+001
1.6227782E+000	5.774468158372270E+001
1.6261247E+000	6.042667629403604E+001
1.6294392E+000	6.316652048000367E+001
1.6327854E+000	6.603863715388775E+001
1.6361190E+000	6.895268313644863E+001
1.6394547E+000	7.192201324963463E+001
1.6427892E+000	7.497430558159226E+001
1.6461245E+000	7.808417379624530E+001
1.6494529E+000	8.127215031335709E+001
1.6527828E+000	8.452263662597716E+001
1.6561396E+000	8.792076169157707E+001
1.6594617E+000	9.136535184245531E+001
1.6628180E+000	9.488684755743657E+001
1.6661625E+000	9.844520281073437E+001
1.6694977E+000	1.021590209582376E+002
1.6728381E+000	1.058194351986310E+002
1.6762276E+000	1.098381479848708E+002
1.6795851E+000	1.141370496519980E+002
1.6829040E+000	1.180451612201362E+002
1.6862537E+000	1.218494619618389E+002
1.6895745E+000	1.258411650524160E+002
1.6929299E+000	1.298086146020014E+002
1.6962717E+000	1.338320810491409E+002
1.6995900E+000	1.378005638704656E+002
1.7029300E+000	1.419863435031530E+002
1.7062880E+000	1.461269848523975E+002
1.7096165E+000	1.501296596791917E+002
1.7129697E+000	1.540738859179617E+002
1.7163092E+000	1.580535184422338E+002
1.7196579E+000	1.621944455792113E+002
1.7229977E+000	1.660343486018344E+002
1.7263410E+000	1.699304527588420E+002
1.7296721E+000	1.737235867390057E+002
1.7330387E+000	1.776938900939965E+002
1.7363975E+000	1.815725522765943E+002
1.7397521E+000	1.853232006958324E+002
1.7431055E+000	1.890694095311803E+002
1.7464484E+000	1.922112642680163E+002
