Ewe/V	<I>/mA	
1.3838376E+000	0.000000000000000E+000
1.3799335E+000	0.000000000000000E+000
1.2308509E+000	-8.210871632610051E+000
1.2330528E+000	-7.352328451418249E-001
1.2363776E+000	-1.832987374647899E-001
1.2397240E+000	-9.535440930234595E-002
1.2430393E+000	-5.351905670605039E-002
1.2463928E+000	-2.752564623615328E-002
1.2497003E+000	-8.806882718583320E-003
1.2530341E+000	5.019019522876755E-003
1.2563851E+000	1.627761688724840E-002
1.2597007E+000	2.486238016636177E-002
1.2630420E+000	3.255549313021855E-002
1.2663751E+000	3.881623123319466E-002
1.2696959E+000	4.440766821479558E-002
1.2730381E+000	4.843139370687521E-002
1.2763680E+000	5.233507398621251E-002
1.2796971E+000	5.604065890207116E-002
1.2830368E+000	5.888894061850647E-002
1.2863706E+000	6.187025220749942E-002
1.2896903E+000	6.360746951420376E-002
1.2930096E+000	6.607887674619350E-002
1.2963572E+000	6.791927476789317E-002
1.2996904E+000	6.981514252351340E-002
1.3030431E+000	7.150304477304670E-002
1.3063583E+000	7.254164082343428E-002
1.3097081E+000	7.402880360580610E-002
1.3130312E+000	7.539094221216690E-002
1.3163745E+000	7.641142812675850E-002
1.3197057E+000	7.779811785293567E-002
1.3230226E+000	7.886875464148235E-002
1.3263521E+000	7.984155914601376E-002
1.3296864E+000	8.123211275326270E-002
1.3330332E+000	8.243180277165174E-002
1.3363664E+000	8.359386024117717E-002
1.3396949E+000	8.516760368342635E-002
1.3430452E+000	8.638902535839565E-002
1.3463670E+000	8.788669181993164E-002
1.3496870E+000	8.931607561669197E-002
1.3530403E+000	9.106502031615360E-002
1.3563795E+000	9.267180849707923E-002
1.3597093E+000	9.457344506383308E-002
1.3630456E+000	9.741136584795040E-002
1.3663888E+000	1.001685629200111E-001
1.3697385E+000	1.024401698007344E-001
1.3730834E+000	1.057254966784263E-001
1.3764006E+000	1.101282868452373E-001
1.3797320E+000	1.145547268537360E-001
1.3830901E+000	1.206865303088749E-001
1.3864172E+000	1.273882038143901E-001
1.3897436E+000	1.357737062368412E-001
1.3930844E+000	1.457607569449004E-001
1.3964053E+000	1.583106635036313E-001
1.3997396E+000	1.735703626362923E-001
1.4030749E+000	1.928003114805209E-001
1.4063865E+000	2.161023685176060E-001
1.4097319E+000	2.450757570388857E-001
1.4130658E+000	2.801671073415930E-001
1.4163748E+000	3.228794116285094E-001
1.4197181E+000	3.759035170629054E-001
1.4230434E+000	4.381022839542599E-001
1.4263744E+000	5.135510040632241E-001
1.4297121E+000	6.020505366726314E-001
1.4330251E+000	7.061655552823947E-001
1.4363598E+000	8.282833103121985E-001
1.4396993E+000	9.713741785033569E-001
1.4430819E+000	1.135055916538429E+000
1.4463938E+000	1.320184324714312E+000
1.4497236E+000	1.528483479948090E+000
1.4530443E+000	1.761440709637384E+000
1.4563899E+000	2.019106674582368E+000
1.4597198E+000	2.305420196404416E+000
1.4630551E+000	2.617497526902731E+000
1.4663721E+000	2.955992987805985E+000
1.4697180E+000	3.323207155948770E+000
1.4730263E+000	3.715813427448536E+000
1.4763778E+000	4.133729632906025E+000
1.4796972E+000	4.578777804772993E+000
1.4830415E+000	5.049101286004955E+000
1.4863677E+000	5.540511274850587E+000
1.4896950E+000	6.058661837021077E+000
1.4930304E+000	6.599964993166921E+000
1.4963719E+000	7.163059566453484E+000
1.4997082E+000	7.747673797820767E+000
1.5030055E+000	8.349861745168113E+000
1.5063324E+000	8.976041627906213E+000
1.5096866E+000	9.620878530709774E+000
1.5129975E+000	1.028584586331652E+001
1.5163838E+000	1.098948738725898E+001
1.5197424E+000	1.170256218903276E+001
1.5230638E+000	1.242144471586019E+001
1.5263978E+000	1.315762042533365E+001
1.5297146E+000	1.391305369859073E+001
1.5330629E+000	1.468681835189790E+001
1.5364060E+000	1.547367148771281E+001
1.5397348E+000	1.627494781696001E+001
1.5430424E+000	1.709368087496719E+001
1.5463892E+000	1.792273895236371E+001
1.5497124E+000	1.876966288128789E+001
1.5530400E+000	1.962700018223336E+001
1.5563706E+000	2.049903457463714E+001
1.5597097E+000	2.138808389737443E+001
1.5630320E+000	2.228953960054142E+001
1.5663643E+000	2.319882209182119E+001
1.5697016E+000	2.412413572297299E+001
1.5730540E+000	2.505892348302621E+001
1.5763814E+000	2.601086927306460E+001
1.5797157E+000	2.696897984378620E+001
1.5830495E+000	2.793744487004538E+001
1.5863917E+000	2.891981592487014E+001
1.5897027E+000	2.991549426149061E+001
1.5930402E+000	3.091875224567912E+001
1.5963674E+000	3.193121714926006E+001
1.5997082E+000	3.295970398477334E+001
1.6030341E+000	3.399366671624210E+001
1.6063696E+000	3.504086703456109E+001
1.6097039E+000	3.609849441962399E+001
1.6130598E+000	3.717001362629986E+001
1.6163745E+000	3.824653967171977E+001
1.6197330E+000	3.933625166963009E+001
