Ewe/V	<I>/mA	
1.3681586E+000	0.000000000000000E+000
1.3673081E+000	0.000000000000000E+000
1.2308699E+000	-1.077882201692699E+001
1.2330401E+000	-3.726448834580953E-001
1.2363793E+000	-8.984235099962712E-002
1.2397206E+000	-2.898424986625359E-002
1.2430339E+000	4.547914414116484E-003
1.2463610E+000	1.767593968000108E-002
1.2497126E+000	2.815695120505329E-002
1.2530619E+000	3.620147772163645E-002
1.2563834E+000	4.255623081998511E-002
1.2597278E+000	4.782713601860736E-002
1.2630732E+000	5.193775225924846E-002
1.2664018E+000	5.524298665879379E-002
1.2697490E+000	5.875434894056952E-002
1.2730756E+000	6.066199113638793E-002
1.2764190E+000	6.356396473610948E-002
1.2797508E+000	6.540226645570879E-002
1.2830888E+000	6.726984401961777E-002
1.2864453E+000	6.879135919508617E-002
1.2897508E+000	7.005436646478447E-002
1.2931006E+000	7.133746045144207E-002
1.2964274E+000	7.256405562660695E-002
1.2997732E+000	7.388614900395826E-002
1.3031374E+000	7.483347038414667E-002
1.3064499E+000	7.542013241181578E-002
1.3098052E+000	7.656551398073219E-002
1.3131427E+000	7.729577028219770E-002
1.3164667E+000	7.796541394505629E-002
1.3198113E+000	7.885634448249390E-002
1.3231401E+000	7.981081465050366E-002
1.3264736E+000	8.057992346386034E-002
1.3298118E+000	8.204681937272795E-002
1.3331522E+000	8.246413112245832E-002
1.3364975E+000	8.341086056034064E-002
1.3398196E+000	8.443343163517314E-002
1.3431641E+000	8.557491941742468E-002
1.3465106E+000	8.703829067199642E-002
1.3498393E+000	8.824903651752902E-002
1.3531797E+000	8.950474848677152E-002
1.3565328E+000	9.133637584479015E-002
1.3598586E+000	9.310565194444376E-002
1.3632157E+000	9.568354387892841E-002
1.3665537E+000	9.778366402777905E-002
1.3698866E+000	1.005302823041838E-001
1.3732511E+000	1.035868726883260E-001
1.3765697E+000	1.081152527372269E-001
1.3799081E+000	1.179154326762837E-001
1.3832524E+000	1.204428988327538E-001
1.3865786E+000	1.257563218358404E-001
1.3899204E+000	1.339873500980029E-001
1.3932503E+000	1.440378822819661E-001
1.3965924E+000	1.558316550765104E-001
1.3999249E+000	1.708229356735036E-001
1.4032660E+000	1.895539310583051E-001
1.4066064E+000	2.118550008416253E-001
1.4099407E+000	2.388564718379897E-001
1.4132646E+000	2.721551171522298E-001
1.4166166E+000	3.267432522151084E-001
1.4199474E+000	3.676452908170587E-001
1.4232830E+000	4.270790830242339E-001
1.4266016E+000	5.113932353690487E-001
1.4299445E+000	5.941433339789510E-001
1.4332786E+000	7.095607400907857E-001
1.4366114E+000	8.258862000202134E-001
1.4399855E+000	9.922488561081622E-001
1.4433069E+000	1.168017472567236E+000
1.4466469E+000	1.370725250515031E+000
1.4500076E+000	1.613665101648537E+000
1.4533246E+000	1.883938733418965E+000
1.4566636E+000	2.195969850910345E+000
1.4600170E+000	2.552740110128228E+000
1.4633242E+000	2.956690096416423E+000
1.4666741E+000	3.407889585794601E+000
1.4700119E+000	3.913385709182798E+000
1.4733443E+000	4.467866334374257E+000
1.4766729E+000	5.092584256045924E+000
1.4800009E+000	5.767969174675219E+000
1.4833273E+000	6.505188502432713E+000
1.4866760E+000	7.312654346828950E+000
1.4900103E+000	8.190173208739587E+000
1.4933289E+000	9.116978612918363E+000
1.4966850E+000	1.013007626280627E+001
1.5000703E+000	1.127681735313814E+001
1.5034046E+000	1.244160807092081E+001
1.5067445E+000	1.369574800477426E+001
1.5100743E+000	1.500336130938484E+001
1.5134100E+000	1.639956596357320E+001
1.5167320E+000	1.788869696128992E+001
1.5200907E+000	1.947255275544552E+001
1.5234047E+000	2.113535843749187E+001
1.5267438E+000	2.287579037404475E+001
1.5301048E+000	2.472948323650326E+001
1.5334355E+000	2.659195954627558E+001
1.5367532E+000	2.860846223196273E+001
1.5400937E+000	3.066407964921258E+001
1.5434282E+000	3.280815082179006E+001
1.5467677E+000	3.511346152799604E+001
1.5501086E+000	3.753203203499017E+001
1.5534599E+000	4.005694078098725E+001
1.5567973E+000	4.268655248113998E+001
1.5601393E+000	4.545636133278640E+001
1.5634890E+000	4.837834991039591E+001
1.5668162E+000	5.147370495568345E+001
1.5701401E+000	5.467750342312274E+001
1.5734930E+000	5.800013138739689E+001
1.5768276E+000	6.144789168663453E+001
1.5801835E+000	6.510000919745266E+001
1.5835224E+000	6.894685318151770E+001
1.5868828E+000	7.282407219082722E+001
1.5902206E+000	7.689485942997652E+001
1.5935684E+000	8.124520181722625E+001
1.5969204E+000	8.598791787431355E+001
1.6002465E+000	9.056582149593237E+001
1.6035745E+000	9.547090214174585E+001
1.6069208E+000	1.006459178383009E+002
1.6102672E+000	1.060913835161763E+002
1.6136439E+000	1.122531926356946E+002
1.6169937E+000	1.183311247909523E+002
1.6203339E+000	1.243626984753300E+002
1.6236825E+000	1.308683144341844E+002
1.6270199E+000	1.378409396465818E+002
1.6303751E+000	1.452135211133364E+002
1.6336943E+000	1.522355156422504E+002
1.6370664E+000	1.595381026085666E+002
1.6403991E+000	1.676424807760795E+002
1.6437471E+000	1.756144810501273E+002
1.6471237E+000	1.833300054704825E+002
1.6504389E+000	1.924776447503541E+002
1.6538045E+000	2.012665988249205E+002
1.6571529E+000	2.089571550221355E+002
1.6604927E+000	2.185509104344146E+002
1.6638464E+000	2.281251755619583E+002
1.6672436E+000	2.386484647068421E+002
1.6706040E+000	2.501018742516198E+002
1.6739105E+000	2.593706887358912E+002
1.6772965E+000	2.701300860877845E+002
1.6806575E+000	2.818170509180352E+002
1.6839919E+000	2.918276642268447E+002
1.6873462E+000	3.032713557872521E+002
1.6906962E+000	3.139490952534969E+002
1.6940503E+000	3.260352258364846E+002
1.6973830E+000	3.361635332715632E+002
1.7007104E+000	3.468326311935452E+002
1.7040850E+000	3.541314071422910E+002
1.7074286E+000	3.623690107750845E+002
1.7107986E+000	3.722585073062082E+002
1.7141321E+000	3.825646561417689E+002
1.7175199E+000	3.989375893278125E+002
1.7209033E+000	4.124987403391069E+002
1.7242448E+000	4.219178815606729E+002
1.7275749E+000	4.287385351823514E+002
1.7309350E+000	4.364357711078610E+002
1.7343130E+000	4.517712788642093E+002
1.7376537E+000	4.651645291366258E+002
1.7410265E+000	4.828976080724019E+002
1.7443830E+000	5.042982693575268E+002
1.7477069E+000	5.154854156390861E+002
1.7510900E+000	5.304384578163827E+002
1.7544401E+000	5.499731249688612E+002
1.7576333E+000	5.661171988390779E+002
1.7593373E+000	5.718416682528909E+002
