Ewe/V	<I>/mA	
8.1053150E-001	-3.992596149444580E+000
8.1113845E-001	-5.057276119672078E-001
8.1217897E-001	-8.161787911256102E-002
8.1322002E-001	-3.074791459126985E-002
8.1425023E-001	-1.065822143869379E-002
8.1529099E-001	2.635060796231649E-004
8.1627637E-001	7.291655915908066E-003
8.1727636E-001	1.280997250919844E-002
8.1830448E-001	1.656646657745140E-002
8.1928825E-001	1.915880918538576E-002
8.2028109E-001	2.147709786947025E-002
8.2126600E-001	2.333504041696516E-002
8.2227474E-001	2.507893462572158E-002
8.2326722E-001	2.667761216687842E-002
8.2427460E-001	2.784150257773715E-002
8.2525748E-001	2.935365594399418E-002
8.2624644E-001	2.919683888647373E-002
8.2726759E-001	3.057572836532235E-002
8.2824773E-001	3.134046960204817E-002
8.2926035E-001	3.168274078612709E-002
8.3025157E-001	3.272048024106837E-002
8.3126044E-001	3.288307447189209E-002
8.3227575E-001	3.352838422972715E-002
8.3327049E-001	3.422660366581970E-002
8.3425611E-001	3.445019923848269E-002
8.3526909E-001	3.508097480437700E-002
8.3627045E-001	3.483173082088475E-002
8.3728403E-001	3.533702917080817E-002
8.3827549E-001	3.568109848593293E-002
8.3924454E-001	3.582321473387625E-002
8.4026361E-001	3.634374547603983E-002
8.4126222E-001	3.630771192698667E-002
8.4224713E-001	3.643557916216689E-002
8.4327787E-001	3.670074349422814E-002
8.4424669E-001	3.689957280771350E-002
8.4527725E-001	3.725496297001188E-002
8.4626448E-001	3.766629727718562E-002
8.4723437E-001	3.754151440117859E-002
8.4826458E-001	3.751350748836702E-002
8.4926492E-001	3.752317862396160E-002
8.5026890E-001	3.784775066855106E-002
8.5129249E-001	3.758249621831067E-002
8.5224313E-001	3.794911299292003E-002
8.5323364E-001	3.803466645480010E-002
8.5426515E-001	3.789658372777172E-002
8.5523701E-001	3.830757107177662E-002
8.5625315E-001	3.883205302392156E-002
8.5723859E-001	3.849458550653806E-002
8.5824323E-001	3.831755729996363E-002
8.5924447E-001	3.850968104335945E-002
8.6023033E-001	3.858226167516761E-002
8.6123097E-001	3.884754684256340E-002
8.6226529E-001	3.926327731338664E-002
8.6324990E-001	3.884259755739883E-002
8.6426473E-001	3.924170449283110E-002
8.6523438E-001	3.854377923432806E-002
8.6622769E-001	3.859180061306844E-002
8.6723101E-001	3.949775217767257E-002
8.6826390E-001	3.885462882471232E-002
8.6924249E-001	3.946564435332528E-002
8.7023199E-001	3.906466757867866E-002
8.7124765E-001	3.879753391068141E-002
8.7224239E-001	3.943718027323495E-002
8.7323850E-001	3.933238384971494E-002
8.7424040E-001	3.943142368467850E-002
8.7523687E-001	3.925857845017022E-002
8.7623650E-001	3.941077518937830E-002
8.7722063E-001	3.971646002183278E-002
8.7824047E-001	3.979314908245110E-002
8.7926370E-001	3.950422090777916E-002
8.8026810E-001	3.995676068776044E-002
8.8125461E-001	3.953817290317363E-002
8.8227850E-001	3.936097440932201E-002
8.8327390E-001	3.957638318907464E-002
8.8426834E-001	3.930259378694567E-002
8.8525265E-001	3.973196372226656E-002
8.8623405E-001	3.983708655989093E-002
8.8724720E-001	3.972837035733862E-002
8.8822466E-001	3.958499595935450E-002
8.8923448E-001	3.965370965608128E-002
8.9023554E-001	3.993265077622166E-002
8.9121693E-001	3.985845565455404E-002
8.9222956E-001	4.005604689374520E-002
8.9320743E-001	3.993712248037262E-002
8.9423865E-001	4.006855795493725E-002
8.9526361E-001	3.998246904411606E-002
8.9622182E-001	4.011522624541515E-002
8.9723957E-001	3.987075473488727E-002
8.9823616E-001	4.011803529530614E-002
8.9923143E-001	3.998791227971732E-002
9.0021580E-001	3.974607430655364E-002
9.0121615E-001	4.001311101119520E-002
9.0220296E-001	4.054240760571559E-002
9.0321726E-001	4.011790171424257E-002
9.0422982E-001	4.039897952115312E-002
9.0523040E-001	4.065573173762602E-002
9.0622199E-001	4.039037890405162E-002
9.0725219E-001	4.063871679887554E-002
9.0824062E-001	4.061168777933719E-002
9.0923005E-001	4.025836591692272E-002
9.0987462E-001	4.040614188829014E-002
9.1016310E-001	4.066916043677959E-002
9.0948290E-001	-1.821422856237542E-002
9.0845013E-001	-2.629586908615597E-002
9.0743613E-001	-2.833899189834899E-002
9.0644699E-001	-2.989655384046414E-002
9.0543681E-001	-3.062776382140686E-002
9.0446937E-001	-3.112834035151885E-002
9.0342283E-001	-3.163995123071894E-002
9.0244329E-001	-3.226002318764555E-002
9.0143585E-001	-3.284854349815475E-002
9.0043563E-001	-3.327020189600860E-002
8.9943516E-001	-3.388644772161144E-002
8.9843142E-001	-3.390031966881640E-002
8.9741921E-001	-3.444619462319917E-002
8.9643455E-001	-3.428037481809763E-002
8.9543229E-001	-3.455629999472476E-002
8.9443636E-001	-3.506646086929177E-002
8.9345342E-001	-3.523905179980036E-002
8.9243716E-001	-3.567561423822541E-002
8.9142632E-001	-3.589703956298446E-002
8.9044017E-001	-3.576807788404357E-002
8.8942814E-001	-3.605538465526592E-002
8.8843954E-001	-3.607674517469539E-002
8.8743663E-001	-3.682428285580341E-002
8.8644904E-001	-3.667836609683711E-002
8.8542414E-001	-3.677397563931281E-002
8.8448513E-001	-3.696202031022944E-002
8.8344526E-001	-3.693635775826216E-002
8.8245922E-001	-3.770021395831430E-002
8.8147867E-001	-3.741127591643575E-002
8.8045406E-001	-3.753812405265711E-002
8.7946278E-001	-3.779108743233378E-002
8.7845665E-001	-3.796615329166109E-002
8.7747544E-001	-3.806589140620875E-002
8.7648606E-001	-3.827713486925427E-002
8.7546265E-001	-3.872274061146297E-002
8.7445408E-001	-3.875614591543697E-002
8.7343377E-001	-3.903683054230500E-002
8.7244040E-001	-3.891010403455963E-002
8.7145376E-001	-3.873049277531859E-002
8.7045634E-001	-3.946969512962295E-002
8.6943054E-001	-3.947884661536055E-002
8.6845583E-001	-3.924210058759364E-002
8.6744857E-001	-3.972306765603528E-002
8.6643857E-001	-3.981432090196291E-002
8.6545169E-001	-4.011113016897738E-002
8.6446321E-001	-3.980366322695938E-002
8.6344427E-001	-4.054318331965776E-002
8.6245281E-001	-4.028155009129419E-002
8.6145496E-001	-4.018944154717163E-002
8.6045915E-001	-4.066958129480180E-002
8.5947663E-001	-4.056472398477151E-002
8.5844290E-001	-4.102328608036132E-002
8.5744548E-001	-4.067679635949584E-002
8.5644376E-001	-4.098893780641838E-002
8.5548645E-001	-4.077206852516452E-002
8.5447443E-001	-4.171887207168501E-002
8.5346639E-001	-4.119131463583181E-002
8.5244566E-001	-4.154157095167155E-002
8.5144627E-001	-4.162025388737456E-002
8.5048181E-001	-4.192681791939823E-002
8.4945208E-001	-4.183999570835673E-002
8.4846592E-001	-4.199914816319672E-002
8.4746653E-001	-4.215449840443453E-002
8.4648401E-001	-4.222594019305959E-002
8.4547007E-001	-4.250856659983659E-002
8.4446323E-001	-4.252795088251013E-002
8.4346163E-001	-4.269235396230320E-002
8.4243876E-001	-4.267125934464965E-002
8.4147924E-001	-4.274552089319061E-002
8.4048116E-001	-4.322309980056438E-002
8.3947086E-001	-4.305003601253987E-002
8.3848703E-001	-4.335569339140077E-002
8.3747762E-001	-4.356316253114145E-002
8.3647877E-001	-4.376015409086173E-002
8.3545983E-001	-4.379188234106085E-002
8.3446038E-001	-4.374183561258183E-002
8.3348906E-001	-4.399985163455911E-002
8.3247584E-001	-4.365065481401087E-002
8.3147323E-001	-4.414723405454266E-002
8.3049208E-001	-4.423083048562992E-002
8.2947838E-001	-4.480101473526649E-002
8.2844895E-001	-4.462434918082270E-002
8.2750916E-001	-4.463828066219533E-002
8.2647359E-001	-4.503312963812112E-002
8.2551098E-001	-4.484854583300180E-002
8.2448822E-001	-4.490932780327284E-002
8.2347882E-001	-4.539906783496761E-002
8.2246345E-001	-4.516459468127609E-002
8.2148719E-001	-4.567983243678919E-002
8.2047898E-001	-4.564928463710261E-002
8.1948996E-001	-4.555934798320171E-002
8.1846470E-001	-4.653479984217068E-002
8.1747621E-001	-4.649222070869086E-002
8.1646818E-001	-4.643452191820138E-002
8.1545877E-001	-4.620663994108742E-002
8.1449491E-001	-4.623793090126407E-002
8.1347054E-001	-4.653449413970806E-002
8.1246752E-001	-4.697807779654994E-002
8.1147265E-001	-4.651319423090294E-002
8.1054962E-001	-4.702377745083386E-002
8.1010365E-001	-4.707643753430975E-002
8.1073236E-001	1.819769803509641E-002
8.1175405E-001	2.438883983912293E-002
8.1274462E-001	2.663521509646152E-002
8.1372619E-001	2.788506878379698E-002
8.1472051E-001	2.937628706292250E-002
8.1574416E-001	3.034720521886697E-002
8.1676292E-001	3.139332410592355E-002
8.1774086E-001	3.148353575296370E-002
8.1877178E-001	3.185871683943886E-002
8.1973422E-001	3.209564004110443E-002
8.2074791E-001	3.300425331757650E-002
8.2176185E-001	3.254783149361347E-002
8.2276559E-001	3.356516021563996E-002
8.2376063E-001	3.369610459721201E-002
8.2476127E-001	3.367118587997819E-002
8.2580948E-001	3.764555227514786E-002
8.2686424E-001	3.815236193041138E-002
8.2783449E-001	3.791571370904387E-002
8.2886595E-001	3.806746993589638E-002
8.2987022E-001	3.822727824768257E-002
8.3088011E-001	3.871508799799950E-002
8.3186686E-001	3.858114757464934E-002
8.3284283E-001	3.840596894373138E-002
8.3386433E-001	3.924185356581367E-002
8.3483779E-001	3.909554748001473E-002
8.3585125E-001	3.924688133027365E-002
8.3685499E-001	3.930517478502193E-002
8.3788377E-001	3.959246135919015E-002
8.3887303E-001	3.948273859099803E-002
8.3988243E-001	3.937881595812287E-002
