Ewe/V	<I>/mA	
8.2052481E-001	-6.208975791931152E+000
8.2105917E-001	-4.906398423016057E+000
8.2209128E-001	-3.121220156964334E+000
8.2306856E-001	-1.960909804846686E+000
8.2408702E-001	-1.184217576196212E+000
8.2584989E-001	-4.035537794309989E-001
8.2755929E-001	8.352719246371021E-002
8.2858813E-001	2.500345061998810E-001
8.2955545E-001	3.737079295226291E-001
8.3059287E-001	4.698721298482234E-001
8.3158416E-001	5.443944247025581E-001
8.3258802E-001	6.045785708766847E-001
8.3357120E-001	6.513286585298683E-001
8.3457190E-001	6.912795753839136E-001
8.3558124E-001	7.228619383337600E-001
8.3658397E-001	7.523239392580257E-001
8.3756131E-001	7.752964707194927E-001
8.3856517E-001	7.941316455706140E-001
8.3959824E-001	8.134897578404203E-001
8.4055829E-001	8.288552741416670E-001
8.4158665E-001	8.419313284878980E-001
8.4259325E-001	8.531855328215505E-001
8.4355962E-001	8.635243771908194E-001
8.4457093E-001	8.747579325507928E-001
8.4555459E-001	8.840450159687991E-001
8.4658390E-001	8.914928523202690E-001
8.4756839E-001	8.977277450677441E-001
8.4857166E-001	9.063524597117480E-001
8.4956741E-001	9.127162455374211E-001
8.5057044E-001	9.173149609317406E-001
8.5154623E-001	9.222940067346723E-001
8.5255688E-001	9.296922293746288E-001
8.5355449E-001	9.334543845616299E-001
8.5457659E-001	9.362514772866355E-001
8.5556448E-001	9.390071972997660E-001
8.5655797E-001	9.433280115222775E-001
8.5754710E-001	9.476992603805341E-001
8.5855228E-001	9.488304989515930E-001
8.5955757E-001	9.536626279457576E-001
8.6056691E-001	9.551115857644241E-001
8.6157209E-001	9.576414042773393E-001
8.6255711E-001	9.598068261726027E-001
8.6356479E-001	9.612059025611317E-001
8.6455572E-001	9.627391817048210E-001
8.6556548E-001	9.651656125982622E-001
8.6654574E-001	9.667322378502128E-001
8.6752683E-001	9.699648012821063E-001
8.6854935E-001	9.697919140776836E-001
8.6952269E-001	9.710202502190270E-001
8.7055469E-001	9.745221611422821E-001
8.7155962E-001	9.761959950232679E-001
8.7256354E-001	9.774678141499571E-001
8.7356216E-001	9.790418778753123E-001
8.7455124E-001	9.796719464162997E-001
8.7556511E-001	9.812147713576751E-001
8.7655473E-001	9.816602569901303E-001
8.7756735E-001	9.828694758729810E-001
