Ewe/V	<I>/mA	
8.1034815E-001	-9.417378902435303E-001
8.1101561E-001	-2.437837207800588E-001
8.1203854E-001	-8.407410221528171E-002
8.1303447E-001	-5.190835680738670E-002
8.1402504E-001	-3.611165393831339E-002
8.1504297E-001	-2.669343929554202E-002
8.1604642E-001	-2.046059247668559E-002
8.1703109E-001	-1.585082165933607E-002
8.1802148E-001	-1.254663671936346E-002
8.1905353E-001	-9.763016551179324E-003
8.2005787E-001	-7.699547196975409E-003
8.2103837E-001	-5.699669035242820E-003
8.2206386E-001	-4.118187344148181E-003
8.2304054E-001	-2.921068350306541E-003
8.2404280E-001	-1.818444087320318E-003
8.2505822E-001	-7.885508015021934E-004
8.2605910E-001	1.020185742955010E-004
8.2705677E-001	9.781131553082017E-004
8.2804811E-001	1.678454628730723E-003
8.2902551E-001	2.233234962510898E-003
8.3002329E-001	2.925033981938545E-003
8.3104920E-001	3.389740314057733E-003
8.3203691E-001	4.131976408824005E-003
8.3304304E-001	4.449304404704424E-003
8.3402598E-001	4.736086792225909E-003
8.3504790E-001	5.215462649054980E-003
8.3602613E-001	5.527902584364641E-003
8.3706051E-001	6.010202477864657E-003
8.3805746E-001	6.245434682692744E-003
8.3904541E-001	6.451380204478413E-003
8.4006035E-001	6.704511642072194E-003
8.4106719E-001	7.048802023729709E-003
8.4203851E-001	7.245905613733478E-003
8.4303981E-001	7.508222447870166E-003
8.4406197E-001	7.722326294883730E-003
8.4502685E-001	7.973782763871520E-003
8.4604788E-001	8.235789689087655E-003
8.4702653E-001	8.177880195116505E-003
8.4802037E-001	8.485539010801027E-003
8.4901905E-001	8.776647510960939E-003
8.5002029E-001	8.868304828781051E-003
8.5102266E-001	9.113357542237382E-003
8.5203058E-001	9.244035560651231E-003
8.5300654E-001	9.367612416490478E-003
8.5401970E-001	9.438227409642203E-003
8.5503083E-001	9.540179422447309E-003
8.5603923E-001	9.531468176413680E-003
8.5703272E-001	9.805448015517831E-003
8.5802472E-001	9.919678858701646E-003
8.5902321E-001	9.949395941200645E-003
8.6003542E-001	1.006928634475985E-002
8.6101937E-001	1.015242428929128E-002
8.6201525E-001	1.042578505136088E-002
8.6301541E-001	1.060074184375309E-002
8.6402947E-001	1.057039502160391E-002
