Ewe/V	<I>/mA	
8.1908083E-001	-8.267983794212341E-001
8.1960905E-001	-6.571576955935168E-001
8.2061076E-001	-4.512631978011772E-001
8.2160485E-001	-3.235415567178284E-001
8.2259864E-001	-2.357676269150235E-001
8.2358259E-001	-1.714530936183616E-001
8.2459807E-001	-1.225216129419597E-001
8.2560188E-001	-8.373113845785474E-002
8.2660341E-001	-5.255449776046184E-002
8.2759678E-001	-2.588220191440394E-002
8.2936496E-001	1.072049948367254E-002
8.3111823E-001	4.856731529839153E-002
8.3210534E-001	6.211823083059365E-002
8.3310205E-001	7.470654785477904E-002
8.3410311E-001	8.617760292771837E-002
8.3510268E-001	9.558780762987884E-002
8.3611327E-001	1.051652476566638E-001
8.3711082E-001	1.136442175225563E-001
8.3809012E-001	1.209914890609477E-001
8.3909106E-001	1.279453168907723E-001
8.4011763E-001	1.353329387752134E-001
8.4109533E-001	1.405013093543759E-001
8.4208238E-001	1.469273889282103E-001
8.4307647E-001	1.519958342089216E-001
8.4409833E-001	1.568248151516958E-001
8.4509975E-001	1.616438012570148E-001
8.4613013E-001	1.657852204257828E-001
8.4707713E-001	1.703983974099784E-001
8.4808713E-001	1.742464036215101E-001
8.4907568E-001	1.781795451210608E-001
8.5011607E-001	1.816980179735563E-001
8.5107958E-001	1.851843951994354E-001
8.5207009E-001	1.885483402842550E-001
8.5311455E-001	1.923027038574227E-001
8.5408098E-001	1.941567344409936E-001
8.5506797E-001	1.967348482511526E-001
8.5608041E-001	1.999586609890689E-001
8.5708576E-001	2.024686733364232E-001
8.5808408E-001	2.049261574478205E-001
8.5907835E-001	2.066715404054982E-001
8.6011249E-001	2.090005272766580E-001
8.6107832E-001	2.109713663554027E-001
8.6206800E-001	2.139564583259124E-001
8.6308199E-001	2.154223571997140E-001
8.6409843E-001	2.183006624691188E-001
8.6508822E-001	2.194308129579028E-001
8.6608160E-001	2.212335643513743E-001
8.6708862E-001	2.227722256599621E-001
8.6809218E-001	2.246422882502275E-001
8.6906636E-001	2.262352541502980E-001
8.7009424E-001	2.277363377312824E-001
8.7106091E-001	2.293772217688266E-001
8.7206531E-001	2.304668789212081E-001
8.7309122E-001	2.323693063161851E-001
8.7406808E-001	2.334871011941388E-001
8.7506580E-001	2.354051309327290E-001
8.7609380E-001	2.366502907825634E-001
8.7710840E-001	2.378841513224572E-001
8.7809408E-001	2.384886212336523E-001
8.7907827E-001	2.401787003683347E-001
8.8007498E-001	2.413232300637516E-001
8.8108712E-001	2.427517193136751E-001
8.8206142E-001	2.439118003239860E-001
8.8304532E-001	2.450017115851466E-001
8.8408494E-001	2.454076362515072E-001
8.8507462E-001	2.470407127402727E-001
8.8607448E-001	2.478276908190722E-001
8.8706934E-001	2.490225929456451E-001
8.8806635E-001	2.503321157095753E-001
8.8905752E-001	2.508511959523396E-001
8.9004731E-001	2.520863731753906E-001
8.9105457E-001	2.525021155209595E-001
8.9202917E-001	2.531662309387084E-001
8.9306706E-001	2.543013578332554E-001
8.9408094E-001	2.564618407603882E-001
8.9506513E-001	2.567989733328826E-001
8.9604354E-001	2.572583258152024E-001
8.9706582E-001	2.578381026008483E-001
8.9805233E-001	2.586817026862658E-001
8.9907420E-001	2.594736753186835E-001
9.0006739E-001	2.602454838084274E-001
9.0104920E-001	2.607712157898496E-001
9.0203840E-001	2.614967487752444E-001
9.0305984E-001	2.624495089209331E-001
9.0406215E-001	2.632629946909040E-001
9.0506279E-001	2.637523363810037E-001
9.0605330E-001	2.641719519160697E-001
9.0705323E-001	2.657530360027338E-001
9.0804613E-001	2.656056010940435E-001
9.0905249E-001	2.662243517633125E-001
9.0981817E-001	2.672013765550227E-001
9.1022420E-001	2.623253422124043E-001
9.0952343E-001	9.683116808365555E-002
9.0851575E-001	-1.104374252059250E-003
9.0752161E-001	-4.250583925103357E-002
9.0652901E-001	-6.782343706840432E-002
9.0551478E-001	-8.703621793797023E-002
9.0450782E-001	-1.017299190086001E-001
9.0352899E-001	-1.134734592892024E-001
9.0253055E-001	-1.237918689536546E-001
9.0152097E-001	-1.329050198352583E-001
9.0052050E-001	-1.400801692571906E-001
8.9951110E-001	-1.474692826029942E-001
8.9851457E-001	-1.531280593739610E-001
8.9754063E-001	-1.591326732110840E-001
8.9652658E-001	-1.646200803677651E-001
8.9552170E-001	-1.697603368148619E-001
8.9453298E-001	-1.740168600808818E-001
8.9354110E-001	-1.796307287297525E-001
8.9251810E-001	-1.830516026691638E-001
8.9152676E-001	-1.860748642357060E-001
8.9051676E-001	-1.898301533138789E-001
8.8955981E-001	-1.930684429438154E-001
8.8852614E-001	-1.964027493441880E-001
8.8752073E-001	-1.998572743549523E-001
8.8653880E-001	-2.023825378467627E-001
8.8556784E-001	-2.054976541160914E-001
8.8452154E-001	-2.078411718183706E-001
8.8353431E-001	-2.109298591450270E-001
8.8252747E-001	-2.129677476025074E-001
8.8152289E-001	-2.156413845821388E-001
8.8055402E-001	-2.175352642597215E-001
8.7956160E-001	-2.206925770474801E-001
8.7855279E-001	-2.227969089419477E-001
8.7753588E-001	-2.241970948590377E-001
8.7657559E-001	-2.267123116956409E-001
8.7551761E-001	-2.287095912421728E-001
