Ewe/V	<I>/mA	
8.1045127E-001	-4.756658554077148E+000
8.1101990E-001	-4.510324159379548E-001
8.1208926E-001	-7.978715740842840E-002
8.1311280E-001	-3.821854247621567E-002
8.1408721E-001	-2.076968818751573E-002
8.1506908E-001	-1.086357116980505E-002
8.1606209E-001	-4.222833935669093E-003
8.1706530E-001	5.911883464614284E-004
8.1807882E-001	3.573890226507039E-003
8.1907076E-001	6.738909516431742E-003
8.2005841E-001	8.990667365019023E-003
8.2107306E-001	1.044350837869862E-002
8.2204819E-001	1.218910626403648E-002
8.2305562E-001	1.334062413981041E-002
8.2404411E-001	1.446023537243191E-002
8.2508183E-001	1.516607059307704E-002
8.2607418E-001	1.640743058036304E-002
8.2706374E-001	1.679695989610702E-002
8.2806009E-001	1.777164392694025E-002
8.2904655E-001	1.821577368499857E-002
8.3005208E-001	1.852942092467676E-002
8.3106112E-001	1.930319073119707E-002
8.3204067E-001	1.976157742779520E-002
8.3306044E-001	1.998044467592908E-002
8.3404332E-001	2.023851833945026E-002
8.3504379E-001	2.090676976401201E-002
8.3603591E-001	2.135916049772870E-002
8.3706385E-001	2.141844462008699E-002
8.3805215E-001	2.183190265530227E-002
8.3906585E-001	2.248077826873925E-002
8.4008706E-001	2.231582708399765E-002
8.4104645E-001	2.240136895410594E-002
8.4208405E-001	2.246200099355310E-002
8.4302437E-001	2.307715316930631E-002
8.4405524E-001	2.339176731355042E-002
8.4505928E-001	2.350566155313914E-002
8.4606868E-001	2.328765348314649E-002
8.4707171E-001	2.344512837966772E-002
8.4806722E-001	2.399063058194156E-002
8.4904701E-001	2.395497007310632E-002
8.5004067E-001	2.394445108727128E-002
8.5104281E-001	2.447799096459857E-002
8.5202360E-001	2.445803902510502E-002
8.5302657E-001	2.453230377904236E-002
8.5404640E-001	2.482275149477325E-002
8.5503757E-001	2.508287976068641E-002
8.5604608E-001	2.478686194950383E-002
8.5702002E-001	2.489320194615706E-002
8.5806429E-001	2.509419482424985E-002
8.5902172E-001	2.512656533136370E-002
8.6003482E-001	2.516473254679588E-002
8.6101598E-001	2.547658740700748E-002
8.6202949E-001	2.524853723621079E-002
8.6301750E-001	2.546415801533913E-002
8.6402810E-001	2.557185945630447E-002
8.6501181E-001	2.613871269473939E-002
8.6604160E-001	2.597581578241694E-002
8.6704946E-001	2.599132233092560E-002
8.6803222E-001	2.583681136506566E-002
8.6900198E-001	2.609617256268969E-002
8.7003350E-001	2.602667190827906E-002
8.7104398E-001	2.628955114191461E-002
8.7201458E-001	2.633628538358490E-002
8.7299705E-001	2.641269502373522E-002
8.7402666E-001	2.665923126172626E-002
8.7501407E-001	2.662650655990867E-002
8.7604141E-001	2.639846965557091E-002
8.7702572E-001	2.668604807008907E-002
8.7801605E-001	2.689350077441793E-002
8.7903559E-001	2.717751781984940E-002
8.8000524E-001	2.699409402721302E-002
8.8103622E-001	2.701342410715052E-002
8.8205117E-001	2.714802605607602E-002
8.8302350E-001	2.726818164927364E-002
8.8403130E-001	2.738285408072635E-002
8.8504392E-001	2.730985143518333E-002
8.8604540E-001	2.721531231517116E-002
8.8701868E-001	2.737459273111820E-002
8.8799340E-001	2.758904452949734E-002
8.8902497E-001	2.733990001836036E-002
8.9003044E-001	2.763127605440813E-002
8.9103711E-001	2.766424699229153E-002
8.9200723E-001	2.729696110917368E-002
8.9304829E-001	2.763795798167074E-002
8.9402598E-001	2.801553180019969E-002
8.9502335E-001	2.819022718872814E-002
8.9604491E-001	2.810794822571258E-002
8.9701563E-001	2.788174898650617E-002
8.9799374E-001	2.807932339214789E-002
8.9902925E-001	2.822247920787499E-002
9.0002155E-001	2.834276423249249E-002
9.0101653E-001	2.815210003919866E-002
9.0200680E-001	2.811037601850869E-002
9.0301305E-001	2.811941454803391E-002
9.0402031E-001	2.867292999270654E-002
9.0500718E-001	2.839101799940047E-002
9.0602648E-001	2.863293226247510E-002
9.0702021E-001	2.902401478199745E-002
9.0799707E-001	2.854751520208326E-002
9.0901864E-001	2.866077337160750E-002
9.0973890E-001	2.846744804898455E-002
9.1010576E-001	2.857410343038657E-002
9.0953016E-001	-5.259648200325373E-003
9.0854317E-001	-1.034930260208220E-002
9.0752375E-001	-1.237327776228388E-002
9.0649366E-001	-1.301409049431151E-002
9.0552425E-001	-1.432010080774630E-002
9.0454769E-001	-1.485608932670662E-002
9.0353471E-001	-1.567053641707061E-002
9.0253943E-001	-1.628811833637309E-002
9.0151757E-001	-1.664273971288027E-002
9.0053570E-001	-1.719326735615462E-002
8.9951348E-001	-1.767887647879596E-002
8.9851528E-001	-1.770742152603544E-002
8.9753562E-001	-1.827043754183832E-002
8.9651769E-001	-1.815727077850127E-002
8.9551431E-001	-1.866331412561789E-002
8.9451730E-001	-1.881737236140502E-002
8.9354217E-001	-1.884785905675629E-002
8.9254355E-001	-1.925105526651116E-002
8.9155310E-001	-1.957257669990589E-002
8.9052600E-001	-1.988769181835306E-002
