Ewe/V	<I>/mA	
8.1728542E-001	-6.861310005187988E+000
8.1778103E-001	-4.659657009328360E+000
8.1879526E-001	-2.352072796172813E+000
8.1978035E-001	-1.272249083964917E+000
8.2079935E-001	-7.027380650610322E-001
8.2178152E-001	-3.740728612074342E-001
8.2278359E-001	-1.695707414929741E-001
8.2378376E-001	-3.454530977342776E-002
8.2476735E-001	5.855592012396466E-002
8.2577115E-001	1.289057330125369E-001
8.2678723E-001	1.789774672280733E-001
8.2778758E-001	2.197312852367758E-001
8.2877225E-001	2.526818752252771E-001
8.3098757E-001	3.147078522785929E-001
8.3194494E-001	3.317358577089022E-001
8.3297783E-001	3.477479866614366E-001
8.3394951E-001	3.622221670687267E-001
8.3495611E-001	3.753101374274896E-001
8.3596575E-001	3.854353884046535E-001
8.3696705E-001	3.960641192563337E-001
8.3795577E-001	4.038522823139968E-001
8.3898056E-001	4.118753763736187E-001
8.3997905E-001	4.193176223125885E-001
8.4098673E-001	4.256186744159400E-001
8.4193820E-001	4.307646418705444E-001
8.4295231E-001	4.373618819811833E-001
8.4395409E-001	4.420696298164941E-001
8.4498793E-001	4.479727718374715E-001
8.4596848E-001	4.515801699420003E-001
8.4696180E-001	4.561602313576980E-001
8.4795654E-001	4.596773763662503E-001
8.4896684E-001	4.643689847729844E-001
8.4995800E-001	4.671290401012218E-001
8.5095698E-001	4.707448674569150E-001
8.5194099E-001	4.738791388368817E-001
8.5292232E-001	4.769229686959093E-001
8.5392541E-001	4.794878995342735E-001
8.5494888E-001	4.816806731295031E-001
8.5596949E-001	4.847212032285846E-001
8.5696423E-001	4.869112540113392E-001
8.5795945E-001	4.887163308913385E-001
8.5895348E-001	4.920925397140179E-001
8.5995793E-001	4.936075579622274E-001
8.6096710E-001	4.958394283578471E-001
8.6193734E-001	4.970733937075611E-001
8.6293823E-001	4.994296931406668E-001
8.6394882E-001	5.012252440925566E-001
8.6495870E-001	5.026085443040809E-001
8.6595231E-001	5.033767682117656E-001
8.6692721E-001	5.038268023702721E-001
8.6795336E-001	5.064485089537418E-001
8.6892599E-001	5.079358707231991E-001
8.6991811E-001	5.091775766878737E-001
8.7095279E-001	5.114816450020521E-001
8.7194765E-001	5.127316550146563E-001
8.7293345E-001	5.144404243228831E-001
8.7393916E-001	5.139539130037596E-001
8.7495446E-001	5.172585637192242E-001
8.7594408E-001	5.171653424361935E-001
8.7694436E-001	5.194241918628979E-001
8.7794846E-001	5.197654207915630E-001
8.7893748E-001	5.204478356789410E-001
8.7993693E-001	5.206680234126013E-001
8.8094580E-001	5.227926297624288E-001
